"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Anacardiaceae","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Diospyros.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Moraceae.undiff.","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Prunus.Sorbus","Pteridium.type","Quercus","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Selaginella","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Urtica.type","Vitis"
710,8172,0,0,2,2,12,0,1,1,0,0,0,0,1,31,5,0,2,0,0,0,0,0,1,0,2,0,8,0,0,25,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,9,0,3,2,0,0,0,1,0,155,0,0,3,0,0,0,0,0,0,1,3,0,0,0,21,0,4,0,0
720,8303,0,0,0,2,15,0,0,2,0,0,0,0,0,22,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,21,0,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,5,0,14,0,1,2,0,0,0,0,0,161,0,0,4,0,0,0,0,0,0,0,0,0,0,1,33,0,1,0,0
740,8556,0,0,2,6,9,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,1,3,0,8,0,2,11,0,3,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,24,0,1,0,0,1,0,0,3,158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,7,0,0
760,8793,0,0,0,6,4,0,0,0,0,0,0,0,0,16,1,0,2,0,0,0,0,0,0,1,0,0,10,0,0,13,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,3,0,0,0,0,0,4,178,1,0,1,0,1,0,0,0,0,0,0,0,0,0,29,0,6,0,0
780,9015,0,0,1,2,2,1,0,1,0,0,0,0,0,7,3,0,2,0,2,0,0,0,0,0,0,0,2,0,0,5,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,26,0,2,0,0,0,0,0,4,191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,7,0,0
797,9189,0,0,0,5,4,0,0,0,0,0,0,0,0,9,1,0,1,0,1,0,0,0,0,0,0,0,6,0,1,10,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,38,0,1,1,0,0,0,0,3,187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,1
820,9402,0,0,0,1,2,0,1,2,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,5,0,1,3,0,3,3,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,28,0,0,4,0,1,0,0,10,183,1,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,5,1,0
840,9567,0,0,1,3,5,0,1,0,0,0,0,1,1,20,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,45,0,1,1,0,0,0,0,5,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0,0
850,9644,0,0,1,2,3,0,0,2,0,0,0,0,0,7,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,55,0,2,1,0,0,0,0,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4,0,0
860,9718,0,0,1,3,8,0,0,1,0,0,0,0,1,6,0,0,2,0,1,0,0,0,2,0,2,0,5,0,0,3,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,74,0,2,0,0,0,0,0,8,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0
870,9789,0,0,1,0,2,0,0,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,80,0,2,1,0,0,0,0,2,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,2,0,0
880,9858,0,0,0,1,4,0,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,7,0,74,0,1,2,0,0,0,0,4,160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,3,0,0
890,9925,0,0,1,0,2,0,0,0,0,0,0,1,0,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,0,82,0,0,2,0,0,0,0,5,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0
898,9978,0,0,0,3,4,0,0,2,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,76,0,1,0,0,1,0,0,5,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0
920,10122,0,0,1,2,2,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,102,0,1,3,0,0,0,0,6,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,8,0,0
940,10255,0,0,0,2,3,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,100,0,1,3,0,1,0,0,9,116,0,0,0,0,0,1,0,0,0,0,1,0,0,0,28,0,1,0,0
960,10394,0,0,0,4,2,0,0,2,0,0,0,0,1,17,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,100,0,1,1,0,3,0,0,4,112,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,5,0,0
980,10543,0,0,0,0,4,0,0,2,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,2,0,7,0,0,2,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,108,0,0,0,0,1,0,0,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,6,0,0
998,10690,2,0,1,1,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,2,0,1,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,124,0,0,1,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,4,0,0
1020,10888,1,0,0,5,5,0,0,1,0,0,0,1,1,20,1,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,191,0,2,2,0,4,0,0,8,103,0,0,0,0,0,0,0,0,0,0,2,0,0,1,30,0,3,0,0
1040,11093,0,0,2,7,2,1,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,174,0,0,0,0,0,0,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0
