"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Thalictrum","Tilia","Ulmus","Apiaceae","Alnus","Ambrosia","Juniperus.Thuja","Populus","Poaceae","Brassicaceae","Dalea.candida","Iva.xanthifolia","Abies.balsamea","Acer.saccharum","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Fraxinus.pennsylvanica","Humulus.lupulus","Pinus.strobus.type","Parthenocissus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Polygonum","Carya","Caryophyllaceae","Sarcobatus.vermiculatus","Plantago","Larix.laricina","Vitis","Galium","Ephedra","Iva.annua","Acer.rubrum","Celtis","Liliaceae","Amorpha","Rosaceae","Ericaceae","Xanthium","Hydrophyllum.virginianum","Ranunculaceae.undiff.","Dalea.purpurea","Impatiens","Platanus","Lythrum.alatum","Viburnum.lentago","Lamiaceae","Arceuthobium","Shepherdia.argentea","Shepherdia.canadensis"
530,4626,495,0,35,53,14,6,41,0,40,2,49,107,0,2,0,5,13,0,17,14,0,2,57,0,1,2,0,0,3,2,1,1,7,0,11,2,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
540,4718,512,1,52,39,10,7,28,0,14,3,52,137,0,7,1,2,11,0,21,19,1,6,64,0,0,0,1,0,8,1,2,0,8,0,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
550,4810,518,0,23,41,7,6,48,0,22,5,49,138,0,8,1,5,9,0,12,17,4,5,72,0,1,0,3,1,9,2,1,0,11,0,9,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0
560,4924,618,0,47,27,12,3,84,0,20,0,56,129,0,3,1,1,19,0,22,13,4,4,142,0,1,0,0,0,8,2,3,0,0,0,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,5229,428,0,35,21,6,4,61,0,7,2,36,80,0,3,0,0,2,0,11,9,1,1,125,0,0,0,0,0,2,3,3,0,4,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
600,5412,421,0,46,2,14,3,64,1,4,1,31,84,0,7,0,0,2,0,10,11,1,1,106,1,1,0,0,0,4,1,2,0,2,0,11,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0
610,5535,456,0,32,8,10,8,72,0,6,2,49,139,0,1,1,1,7,0,8,12,0,1,76,0,0,0,0,0,1,2,1,0,2,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
620,5657,440,0,19,10,11,11,75,1,3,1,22,133,0,7,4,0,5,0,7,15,0,3,86,0,1,0,0,0,3,5,3,0,2,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
630,5779,425,0,43,11,14,3,64,0,4,1,32,138,0,1,0,0,4,0,5,21,0,3,62,0,0,1,0,0,1,1,0,0,2,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,5962,483,0,33,6,25,3,84,0,3,2,26,146,0,1,0,0,5,0,8,32,0,2,85,0,0,0,0,0,0,0,6,0,4,0,7,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
660,6145,396,1,27,3,9,4,51,0,4,2,21,152,0,1,0,0,2,0,5,29,0,0,53,0,0,0,0,0,3,3,3,0,1,0,16,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
685,6450,396,0,27,12,8,2,49,0,3,1,18,159,0,2,0,0,8,0,8,25,1,0,58,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
710,6755,363,0,46,6,3,0,39,0,4,2,26,75,0,11,0,0,6,0,5,23,4,2,83,0,0,1,0,1,4,2,1,0,1,0,11,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
735,7060,412,0,50,5,12,2,83,1,1,2,26,61,0,2,0,0,1,0,3,28,2,3,118,0,2,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,7243,402,0,47,6,20,4,125,0,0,0,32,101,0,3,1,0,10,0,5,19,0,4,8,0,0,0,0,0,2,0,3,0,2,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,7426,401,0,46,7,21,5,51,0,4,3,28,93,0,3,0,0,3,0,3,37,1,0,79,0,0,0,0,2,0,3,2,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
