"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Bidens.type","Botrychium","Brassicaceae","Caltha","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Ceanothus","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Diphasiastrum.complanatum.type","Dryopteris.type","Ephedra","Equisetum","Ericaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Huperzia.selago","Impatiens","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Ledum.Chamaedaphne.calyculata","Lemnaceae","Lycopodium.annotinum","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Polypodium.type","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Potentilla.type","Primulaceae","Prunus.Sorbus","Pteridium.type","Quercus","Ranunculus","Rhamnus","Rosaceae.trees","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Spiraea.type","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Utricularia","Viburnum","Xanthium"
791.5,10265,2,0,0,0,0,0,35,18,20,0,0,0,23,5,0,107,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,31,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,24,24,4,187,0,0,28,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,21,22,0,0,0
793,10301,0,0,0,0,1,0,36,18,22,0,0,0,31,9,0,133,0,0,0,0,1,0,4,0,0,0,8,2,11,0,1,23,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,4,0,3,0,0,2,0,0,0,0,2,36,37,5,198,0,0,27,0,0,0,1,0,0,0,1,0,1,38,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0
795,10331,6,0,0,1,0,0,18,8,29,0,0,0,21,5,0,171,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,32,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,1,1,0,0,4,57,17,2,219,0,0,9,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,3,14,0,0,1
805,10482,4,3,0,0,0,0,17,5,16,0,0,0,13,1,0,69,0,0,0,0,0,0,2,0,0,0,2,2,6,0,0,21,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,11,0,0,0,0,6,0,0,0,0,4,48,46,5,153,0,0,8,0,0,0,3,0,0,0,0,0,1,6,0,0,0,0,1,0,4,0,0,1,0,1,1,0,0,0,0,0,1,12,0,0,0
820,10708,7,0,0,0,0,0,13,10,25,0,0,0,23,0,0,114,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,6,108,79,4,252,0,0,33,0,0,1,10,0,0,0,0,0,1,21,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,3,23,0,0,0
830,10859,8,0,0,0,0,0,8,7,6,0,0,0,8,3,0,75,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17,0,1,0,0,0,0,0,0,0,10,94,81,3,221,0,0,16,0,0,1,4,0,0,0,0,0,6,22,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,1,0,0,1,10,0,0,0
835,10934,4,1,0,0,0,0,21,6,17,0,1,0,29,1,0,126,0,0,1,0,0,0,2,0,0,1,1,1,12,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,10,174,97,1,409,0,0,17,0,0,0,1,0,0,0,0,1,9,18,0,0,0,0,1,0,18,1,0,0,0,0,0,0,0,2,0,0,2,26,0,0,0
840,11009,2,1,0,0,0,0,6,6,12,0,0,0,16,2,0,81,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,15,1,0,0,0,0,0,0,0,0,10,107,111,8,339,0,0,18,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,5,29,0,0,0
842,11039,9,1,0,0,1,0,15,5,9,0,0,0,24,3,0,87,0,0,0,0,0,0,1,0,0,0,3,0,10,0,0,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,1,0,0,0,0,1,0,0,7,140,98,6,228,0,0,20,0,0,1,1,0,0,0,0,0,3,22,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,1,30,0,0,0
845,11084,3,0,0,0,1,0,3,9,8,0,0,0,18,2,0,97,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,1,0,0,0,0,7,132,88,1,223,0,0,22,0,0,0,2,0,0,0,0,0,5,11,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,2,34,0,0,0
847,11115,17,0,0,0,1,0,10,9,9,0,0,0,25,0,0,106,0,0,0,0,0,0,2,0,0,0,2,1,13,0,0,11,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,10,144,111,5,222,0,0,14,0,0,1,3,0,0,0,0,0,6,21,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,32,0,0,0
850,11160,2,0,0,0,2,0,5,5,3,0,0,0,10,2,0,78,0,0,0,0,0,0,0,0,0,1,2,0,18,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,139,54,0,117,0,0,2,0,0,0,3,0,0,0,0,0,1,19,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,23,0,0,0
865,11386,0,0,0,0,0,0,0,7,9,0,0,0,9,1,0,44,0,1,0,0,0,1,3,0,0,0,2,2,12,0,0,4,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,1,0,0,11,181,82,10,150,0,0,7,0,0,1,1,0,0,0,0,0,0,22,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0
875,11536,0,1,0,0,1,0,5,2,12,0,0,0,36,5,0,34,0,0,0,0,0,0,1,0,0,0,7,4,27,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,6,0,0,28,0,0,0,0,0,0,6,0,0,9,459,65,6,123,0,0,17,0,0,1,2,0,0,0,0,0,1,41,0,0,0,0,0,0,7,2,0,0,0,1,3,0,0,0,0,0,9,58,0,0,0
885,11687,2,0,0,0,1,0,5,2,5,0,0,0,17,1,0,39,0,0,0,0,0,0,3,0,0,0,3,1,21,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,1,27,0,0,2,332,43,2,50,0,0,8,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,24,1,0,0
895,11841,1,1,0,0,0,0,3,2,4,0,0,0,16,0,0,42,0,0,0,0,0,0,0,2,0,0,4,2,7,0,0,0,0,7,0,0,13,0,0,0,1,0,0,0,0,0,4,13,0,2,0,0,0,0,0,0,0,1,193,3,0,2,0,0,6,0,0,5,6,0,0,0,0,0,0,12,2,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,5,10,0,0,0
905,12008,0,0,0,0,0,0,3,2,1,0,0,0,16,1,0,22,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,1,0,0,2,149,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
915,12175,0,0,0,0,0,0,5,5,2,0,0,0,37,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,3,0,0,1,1,291,1,0,4,0,0,11,0,0,3,3,0,0,0,0,0,0,4,10,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
925,12341,0,0,0,0,0,0,1,2,0,0,0,0,19,1,0,18,0,0,0,0,0,0,0,0,0,0,2,1,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
935,12508,0,2,0,0,0,0,1,5,2,0,0,0,29,5,0,44,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,8,0,0,0,1,280,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,7,8,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
945,12674,0,0,0,0,0,0,0,3,4,0,0,0,29,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,354,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
955,12841,0,1,0,0,0,0,0,4,6,1,0,0,36,5,0,46,0,0,0,0,0,0,0,0,0,1,2,0,15,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,3,0,0,0,2,328,0,0,2,0,0,7,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,5,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0
