"sample.depths","sample.ages","Abies","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Caltha.type","Carya","Caryophyllaceae.undiff.","Castanea","Celtis","Cephalanthus","cf..Scheuchzeria.palustris","Cornus.canadensis","Cornus.sericea.type","Cornus.undiff.","Corylus","Cupressaceae","Cyperaceae","Cystopteris.type","Dennstaedtia.type","Dryas","Dryopteris.type","Elaeagnus.commutata","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.undiff.","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.undiff.","Lamiaceae.undiff.","Larix","Lemnaceae","Liliaceae","Lobelia.type","Lycopodium.type","Melampyrum.type","Mentha.arvensis","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ononis.type","Osmunda","Ostrya.Carpinus","Pedicularis","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Polygonum.undiff.","Polygonum.viviparum","Polypodium","Populus","Potamogetonaceae","Potentilla","Prunus.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Ranunculus","Ranunculus.type.undiff.","Rosa","Rosaceae.undiff.","Rubus.cf..R..chamaemorus","Rumex","Rumex.Oxyria.digyna.undiff.","Salix","Sambucus","Saxifraga.cf..S..punctata","Saxifraga.cf..S..stellaris","Saxifraga.undiff.","Selaginella","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Stachys.type","Stellaria.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..alete.","Unknown..trilete..undiff.","Urtica"
1380,9500,3,0,0,0,5,9,2,0,0,0,0,0,0,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,2,7,188,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,2,0,1,0
1400,9809,4,0,0,0,1,2,5,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,5,11,155,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
1420,10090,9,0,0,0,1,6,6,0,0,0,0,1,0,0,77,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,5,15,143,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0
1440,10331,9,0,0,0,0,0,5,0,1,0,0,0,0,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,7,5,138,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0
1465,10564,7,0,0,0,0,10,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,6,0,192,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
1480,10671,8,0,0,0,1,5,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,9,1,196,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0
1500,10784,9,0,0,0,0,2,2,0,0,0,0,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,9,0,168,0,0,0,0,3,0,0,0,0,0,0,10,1,0,0,2,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0
1520,10871,3,0,1,0,1,4,2,0,1,0,1,0,0,0,74,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,12,8,172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
1540,10942,18,0,0,0,1,3,6,0,0,0,1,2,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,115,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,6,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0
1562,11013,16,0,0,0,0,0,10,0,0,0,0,0,0,0,119,0,0,2,0,0,0,0,0,0,0,0,0,0,9,1,4,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,8,0,0,0,0,9,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,12,4,99,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,3,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,1,0
1580,11073,18,0,0,0,0,1,17,0,0,0,2,1,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,1,0,0,0,2,0,6,0,0,7,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,19,4,54,0,0,0,0,3,1,0,0,0,0,0,8,5,0,0,2,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,0
1600,11148,20,0,0,0,0,3,7,0,1,0,1,3,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,1,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0,0,18,0,0,0,3,0,0,0,3,0,0,0,0,0,2,2,0,78,7,84,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0
1620,11229,2,0,0,1,2,0,10,0,0,0,2,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,5,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,9,0,0,0,0,25,0,0,0,3,0,0,0,0,1,0,0,0,0,0,5,0,103,8,33,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,5,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,6,0,0,0
1640,11312,4,0,0,0,0,0,6,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,17,0,0,0,0,0,0,2,0,0,0,11,0,1,0,0,4,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,158,19,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,2,5,0,0,0
1680,11481,1,0,0,0,0,0,9,0,0,0,0,1,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,8,5,41,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,67,25,10,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0
1720,11655,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1760,11834,2,0,0,0,0,6,0,0,0,0,0,2,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,60,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,1,103,21,23,0,0,0,0,8,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,3,1,0,0
1800,12017,1,0,0,0,0,1,0,0,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,228,43,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1840,12205,0,0,0,0,0,0,1,0,0,0,1,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,28,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,42,2,0,0,0,0,7,0,0,0,0,0,1,4,1,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5,0,0,0
1880,12403,2,0,0,0,0,2,0,0,2,0,2,14,2,0,15,0,0,0,0,1,0,0,1,0,0,0,0,1,6,0,26,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,7,0,35,58,0,0,3,8,0,16,0,0,0,0,0,0,6,3,0,0,4,12,0,0,0,0,0,0,0,0,37,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,2,16,1,3,0
1940,12769,2,0,0,0,0,3,0,1,0,0,0,11,1,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,17,0,0,1,4,10,0,0,0,1,1,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,109,0,0,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,3,0,0,0,32,0,0,0,0,0,0,4,1,2,0,0,1,0,0,0,1,7,0,0,0
2000,13287,1,0,0,0,0,0,3,1,0,0,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,2,16,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0
2040,13731,1,0,0,0,0,1,0,1,0,0,3,1,1,0,10,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,19,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,16,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40,135,1,0,0,0,0,17,0,0,0,1,0,0,3,2,0,0,0,6,1,0,0,0,0,0,0,0,13,0,1,1,0,0,0,2,0,3,0,0,1,0,0,0,4,9,0,2,0
2100,14478,4,0,0,0,0,0,3,0,1,0,2,3,0,0,22,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,8,0,0,1,6,8,0,0,0,0,5,0,0,0,0,0,21,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,83,77,3,0,0,5,0,16,0,0,0,0,0,1,6,0,0,0,1,8,0,0,0,0,3,0,0,1,11,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,6,0,1,0
2140,NA,2,0,0,1,0,3,3,1,1,0,3,7,0,0,12,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,5,0,0,0,5,1,0,0,0,0,21,0,0,5,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,13,0,82,63,1,0,0,1,0,10,0,0,0,0,0,0,6,0,0,0,2,23,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,3,2,0,0,0
2200,NA,7,0,0,0,0,3,3,2,3,0,4,8,0,0,24,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,18,0,0,5,0,0,12,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,15,0,51,95,3,1,0,0,0,8,0,0,0,0,0,0,3,0,0,0,4,29,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,3,0,3,1
