"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Lamiaceae","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown"
300,5618,16,0,0,30,0,0,0,0,1,0,121,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,15,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
310,5806,18,0,0,10,0,0,0,0,0,0,127,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,16,16,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,1
320,6493,11,0,2,5,0,0,0,0,1,0,150,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,11,0,0,1,0,0,1,0,1,0,0,0,21,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
330,7236,24,0,0,13,0,0,0,0,0,0,110,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,31,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,1,0
340,7979,13,0,2,21,0,0,0,0,0,0,119,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,18,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1
350,8722,16,0,1,8,0,0,0,0,0,0,126,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1,0,18,17,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0
360,9465,15,0,0,3,0,0,0,0,0,0,142,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,19,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,10208,10,0,0,8,0,0,0,0,1,0,142,0,0,0,0,0,0,1,3,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,21,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,10950,9,0,0,5,0,0,0,0,0,0,137,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
390,11693,15,0,0,8,0,0,0,0,1,0,130,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,22,14,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,2
400,12436,0,0,0,6,0,0,0,0,0,0,139,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0,27,11,0,0,0,1,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,1
403,12659,0,0,0,1,0,0,0,0,3,0,42,0,0,0,0,0,0,48,9,4,1,0,0,2,0,3,0,0,0,1,55,0,0,0,0,0,0,0,25,44,0,0,14,2,0,4,3,2,1,0,8,0,0,0,0,0,0,2,0,1,0
405,12808,0,0,0,11,0,0,2,5,1,0,61,2,0,0,2,0,3,42,3,1,4,0,0,1,0,6,0,0,0,0,12,0,0,1,0,0,0,0,6,24,0,0,13,2,0,0,3,0,0,1,17,0,0,1,0,1,0,0,0,1,0
410,13179,0,0,0,16,0,1,0,2,2,0,50,0,0,0,0,0,0,67,4,1,2,0,0,0,0,4,0,0,0,0,2,4,0,0,0,0,0,0,6,40,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,6,0,0,0,1,3
420,NA,1,0,0,13,0,3,0,5,1,1,21,1,2,0,5,0,0,73,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,11,42,0,0,7,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,3,7
430,NA,0,0,0,10,1,0,0,4,3,1,15,1,0,0,3,0,0,117,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,19,0,0,0,1,0,0,0,4,0,0,1,0,2,0,0,0,0,138
440,NA,0,0,0,0,0,1,0,6,1,1,39,0,0,0,2,0,3,71,1,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,16,36,0,0,9,1,0,1,4,0,1,0,6,0,0,1,0,6,1,0,0,0,7
450,NA,0,0,0,2,0,0,0,1,1,0,21,0,0,0,0,0,4,45,3,0,1,1,1,0,0,11,0,0,0,0,2,0,0,0,0,0,1,0,26,71,0,0,8,0,0,0,9,0,0,0,8,0,0,0,0,2,0,0,0,1,187
460,NA,6,0,0,1,0,0,0,0,0,0,10,0,0,1,2,0,0,19,15,0,1,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,64,70,0,0,4,0,0,0,3,0,1,0,1,0,0,0,0,7,0,1,0,1,105
