"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea","Adiantum","Equisetum","Huperzia.lucidula","Ophioglossaceae","Osmundaceae","Polypodiophyta.undiff.","Pteridium","Pediastrum","Bryophyta.undiff.","Sphagnum","Brasenia.schreberi","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium.type","Typha.latifolia.type","Spore..trilete.","Tilletia","Indeterminable","Unknown.undiff.","Unknown.I"
595,7384,0,1,32,3,13,14,0,0,0,0,1,0,0,127,3,17,0,5,1,2,0,0,0,0,0,0,0,41,0,11,2,3,17,1,110,0,0,0,8,23,59,1,2,0,1,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
605,7545,1,0,46,3,5,10,1,0,0,0,0,0,0,146,5,12,0,1,1,3,0,0,0,0,0,0,0,35,0,9,0,5,37,0,60,2,0,0,7,39,45,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
615,7737,0,3,41,3,15,15,0,0,0,0,0,0,0,126,5,15,0,14,0,2,0,0,0,0,0,0,1,69,2,8,0,14,28,0,97,1,0,0,13,22,65,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0
625,7969,0,2,34,1,17,8,0,1,0,0,1,0,0,134,7,19,0,4,0,4,0,0,0,0,0,0,1,30,0,11,2,6,30,0,66,0,0,0,5,107,58,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0
635,8245,0,0,44,2,23,3,0,0,0,0,0,0,0,53,13,29,1,9,0,0,1,0,0,0,0,0,0,16,0,24,2,28,9,0,57,0,0,0,13,186,43,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,1,0,2,0,1,0,0,0,4,2,0
645,8564,0,1,12,0,11,3,0,0,0,0,0,0,0,29,1,10,0,3,0,0,1,0,0,0,0,1,0,21,1,29,2,24,2,0,77,1,0,0,5,148,22,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0
655,8928,0,0,21,0,20,6,0,0,0,0,0,0,0,10,4,13,1,6,0,2,0,0,0,0,0,0,0,46,3,41,0,57,2,0,171,2,0,0,7,41,21,0,2,0,2,1,0,1,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,2,0,0,1,0,0,3,1,0
665,9336,0,0,11,2,19,2,0,0,0,0,1,0,0,2,11,30,0,1,0,1,0,0,0,0,0,0,0,18,0,53,6,40,2,0,97,1,0,0,5,72,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
675,9783,3,0,18,2,40,4,0,0,0,0,1,0,0,3,9,28,0,0,0,0,2,0,0,0,0,0,0,83,0,80,14,71,2,0,146,0,0,0,0,22,24,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0
680,10018,1,2,4,1,38,2,0,0,0,0,0,0,0,1,2,20,0,0,0,1,1,0,0,0,0,0,0,37,0,64,53,148,2,2,121,2,0,0,0,12,21,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
690,10500,5,5,8,0,55,2,0,0,0,0,2,0,0,2,1,21,0,2,0,1,1,0,0,0,0,0,0,40,2,64,31,74,1,1,142,1,0,0,1,11,29,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,1,0,0,6,1,0
695,10744,5,0,9,0,78,1,0,0,0,0,3,0,0,1,0,30,0,3,0,0,5,0,0,0,0,0,0,45,2,104,23,105,1,0,116,0,0,0,1,2,33,0,1,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0
705,11233,13,0,12,2,68,1,0,0,0,0,5,0,0,1,1,27,0,2,0,0,7,0,0,0,6,0,0,29,12,93,25,82,0,20,57,1,0,0,0,5,30,0,3,0,1,2,0,0,1,0,23,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,4,0,0,0,7,2,0
715,11708,6,0,8,4,16,1,0,1,0,0,5,0,0,0,5,18,0,1,0,2,19,0,0,0,0,0,0,19,44,38,38,90,0,18,57,2,0,0,0,4,19,0,3,0,5,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,9,0,0,0,0,0,0,3,0,4,1,1,0,3,0,0
725,12165,2,0,1,10,21,0,0,0,0,1,1,0,0,0,0,4,0,0,0,1,13,0,0,0,0,0,0,13,146,15,32,32,0,12,24,1,0,0,0,4,10,0,0,0,6,1,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
735,12607,3,0,2,10,13,0,0,0,0,2,0,0,0,0,3,7,0,0,1,0,13,0,0,0,0,0,0,8,238,8,33,38,0,8,21,5,0,0,0,5,3,0,1,0,13,5,0,0,0,0,28,0,1,0,0,0,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,13,0,1,0,0,0,0,0,0,3,1,0,1,9,2,0
745,13039,4,0,2,8,8,1,0,0,0,0,1,0,0,0,1,12,0,0,0,2,21,0,0,0,0,0,0,14,255,14,40,32,0,29,51,4,0,2,0,2,9,0,7,0,8,9,0,0,0,0,46,0,0,0,0,0,14,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,5,0,8,1,1,0,0,0,0,0,0,3,0,0,0,10,4,0
755,13464,1,0,0,0,5,1,0,0,0,0,3,0,0,2,2,13,0,0,0,2,2,0,0,0,0,0,0,23,212,2,10,26,0,5,52,5,0,4,0,0,4,0,4,0,5,9,0,0,0,0,53,0,0,0,0,0,18,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0
765,NA,2,0,3,3,11,2,0,0,0,0,2,0,0,0,3,37,0,1,0,18,1,0,0,0,0,0,0,57,210,1,11,21,1,3,60,7,0,1,0,0,5,0,8,0,9,2,0,0,0,3,78,0,0,0,0,0,37,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,7,0,1,0,0,0,0,0,0,6,0,0,0,21,3,0
775,NA,1,0,2,2,4,0,0,0,0,0,1,2,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,7,43,1,12,7,0,2,14,5,0,0,0,0,1,0,11,0,18,3,0,1,0,0,41,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,11,1,1,0,0,0,0,0,0,1,0,0,0,12,2,6
780,NA,5,1,4,6,28,1,0,0,0,0,1,7,0,0,2,15,0,0,0,12,1,0,0,0,0,0,0,32,128,4,17,18,0,4,49,23,0,0,0,0,4,0,8,0,61,22,0,0,0,0,84,0,0,0,0,0,24,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,13,0,62,0,0,0,0,0,0,1,0,0,0,0,0,39,7,3
790,NA,0,0,6,16,52,0,0,0,0,0,2,10,0,1,3,30,0,1,0,21,0,0,0,0,0,0,0,19,118,6,42,64,1,4,79,14,0,0,0,0,9,0,6,0,32,24,2,1,1,1,90,0,0,0,0,1,41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,1,0,1,0,0,11,0,0,0,0,0,76,0,10
795,NA,2,0,3,3,17,0,0,0,0,0,1,4,0,0,0,5,0,0,0,15,1,0,0,0,1,0,0,15,80,4,7,33,0,3,32,9,0,0,0,0,3,0,2,0,121,7,1,0,2,1,67,1,0,0,0,1,36,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,5,0,0,0,0,0,29,5,20
805,NA,1,0,4,3,26,1,0,0,0,0,1,4,0,0,1,7,0,0,0,15,1,0,0,0,0,0,0,10,47,2,17,22,0,3,45,4,0,0,0,0,2,0,1,0,3,9,1,0,0,0,54,0,0,0,0,0,38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,3,57,8
815,NA,0,0,1,8,20,1,0,0,0,0,3,9,0,0,1,13,0,0,0,10,2,0,0,0,0,0,0,23,108,1,24,31,1,13,77,3,0,1,0,0,2,0,1,0,0,9,0,0,0,0,45,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,0,0,6,0,18,0,28
825,NA,0,0,2,1,18,0,0,0,0,0,0,3,1,0,0,5,0,0,0,11,0,0,0,0,0,0,0,9,56,1,5,11,0,6,16,3,0,0,0,0,3,0,2,0,3,4,0,0,0,0,48,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0,1,0,5,1,16,2,1
835,NA,1,0,4,10,12,0,0,0,0,0,2,2,0,0,0,1,0,1,0,19,0,0,0,0,0,0,0,6,84,0,22,44,0,3,20,5,0,0,0,0,3,0,2,0,8,5,0,0,2,1,68,0,1,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,2,0,3,0,13,0,32,0,8
845,NA,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,12,0,1,5,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,7,0,1
855,NA,3,0,0,4,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,3,0,0,0,0,0,0,4,56,0,2,6,0,1,19,3,0,0,0,0,2,0,2,0,1,2,1,0,0,0,20,1,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,13,0,7,0,2
