"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris.type","Ericaceae","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.cf..P..glauca","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhus.typhina","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Sarracenia.purpurea","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.undiff."
375,6514,2,0,4,0,12,0,72,24,2,0,0,1,0,194,0,0,0,0,0,0,0,0,2,4,0,2,0,9,0,15,4,0,3,0,1,0,0,0,0,2,1,0,0,1,1,0,3,0,0,3,0,0,0,18,0,7,4,22,0,276,48,1,0,0,5,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63,0,0,23,0,0,0,0,0,0,0,0
385,6763,2,0,0,0,4,0,3,7,0,0,0,0,1,66,0,1,0,0,1,0,0,0,2,1,0,1,0,6,0,7,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,10,0,148,31,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,63,0,0,8,0,1,3,0,0,0,0,0
400,7137,2,0,0,0,1,0,7,1,2,0,0,1,1,59,0,0,0,0,0,1,0,0,4,1,0,0,0,1,1,3,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7,0,4,3,9,0,270,92,0,0,0,6,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,11,0,0,4,1,6,2,0,0,0,0,0
412,7435,1,0,0,3,2,0,5,2,0,0,0,1,3,85,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,4,8,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,4,0,28,0,252,37,0,0,1,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,4,0,0,7,0,0,0,0,0,0,0,0
425,7759,0,0,3,0,6,0,4,6,0,2,0,1,0,95,0,1,0,1,0,0,0,0,6,2,0,0,0,7,0,15,5,0,0,0,2,1,2,0,0,1,2,0,0,1,2,0,4,0,0,0,0,0,0,2,0,2,1,18,0,267,66,1,0,0,4,0,0,0,0,0,93,1,0,0,0,0,0,0,1,0,0,0,0,1,9,1,0,5,1,0,30,0,4,0,0,0,0,0,0
437,8058,3,0,0,0,3,0,5,33,1,1,0,1,2,196,0,0,0,0,0,1,0,0,2,1,0,0,0,5,0,6,3,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,5,0,0,1,0,0,0,3,0,10,4,38,0,218,125,2,0,1,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,11,0,8,4,0,0,0,0,0
450,8382,0,0,0,0,1,0,6,14,1,0,0,2,1,143,0,0,0,0,0,0,0,0,4,1,2,0,0,4,0,13,8,0,0,0,0,1,0,0,5,8,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,32,15,48,0,192,24,2,0,3,13,1,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,2,0,0,10,1,0,3,0,0,0,0,0
462,8680,2,0,0,0,2,0,3,9,0,1,0,2,1,139,0,1,1,0,0,2,0,0,1,1,0,0,0,2,0,9,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,5,0,3,0,76,0,66,32,0,0,0,8,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,11,0,0,1,0,0,0,0,0
475,9004,3,0,0,0,5,1,0,43,1,0,0,1,0,138,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,7,1,0,0,0,0,3,1,0,4,2,3,0,0,0,0,0,8,0,0,0,0,0,0,4,0,3,1,154,0,31,26,4,0,0,12,0,0,0,0,0,32,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,9,1,0,0,0,0,0,0,1
487,9303,7,0,1,0,2,2,0,29,0,0,0,1,0,139,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,7,104,0,29,132,11,0,0,17,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,1,0,0,4,0,1,12,0,0,0,0,0
