"sample.depths","sample.ages","Sample.volume..ml.","Eucalyptus.suspension..volume.added..ml.","Eucalyptus.suspension..concentration..grains.ml.","Eucalyptus.spike..number.counted.","Picea","Pinus.strobus","Pinus.banksiana","Pinus.undiff.","Abies","Tsuga","Larix","Thuja","Betula","Populus","Quercus","Ulmus","Fagus","Carya","Acer","Fraxinus","Tilia","Juglans","Ostrya.Carpinus","Castanea","Other.trees","Juniperus.type","Juniperus.Thuja","Alnus.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana","Salix","Corylus","Elaeagnus","Shepherdia.argentea","Shepherdia.canadensis","Myrica","Cornus","Other.shrubs","Ericaceae","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Rubus","Chenopodiaceae","Apiaceae","Fabaceae","Dryas","Potentilla","Rosaceae.undiff.","Saxifragaceae","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Caltha","Polygonum","Urticaceae","Oxyria.Digyna","Rumex","Iris.versicolor","Plantago","Other.herbs","Isoëtes","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodiella.inundata","Huperzia.lucidula","Lycopodium.obscurum","Equisetum","Pteridophyta.undiff.","Botrychium","Pteridium","Polypodiaceae","Other.ferns","Unknown","Cyperaceae","Typha","Sparganium","Potamogeton","Nuphar","Nymphaea","Myriophyllum","Sphagnum","Bryophyta.undiff.","Menyanthes.trifoliata","Osmunda","Callitriche","Nymphoides","Dryopteris","Eriocaulon.aquaticum","Other.aquatics","Stratiotes.aloides","X.s.Pollen.Sum"
130,1788,1,0,136400,130,74,25,12,11,62,27,7,0,198,2,17,0,24,0,3,1,0,1,0,0,0,0,2,0,3,6,1,0,0,0,0,6,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,1,0,22,5,0,0,10,0,2,1,0,0,0,2,0,0,6,0,0,3,0,0,0,0,0,1,489
140,1957,1,0,136400,185,63,37,18,14,56,51,4,0,223,2,18,2,30,0,4,8,0,0,0,0,0,0,2,0,3,15,1,1,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,11,3,0,0,15,0,4,1,0,0,1,3,0,0,7,0,2,1,0,0,0,0,0,0,566
150,2126,1,0,136400,138,50,37,18,25,85,36,3,0,258,5,8,2,28,1,4,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,5,0,0,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,3,0,5,0,0,0,15,0,2,2,0,0,0,3,0,0,10,0,1,4,2,0,0,0,0,0,589
160,2295,1,0,136400,171,51,50,17,23,60,27,6,0,225,5,20,3,23,1,5,6,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,9,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,2,0,2,0,6,3,0,0,10,0,2,2,0,0,0,1,0,0,11,0,3,2,0,0,0,0,0,0,557
170,2464,1,0,136400,139,57,58,8,14,43,21,5,0,192,1,20,1,18,0,3,6,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,2,0,2,0,0,0,12,0,2,1,0,0,0,1,1,0,10,0,2,4,0,0,0,0,0,0,477
180,2633,1,0,136400,148,47,29,10,10,35,23,3,0,232,0,15,3,18,0,1,8,0,0,2,0,0,0,1,0,5,13,3,0,0,0,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,3,0,0,0,12,0,3,0,0,0,0,1,0,0,6,2,0,4,0,0,0,0,0,0,474
190,2802,1,0,136400,145,38,18,1,9,39,22,0,0,167,1,19,2,11,0,3,3,0,0,1,0,0,0,2,0,4,7,0,0,0,0,0,4,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,2,0,2,2,0,0,7,0,2,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,359
200,2971,1,0,136400,136,22,23,2,6,28,21,2,0,163,2,15,1,7,0,3,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,2,0,0,5,0,3,3,0,0,0,2,0,0,7,0,0,2,0,0,0,0,0,0,323
210,3140,1,0,136400,184,29,22,10,11,34,23,1,0,199,0,12,1,21,0,3,5,0,0,1,0,0,0,3,0,3,8,2,0,0,0,0,11,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,0,0,1,0,2,0,2,5,0,0,10,0,4,1,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,409
220,3309,1,0,136400,180,26,24,3,11,19,24,1,0,290,1,17,2,23,0,6,5,0,0,1,0,0,0,0,0,7,12,0,1,0,0,0,5,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,3,0,2,0,2,1,0,0,13,0,2,1,0,0,0,0,0,0,9,0,1,2,0,0,0,0,0,0,490
230,3478,1,0,136400,135,28,34,5,8,21,33,1,0,276,1,21,1,18,0,3,8,0,0,2,0,0,0,0,0,2,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,8,1,0,0,9,0,5,1,0,0,0,2,0,0,4,1,1,2,3,0,0,0,0,0,484
240,3647,1,0,136400,164,33,34,6,10,23,24,2,0,280,0,14,0,15,1,3,3,0,0,2,0,0,0,0,0,2,9,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,NA,6,0,0,0,17,0,4,0,0,0,0,0,1,0,2,2,4,0,0,0,0,0,0,0,475
250,3816,1,0,136400,80,34,23,3,7,22,19,1,0,175,0,12,1,12,0,2,2,0,0,1,0,0,0,0,0,3,14,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,6,0,3,0,0,0,0,4,1,0,2,0,1,1,0,0,0,0,0,0,338
260,3985,1,0,136400,116,30,41,3,10,12,19,3,0,179,0,18,0,3,0,2,2,0,2,1,0,0,0,3,0,2,7,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,2,0,6,0,0,0,7,0,6,2,0,0,0,1,1,0,7,0,1,2,0,0,0,0,0,0,353
270,4154,1,0,136400,79,23,33,3,5,27,12,0,0,180,0,20,0,7,0,0,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,1,0,1,0,19,4,0,0,10,0,6,2,0,0,0,2,0,0,4,3,1,1,0,0,0,0,0,0,331
280,4323,1,0,136400,79,27,55,3,9,11,19,1,0,170,1,20,0,8,0,1,0,0,1,3,0,0,0,0,0,3,6,1,1,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,16,3,0,0,6,0,5,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,355
