"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Arceuthobium","Betula","Carya","Castanea","Corylus","Cyperaceae","Juglans.cinerea","Juglans.nigra","Nyssa","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Populus","Poaceae","Cephalanthus.occidentalis","Platanus.occidentalis","Liquidambar.styraciflua","Fagus.grandifolia","Ambrosia.Iva","Ericaceae","Fraxinus.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Polygonum.lapathifolium.type","Fabaceae","Acer.rubrum","Ilex","Ulmus","Apiaceae","Brassicaceae","Acer.saccharum","Picea.undiff.","Thalictrum","Tilia","Cornus","Lamiaceae","Abies","Acer.negundo","Fraxinus.pennsylvanica.type","Amaranthaceae","Urticaceae","Fraxinus.nigra.type","Plantago","Diospyros","Artemisia","Rhamnaceae","Acer.undiff.","Cupressaceae","Alnus.undiff.","Caryophyllaceae","Epilobium","Polemonium","Sanguisorba.canadensis","Coniferophyta.undiff.","Larix","Rosaceae.undiff.","Picea.glauca","Picea.mariana","Campanula","Asteraceae.subf..Cichorioideae","Galium"
230,15527,0.543589743589744,0.0384615384615385,0.0102564102564103,0.0128205128205128,0,0,0,0.0948717948717949,0,0,0,0.00512820512820513,0.0897435897435897,0.0179487179487179,0,0,0.0358974358974359,0,0.0102564102564103,0,0,0,0,0.00256410256410256,0,0,0.0307692307692308,0.00256410256410256,0,0,0,0,0.00256410256410256,0,0,0,0.058974358974359,0.00256410256410256,0,0,0,0.0179487179487179,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0.0179487179487179,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0
230.1,15530,0.490196078431373,0.0112044817927171,0,0,0,0,0,0.0672268907563025,0,0,0,0.00560224089635854,0.120448179271709,0.00280112044817927,0,0,0.0728291316526611,0,0.0224089635854342,0,0,0,0.00280112044817927,0,0,0,0.0588235294117647,0,0,0,0.00280112044817927,0,0,0,0,0,0.0532212885154062,0.00560224089635854,0,0,0,0.00560224089635854,0.00280112044817927,0,0,0,0.00280112044817927,0,0,0,0,0,0,0.0112044817927171,0,0,0.00280112044817927,0.0112044817927171,0.0280112044817927,0,0,0.0112044817927171,0.00560224089635854,0,0.00280112044817927,0
240,15776,0.354755784061697,0.0154241645244216,0.0025706940874036,0.0025706940874036,0,0,0,0.0951156812339332,0,0,0,0.0051413881748072,0.12853470437018,0.0102827763496144,0.0051413881748072,0,0.0565552699228792,0,0.012853470437018,0.0025706940874036,0,0,0,0,0,0.0025706940874036,0.06426735218509,0.0154241645244216,0,0,0,0,0,0,0.0051413881748072,0,0.149100257069409,0.0051413881748072,0,0,0,0.0565552699228792,0,0,0,0,0,0,0,0,0,0,0,0.0051413881748072,0,0,0,0.0051413881748072,0,0,0,0,0,0,0,0
250,15937,0.493333333333333,0.0533333333333333,0.00266666666666667,0.0133333333333333,0,0,0,0.096,0,0,0,0,0.0746666666666667,0.00533333333333333,0.00266666666666667,0,0.0533333333333333,0,0.0133333333333333,0,0,0,0.00266666666666667,0,0,0,0.0133333333333333,0.0133333333333333,0,0,0,0,0,0,0,0,0.0853333333333333,0.00533333333333333,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0
260,16034,0.555555555555556,0.02710027100271,0.002710027100271,0.002710027100271,0,0,0,0.056910569105691,0.002710027100271,0,0,0.002710027100271,0.078590785907859,0.013550135501355,0.002710027100271,0,0.040650406504065,0,0.021680216802168,0,0,0,0,0,0,0,0.024390243902439,0.010840108401084,0.002710027100271,0,0,0,0.002710027100271,0,0,0,0.0894308943089431,0.008130081300813,0,0,0,0.032520325203252,0,0,0,0,0,0,0,0,0,0,0,0.013550135501355,0.002710027100271,0.002710027100271,0,0.002710027100271,0,0,0,0,0,0,0,0
270,16092,0.523936170212766,0.0212765957446809,0.00265957446808511,0.0212765957446809,0,0,0.00265957446808511,0.0638297872340425,0,0,0,0,0.0904255319148936,0,0,0,0.0664893617021277,0,0.0159574468085106,0,0,0,0,0,0,0,0.0265957446808511,0.0106382978723404,0,0,0,0,0,0,0.00265957446808511,0,0.0877659574468085,0.00531914893617021,0,0,0,0.0452127659574468,0,0,0,0,0,0,0,0,0,0,0,0.00531914893617021,0,0,0,0.00531914893617021,0,0,0.00265957446808511,0,0,0,0,0
280,16133,0.335064935064935,0.0727272727272727,0,0.00779220779220779,0,0,0,0.0701298701298701,0,0,0,0.0025974025974026,0.14025974025974,0.0025974025974026,0,0,0.0493506493506494,0,0.0181818181818182,0,0,0,0.0025974025974026,0,0,0,0.0467532467532468,0.0207792207792208,0,0,0,0,0,0,0,0,0.122077922077922,0,0,0,0.0025974025974026,0.038961038961039,0,0,0,0,0.0025974025974026,0,0,0,0,0,0,0.0363636363636364,0,0,0,0.00779220779220779,0.0207792207792208,0,0,0,0,0,0,0
290,16181,0.495260663507109,0.00710900473933649,0.004739336492891,0.009478672985782,0,0,0,0.033175355450237,0,0,0,0.00710900473933649,0.144549763033175,0.014218009478673,0,0,0.0568720379146919,0.014218009478673,0.0118483412322275,0,0,0,0,0,0,0,0.037914691943128,0.004739336492891,0,0,0,0.0023696682464455,0,0.004739336492891,0,0,0.0450236966824645,0.004739336492891,0,0,0,0.0308056872037915,0,0,0,0,0.0023696682464455,0,0,0,0,0,0,0,0.0023696682464455,0.0023696682464455,0.0023696682464455,0.00710900473933649,0.0118483412322275,0,0,0.037914691943128,0,0,0.0023696682464455,0.0023696682464455
300,16260,0.428571428571429,0.069047619047619,0.00952380952380952,0.019047619047619,0.00238095238095238,0,0,0.0523809523809524,0.00238095238095238,0,0,0.00476190476190476,0.0952380952380952,0.0142857142857143,0,0,0.0452380952380952,0,0.0142857142857143,0,0,0,0,0,0,0,0.0142857142857143,0.0119047619047619,0,0,0,0,0.00238095238095238,0.00238095238095238,0,0,0.0976190476190476,0.00476190476190476,0,0,0,0.0380952380952381,0,0,0,0,0,0,0,0,0,0,0,0.0404761904761905,0,0.00238095238095238,0.00238095238095238,0.00238095238095238,0.019047619047619,0,0.00238095238095238,0,0,0,0.00238095238095238,0
310,16391,0.551312649164678,0.0190930787589499,0.00238663484486874,0.0143198090692124,0,0,0,0.0429594272076372,0,0,0,0.00477326968973747,0.119331742243437,0.0190930787589499,0,0,0.0692124105011933,0.00238663484486874,0.00954653937947494,0.00238663484486874,0,0,0,0,0,0,0.0262529832935561,0.00477326968973747,0,0,0,0,0,0,0,0.00238663484486874,0.0238663484486874,0.00477326968973747,0,0,0,0.0190930787589499,0,0.00238663484486874,0,0,0,0,0,0,0,0,0,0.00954653937947494,0.00238663484486874,0,0,0.0071599045346062,0.0143198090692124,0,0.00238663484486874,0.0214797136038186,0,0,0.00238663484486874,0
310.1,16393,0.563855421686747,0.0289156626506024,0.00240963855421687,0.0120481927710843,0,0,0,0.036144578313253,0,0,0,0.0072289156626506,0.0819277108433735,0.0168674698795181,0,0,0.0602409638554217,0.00240963855421687,0.0144578313253012,0,0,0,0,0,0,0,0.0168674698795181,0,0.00240963855421687,0,0,0,0,0,0,0,0.0771084337349398,0.00481927710843374,0,0,0,0.0168674698795181,0,0,0,0,0,0,0,0,0,0.00240963855421687,0,0.00963855421686747,0,0,0,0,0.036144578313253,0,0.00240963855421687,0,0.00481927710843374,0,0,0
