"sample.depths","sample.ages","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Alnus","Populus","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Salix","Thalictrum","Poaceae","Iva.annua.type","Ericaceae","Ulmus","Vitis","Myricaceae","Tsuga","Onagraceae","Platanus","Acer.negundo","Pinus.undiff.","Amorpha.type","Carya","Caryophyllaceae","Rumex","Urtica.type","Shepherdia","Rosaceae","Moraceae","Juglans.nigra"
280,6166,0,0,0.0373831775700935,0.0257009345794393,0.0957943925233645,0.00934579439252336,0.00934579439252336,0.0420560747663551,0.00467289719626168,0,0,0.0116822429906542,0.014018691588785,0.492990654205608,0.0537383177570093,0.0280373831775701,0,0.014018691588785,0.088785046728972,0.00700934579439252,0.00467289719626168,0,0.00700934579439252,0,0.0420560747663551,0,0,0.00467289719626168,0,0,0,0,0.00233644859813084,0,0,0,0.00233644859813084,0.00233644859813084,0,0,0,0,0,0
290,6288,0.00297619047619048,0,0.00892857142857143,0.0238095238095238,0.133928571428571,0.00595238095238095,0.00595238095238095,0.0267857142857143,0.00595238095238095,0.00892857142857143,0.0238095238095238,0.00595238095238095,0.0119047619047619,0.553571428571429,0,0.0297619047619048,0.00297619047619048,0.00297619047619048,0.0982142857142857,0,0.00595238095238095,0.00297619047619048,0.00297619047619048,0,0.00297619047619048,0,0,0.00595238095238095,0,0,0,0,0,0.00297619047619048,0.0238095238095238,0,0,0,0,0,0,0,0,0
310,6531,0,0,0.0160857908847185,0.0428954423592493,0.134048257372654,0.0187667560321716,0.00268096514745308,0.0348525469168901,0.00536193029490617,0.00536193029490617,0,0.00536193029490617,0.0107238605898123,0.517426273458445,0.032171581769437,0.0455764075067024,0,0.00268096514745308,0.096514745308311,0,0,0,0.00268096514745308,0,0.0214477211796247,0,0,0.00536193029490617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6652,0,0,0.00595238095238095,0.0357142857142857,0.0863095238095238,0.00892857142857143,0.00297619047619048,0.0357142857142857,0.0148809523809524,0.00297619047619048,0,0.0119047619047619,0.0119047619047619,0.589285714285714,0.0327380952380952,0.0267857142857143,0.00297619047619048,0,0.0863095238095238,0.00595238095238095,0,0,0.00892857142857143,0,0.0208333333333333,0.00595238095238095,0,0,0,0,0,0,0,0,0,0.00297619047619048,0,0,0,0,0,0,0,0
330,6774,0.00241545893719807,0,0.0193236714975845,0.0289855072463768,0.0579710144927536,0.00966183574879227,0.0072463768115942,0.0314009661835749,0.0072463768115942,0.00483091787439614,0,0.00241545893719807,0.0120772946859903,0.642512077294686,0.0241545893719807,0.0241545893719807,0,0.0072463768115942,0.0893719806763285,0.00483091787439614,0.00241545893719807,0.00241545893719807,0.00241545893719807,0,0.0144927536231884,0,0,0.00241545893719807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6895,0.00236406619385343,0,0.033096926713948,0.0260047281323877,0.0851063829787234,0.00472813238770686,0.00709219858156028,0.0425531914893617,0.00945626477541371,0.0118203309692671,0.00236406619385343,0.00709219858156028,0.0141843971631206,0.550827423167849,0.00472813238770686,0.0354609929078014,0,0,0.118203309692671,0.00472813238770686,0,0,0.00236406619385343,0,0.0283687943262411,0,0,0.00472813238770686,0,0.00472813238770686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,7017,0.0028735632183908,0,0.00862068965517241,0.0316091954022989,0.0977011494252874,0,0,0.0316091954022989,0.0114942528735632,0,0.0028735632183908,0,0.00574712643678161,0.580459770114943,0.0775862068965517,0.0114942528735632,0.0028735632183908,0.014367816091954,0.0775862068965517,0.0028735632183908,0,0,0,0,0.028735632183908,0,0,0.00574712643678161,0,0,0,0,0,0,0,0.0028735632183908,0.0028735632183908,0,0,0,0,0,0,0
370,7260,0,0,0.0220994475138122,0.0497237569060773,0.0994475138121547,0.0138121546961326,0.00276243093922652,0.0414364640883978,0.0138121546961326,0.00828729281767956,0,0.0110497237569061,0.00552486187845304,0.582872928176796,0.0165745856353591,0.0303867403314917,0,0,0.0580110497237569,0.00828729281767956,0.00276243093922652,0,0.0110497237569061,0,0.0110497237569061,0,0,0.00828729281767956,0,0,0,0,0.00276243093922652,0,0,0,0,0,0,0,0,0,0,0
380,7381,0.00183150183150183,0.00183150183150183,0.0311355311355311,0.0366300366300366,0.0952380952380952,0.0146520146520147,0.00915750915750916,0.0769230769230769,0.0183150183150183,0.00366300366300366,0.00183150183150183,0.00183150183150183,0.0146520146520147,0.529304029304029,0.0146520146520147,0.0238095238095238,0.00183150183150183,0.00732600732600733,0.0531135531135531,0.00915750915750916,0.00183150183150183,0,0.00732600732600733,0,0.0311355311355311,0.00183150183150183,0,0.00183150183150183,0,0.00366300366300366,0,0,0,0,0,0.00183150183150183,0,0.00366300366300366,0,0,0,0,0,0
390,7503,0,0.00244498777506112,0.0220048899755501,0.0415647921760391,0.078239608801956,0.0146699266503667,0.00244498777506112,0.0709046454767726,0.0122249388753056,0.00244498777506112,0,0.00488997555012225,0.0097799511002445,0.54278728606357,0.0317848410757946,0.0317848410757946,0.00244498777506112,0.0097799511002445,0.0513447432762836,0.0146699266503667,0,0,0.0171149144254279,0,0.0244498777506112,0,0,0.00733496332518337,0,0.00488997555012225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,7746,0,0,0.072463768115942,0.0579710144927536,0.106280193236715,0.0193236714975845,0,0.103864734299517,0.0120772946859903,0,0.00241545893719807,0,0.00483091787439614,0.458937198067633,0.0217391304347826,0.0120772946859903,0,0,0.072463768115942,0.00483091787439614,0,0,0.00483091787439614,0,0.0265700483091787,0.0120772946859903,0,0,0,0.0072463768115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,7921,0,0,0.0522243713733075,0.0638297872340425,0.102514506769826,0.0212765957446809,0.00386847195357834,0.133462282398453,0.011605415860735,0,0,0.00193423597678917,0.0154738878143133,0.425531914893617,0.00386847195357834,0.00580270793036751,0,0.00386847195357834,0.06963249516441,0.0212765957446809,0.00193423597678917,0,0.00580270793036751,0,0.0309477756286267,0.00967117988394584,0,0.00386847195357834,0,0.00773694390715667,0,0,0,0,0,0,0,0,0.00193423597678917,0.00193423597678917,0,0,0,0
