"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Celtis","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dalea","Ephedra","Ericaceae","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Impatiens","Indeterminable","Iva.annua.type","Iva.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.undiff.","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium.type","Malvaceae","Menyanthes.trifoliata","Morus","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polemoniaceae","Polygonaceae.undiff.","Populus","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
760,8606,0,0,0,0,0,2,24,93,2,0,45,5,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,1,0,0,0,0,12,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,12,0,0,49,1,0,0,16,4,0,0,0,14,0,0,0,4,0,0,0,9,14,2
770,8665,0,0,0,0,0,3,21,76,0,1,45,6,0,0,5,0,0,0,0,0,0,0,0,14,0,0,0,6,1,1,0,0,0,13,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,7,0,1,57,0,0,0,21,2,0,0,0,17,0,0,0,1,1,0,0,5,12,2
780,8724,0,0,0,0,0,2,17,74,1,0,55,13,0,0,0,0,0,1,0,0,0,0,0,11,2,0,0,5,0,3,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,4,11,0,0,61,1,0,0,22,2,0,0,0,13,0,0,0,2,1,0,0,13,7,1
790,8782,1,0,0,0,1,4,12,79,0,0,49,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0,0,0,3,5,0,1,0,0,1,0,0,0,0,0,0,0,0,4,3,0,2,9,0,0,64,1,0,0,18,3,0,0,0,12,0,0,0,0,0,0,0,6,22,2
800,8841,0,0,0,3,1,0,16,74,0,2,47,15,1,0,9,0,0,1,0,1,0,0,0,10,0,0,0,1,1,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,17,0,0,45,0,1,0,17,0,0,2,0,11,1,0,0,2,0,1,0,8,17,2
810,8900,2,0,0,0,0,2,9,68,2,0,48,11,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,8,0,2,0,1,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,17,0,0,78,0,0,0,16,1,0,0,1,13,0,0,0,2,0,0,0,2,9,2
820,8959,0,0,0,0,2,1,14,55,1,0,59,2,0,0,3,0,0,1,1,0,0,1,0,17,0,0,0,1,2,1,0,0,0,16,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,13,0,1,9,1,0,70,0,0,0,16,0,0,0,0,14,0,0,1,4,0,0,1,7,20,3
830,9018,0,0,0,0,0,1,12,66,0,0,50,11,0,0,1,1,0,2,0,0,0,3,0,11,3,0,0,0,0,1,0,0,0,8,5,0,2,0,0,0,0,0,0,0,0,0,0,0,4,6,0,1,6,0,0,87,0,0,0,25,1,0,0,0,16,1,0,0,0,2,0,0,6,20,1
840,9077,1,0,0,0,5,0,10,51,0,0,46,12,0,0,2,0,0,1,0,0,0,1,0,16,0,1,0,2,0,0,0,1,0,5,7,0,2,0,0,0,0,0,0,0,0,0,0,0,5,17,0,1,12,0,0,67,0,0,0,19,2,0,0,0,8,1,0,0,0,0,0,0,4,17,1
850,9136,0,0,0,2,0,2,19,58,0,2,41,4,0,0,2,0,0,0,0,0,0,0,0,16,2,0,0,0,0,3,0,0,0,9,0,0,5,0,0,2,0,0,0,0,1,0,0,0,5,3,1,0,15,0,2,57,2,0,0,41,7,0,0,0,7,0,0,0,0,0,0,0,4,18,2
