"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Dryas.type","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus","Galium","Ilex","Impatiens","Isoëtes","Juglans","Larix","Liliaceae","Liriodendron","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Polygonum","Polypodium.type","Pontederiaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Viburnum"
1028,15245,0,0,0,0,41,0,9,0,3,12,0,47,0,0,3,0,0,0,0,3,364,0,0,0,12,0,0,0,0,0,0,0,87,0,0,0,0,3,12,0,0,0,0,0,0,9,56,121,0,0,106,0,0,0,38,0,0,0,6,34,0,0,0,9,6,0,56,0,0,16,0,0,0,0,1,31,0
1033,15497,0,0,0,0,33,1,4,0,12,5,0,45,0,3,9,1,0,0,1,9,309,0,0,0,1,0,0,0,11,0,0,0,55,0,0,0,0,3,0,0,0,0,0,0,0,1,59,203,0,0,96,0,0,0,24,0,0,0,4,20,0,0,0,13,5,0,92,0,3,15,0,0,0,3,1,24,0
1038,15773,0,0,0,0,32,0,4,0,7,4,0,29,0,3,0,0,0,0,4,4,319,0,0,0,7,0,0,0,7,0,0,0,47,0,0,0,0,4,0,0,0,0,0,0,0,11,41,190,0,0,115,0,0,0,54,7,0,0,0,29,7,4,0,11,7,0,86,0,11,14,0,0,0,4,0,14,0
1043,16061,0,0,0,0,40,0,0,0,6,9,0,26,0,0,0,0,0,0,0,3,405,0,0,0,6,0,0,0,6,0,0,0,38,0,0,3,0,0,0,0,3,0,0,0,0,3,46,136,0,0,110,0,0,0,35,0,3,0,0,38,0,0,0,0,6,3,95,0,3,17,0,0,0,0,9,9,0
1049,16405,0,0,2,0,24,0,2,0,9,4,0,20,0,4,9,0,0,0,0,9,394,0,0,0,2,0,0,0,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,2,4,49,185,0,0,85,1,0,0,13,4,0,0,4,33,0,0,0,4,13,0,70,0,2,28,0,0,0,0,4,20,0
1053,16623,0,0,0,0,28,0,6,3,13,11,0,11,0,0,11,0,0,0,0,8,423,0,0,0,17,0,0,0,0,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,54,138,0,0,78,0,0,0,22,0,3,0,0,22,0,0,0,0,6,0,64,0,0,25,0,0,0,0,0,11,0
1058,16875,0,0,0,0,55,0,0,0,1,10,0,30,0,0,5,0,0,0,0,15,456,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,47,112,0,0,119,0,0,0,15,0,0,0,5,5,0,0,0,5,10,0,40,0,5,15,0,0,0,0,0,30,0
1063,17108,1,0,0,0,29,0,2,0,9,12,0,14,0,2,2,0,0,0,0,7,332,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85,302,0,0,76,0,0,0,9,0,0,0,3,35,0,0,0,1,2,1,30,0,4,21,0,3,0,1,0,17,0
1073,17534,0,0,3,0,30,0,3,0,7,9,0,6,0,3,15,0,0,0,0,6,532,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,112,0,0,57,0,0,0,15,0,6,0,0,27,0,0,0,6,3,3,51,0,3,24,0,0,0,0,0,27,0
1078,17736,0,0,0,0,33,0,8,0,13,17,0,17,0,0,4,0,0,0,0,0,451,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,147,0,0,91,0,0,0,33,0,0,0,8,29,0,0,0,8,4,0,58,0,8,25,0,0,0,0,0,25,0
1083,17938,3,0,0,0,28,0,3,0,8,3,0,6,0,3,0,0,0,0,0,6,332,3,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,8,43,289,0,0,69,0,0,0,53,0,3,0,3,25,0,0,0,0,3,3,66,0,8,17,0,0,0,3,0,19,0
1093.5,NA,0,0,0,0,28,0,8,0,10,12,2,8,0,0,2,0,0,0,0,14,393,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,55,244,0,0,44,0,0,0,34,0,2,0,0,14,0,0,0,2,6,0,69,0,8,30,0,0,0,0,0,10,0
