"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Plantago.major","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Shepherdia.canadensis","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Plantago.lanceolata.type","Rhamnus.alnifolia.R..frangula","Rumex.type","Tsuga.canadensis","Picea.undiff.","Juglans.cinerea","Taxus","Thalictrum","Rosaceae.undiff.","Caryophyllaceae","Picea.glauca.type","Fabaceae","Onagraceae","Acer.saccharinum","Nemopanthus.mucronatus","Juniperus.communis.Thuja.occidentalis.type","Artemisia","Myrica.gale","Ranunculaceae.undiff.","Zea.mays","Pinus.resinosa.type","Castanea.dentata","Corylus.cornuta","Rubiaceae","Acer.spicatum","Fraxinus.americana.type","Prunus.pensylvanica","Sambucus","Caprifoliaceae.undiff.","Brassicaceae","Viburnum.nudum","Viburnum.lentago","Impatiens","Cornus","cf..Oxyria.digyna"
160,4606,0,0.00662251655629139,0.0182119205298013,0.00662251655629139,0,0.415562913907285,0.139072847682119,0.0149006622516556,0.054635761589404,0.00993377483443709,0.00165562913907285,0,0,0,0,0.00496688741721854,0.0827814569536424,0,0,0,0.0281456953642384,0,0,0.0033112582781457,0,0.0248344370860927,0,0.00165562913907285,0.00165562913907285,0.0248344370860927,0.00827814569536424,0.00165562913907285,0.102649006622517,0,0,0,0.0380794701986755,0.00165562913907285,0.00827814569536424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,4775,0,0.00173913043478261,0.0139130434782609,0,0.00347826086956522,0.321739130434783,0.11304347826087,0.00521739130434783,0.0156521739130435,0.0121739130434783,0,0,0.00173913043478261,0,0,0.00695652173913044,0.0730434782608696,0,0,0,0.0347826086956522,0,0,0.00347826086956522,0,0.0330434782608696,0,0,0.00521739130434783,0.0139130434782609,0.00173913043478261,0,0.173913043478261,0,0,0,0.151304347826087,0.00173913043478261,0.0104347826086957,0,0.00173913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4860,0,0.0023094688221709,0.0092378752886836,0.0046189376443418,0,0.254041570438799,0.0900692840646651,0.0023094688221709,0.0092378752886836,0.0161662817551963,0.0207852193995381,0.0092378752886836,0.0184757505773672,0,0,0.0254041570438799,0.0484988452655889,0,0,0.0046189376443418,0.0369515011547344,0.0046189376443418,0,0.0046189376443418,0,0.0369515011547344,0,0,0,0.0069284064665127,0,0.069284064665127,0.0762124711316397,0,0,0,0.203233256351039,0.0092378752886836,0.0069284064665127,0,0,0,0,0,0,0,0.0023094688221709,0,0.0023094688221709,0,0.0023094688221709,0,0,0.0184757505773672,0,0,0.0023094688221709,0,0,0,0.0023094688221709,0,0,0,0,0,0,0
180,4945,0,0.0037243947858473,0.0167597765363128,0.0037243947858473,0,0.370577281191806,0.0707635009310987,0.0130353817504655,0.0242085661080074,0.0148975791433892,0.0074487895716946,0,0.00186219739292365,0,0,0.0074487895716946,0.0670391061452514,0,0,0,0.042830540037244,0.00186219739292365,0,0.00931098696461825,0,0.0279329608938547,0,0,0.0037243947858473,0.0074487895716946,0.0074487895716946,0,0.124767225325885,0,0,0,0.147113594040968,0.00186219739292365,0.0167597765363128,0,0,0,0,0,0,0,0,0,0,0.00186219739292365,0,0,0,0,0,0,0.00186219739292365,0.00186219739292365,0,0,0.00186219739292365,0,0,0,0,0,0,0
190,5114,0,0.00869565217391304,0.0108695652173913,0.00434782608695652,0,0.326086956521739,0.0217391304347826,0.00652173913043478,0.058695652173913,0.0217391304347826,0.00869565217391304,0.00217391304347826,0.00217391304347826,0,0,0.00217391304347826,0.0717391304347826,0,0.00217391304347826,0,0.0304347826086957,0.00434782608695652,0,0.00869565217391304,0,0.0282608695652174,0,0,0.00652173913043478,0.00652173913043478,0.00434782608695652,0.00869565217391304,0.0934782608695652,0,0,0,0.219565217391304,0.00869565217391304,0.00434782608695652,0,0,0,0,0,0,0,0,0.0173913043478261,0,0.00434782608695652,0,0,0,0,0,0,0,0,0,0,0.00652173913043478,0,0,0,0,0,0,0
195,5199,0.00183823529411765,0,0.00919117647058824,0,0.00183823529411765,0.409926470588235,0.0349264705882353,0,0.0147058823529412,0.00735294117647059,0.00735294117647059,0.00183823529411765,0.00551470588235294,0,0.00183823529411765,0.00919117647058824,0.0661764705882353,0,0,0.00183823529411765,0.0330882352941176,0.00551470588235294,0,0.00919117647058824,0,0.0367647058823529,0,0,0,0.0147058823529412,0.00367647058823529,0.0496323529411765,0.0294117647058824,0,0,0.00919117647058824,0.169117647058824,0.00551470588235294,0.00919117647058824,0,0,0,0,0,0.00183823529411765,0,0,0.0147058823529412,0,0,0,0,0,0.00183823529411765,0,0.00183823529411765,0,0,0,0,0.0202205882352941,0.00551470588235294,0.00367647058823529,0.00183823529411765,0,0,0,0
200,5214,0.00139275766016713,0.00557103064066852,0.0139275766016713,0.0167130919220056,0.00139275766016713,0.321727019498607,0.00974930362116992,0.00835654596100279,0.0139275766016713,0.00696378830083565,0,0.00278551532033426,0.00696378830083565,0,0,0.00557103064066852,0.0877437325905292,0,0,0.00278551532033426,0.0306406685236769,0,0,0.00417827298050139,0.00139275766016713,0.00974930362116992,0,0,0.00139275766016713,0.00835654596100279,0,0.0278551532033426,0.0738161559888579,0,0,0,0.122562674094708,0,0.0125348189415042,0,0,0,0,0,0.00835654596100279,0,0,0.0557103064066852,0,0.00139275766016713,0.00139275766016713,0,0,0,0,0.00278551532033426,0,0,0,0.00139275766016713,0.129526462395543,0,0,0,0.00139275766016713,0,0,0
205,5230,0,0.00205338809034908,0.0143737166324435,0,0.00205338809034908,0.137577002053388,0.0677618069815195,0.00205338809034908,0,0.0164271047227926,0,0.00616016427104723,0.00410677618069815,0,0,0.0349075975359343,0.0698151950718686,0,0,0.00205338809034908,0.0225872689938398,0.00205338809034908,0,0.00616016427104723,0,0.0225872689938398,0,0,0.00205338809034908,0.0164271047227926,0,0.080082135523614,0.180698151950719,0,0,0,0.264887063655031,0.0102669404517454,0.00205338809034908,0,0,0.00410677618069815,0,0,0,0,0,0.00205338809034908,0,0.00205338809034908,0,0,0,0,0,0,0,0,0,0,0.0164271047227926,0,0,0,0,0.00616016427104723,0,0
210,5246,0,0,0.0381282495667244,0.00519930675909879,0.000866551126516464,0.0511265164644714,0.00519930675909879,0.00259965337954939,0.00346620450606586,0.0103986135181976,0.000866551126516464,0,0,0,0,0.000866551126516464,0.140381282495667,0,0,0,0.012998266897747,0.00259965337954939,0,0.00519930675909879,0,0.00346620450606586,0,0,0.00173310225303293,0.00346620450606586,0.00259965337954939,0.0173310225303293,0.317157712305026,0,0,0,0.133448873483536,0,0.00259965337954939,0,0,0,0,0,0,0,0.00259965337954939,0.11265164644714,0,0.00173310225303293,0,0,0,0,0,0.000866551126516464,0,0,0,0,0.120450606585789,0,0,0,0,0,0,0
220,5278,0.00263852242744063,0,0.00527704485488127,0.0118733509234828,0,0.116094986807388,0.0303430079155673,0.00263852242744063,0.00527704485488127,0.0316622691292876,0,0.00395778364116095,0.00131926121372032,0,0,0.00923482849604222,0.0857519788918206,0,0,0.00395778364116095,0.0593667546174142,0.00131926121372032,0,0.00131926121372032,0.00263852242744063,0.0184696569920844,0,0.00131926121372032,0,0.0118733509234828,0,0.058047493403694,0.211081794195251,0,0,0,0.102902374670185,0.00263852242744063,0.00395778364116095,0.00131926121372032,0,0,0,0,0.00395778364116095,0,0,0.0567282321899736,0,0,0,0,0,0,0,0.00263852242744063,0,0,0.00131926121372032,0,0.147757255936675,0,0,0,0,0,0.00131926121372032,0
225,5294,0.00355029585798817,0.00118343195266272,0.00473372781065089,0.0177514792899408,0,0.145562130177515,0.00236686390532544,0.00236686390532544,0.00946745562130178,0.0260355029585799,0.00236686390532544,0.00473372781065089,0.00355029585798817,0,0,0.00828402366863905,0.138461538461538,0,0,0.00473372781065089,0.0319526627218935,0.00236686390532544,0,0.00355029585798817,0,0.0118343195266272,0,0.00118343195266272,0.00236686390532544,0.0177514792899408,0.00118343195266272,0.063905325443787,0.363313609467456,0,0,0,0.0745562130177515,0.00236686390532544,0,0,0,0,0,0,0.00473372781065089,0,0.00473372781065089,0.00946745562130178,0.00355029585798817,0,0.00118343195266272,0,0,0,0,0.0106508875739645,0,0,0,0,0.0142011834319527,0,0,0,0,0,0,0
230,5310,0,0,0.0108191653786708,0.00463678516228748,0,0.035548686244204,0,0.00618238021638331,0.00154559505409583,0.0108191653786708,0.00154559505409583,0.00309119010819165,0.00154559505409583,0,0,0.0185471406491499,0.27047913446677,0,0,0,0.0200927357032458,0.0108191653786708,0,0.00463678516228748,0,0.00618238021638331,0,0.00154559505409583,0.00309119010819165,0.00463678516228748,0.00154559505409583,0.0154559505409583,0.44822256568779,0,0,0,0.0834621329211747,0.00154559505409583,0.00154559505409583,0,0,0,0,0,0,0,0,0.00463678516228748,0,0,0,0,0,0,0,0,0,0,0,0,0.0278207109737249,0,0,0,0,0,0,0
240,5341,0,0,0.0087719298245614,0.0043859649122807,0.00657894736842105,0.0328947368421053,0.00219298245614035,0,0,0.0153508771929825,0,0.00219298245614035,0,0,0,0.0109649122807018,0.164473684210526,0,0,0,0.0153508771929825,0.0087719298245614,0,0.0153508771929825,0,0.0043859649122807,0,0.00219298245614035,0.00219298245614035,0.0043859649122807,0,0.0197368421052632,0.513157894736842,0,0,0,0.111842105263158,0,0.00219298245614035,0,0,0,0,0,0,0,0,0.0153508771929825,0,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0.0350877192982456,0,0,0,0,0,0,0
