"sample.depths","sample.ages","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Myrica","Populus","Amaranthaceae","Poaceae","Epilobium","Fagus","Salix","Tsuga","Fraxinus","Ostrya","Rosaceae.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Acer","Rubus.chamaemorus","Thalictrum","Abies","Rumex","Polygonum.viviparum","Plantago","Platanus","Brassicaceae","Rubiaceae","Carya","Caryophyllaceae","Castanea","Juglans"
56,2870,0.0139616055846422,0.116928446771379,0,0,0.00174520069808028,0.00698080279232112,0.00349040139616056,0.528795811518325,0.012216404886562,0.00698080279232112,0.0104712041884817,0.00174520069808028,0.0104712041884817,0,0,0.270506108202443,0.00174520069808028,0,0.00349040139616056,0.00174520069808028,0,0,0.00174520069808028,0,0,0,0,0.00174520069808028,0.00174520069808028,0.00174520069808028,0.00174520069808028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2996,0.00181488203266788,0.117967332123412,0,0.00362976406533575,0.00362976406533575,0.0072595281306715,0.00181488203266788,0.562613430127042,0.0471869328493648,0.00362976406533575,0.00907441016333938,0,0.00544464609800363,0,0,0.221415607985481,0.00362976406533575,0,0,0.00362976406533575,0,0,0.00362976406533575,0,0,0,0,0,0.00181488203266788,0.00181488203266788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3224,0.00302571860816944,0.124054462934947,0,0.00151285930408472,0.00302571860816944,0.00302571860816944,0.00151285930408472,0.532526475037821,0.0075642965204236,0.00302571860816944,0.00453857791225416,0,0.0121028744326778,0.00151285930408472,0,0.290468986384266,0.00453857791225416,0,0.00151285930408472,0.00151285930408472,0,0,0,0,0.00151285930408472,0,0.00151285930408472,0,0.00151285930408472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3277,0.00282485875706215,0.132768361581921,0.000941619585687382,0,0.00564971751412429,0.00753295668549906,0.00376647834274953,0.500941619585687,0.00564971751412429,0,0.00188323917137476,0.000941619585687382,0.0178907721280603,0.000941619585687382,0,0.30225988700565,0.00564971751412429,0,0.000941619585687382,0.00376647834274953,0,0,0.000941619585687382,0,0.00188323917137476,0.000941619585687382,0,0,0,0.000941619585687382,0,0.000941619585687382,0,0,0,0,0,0,0,0,0,0,0,0,0
76,3425,0.00146412884333821,0.105417276720351,0,0,0.00439238653001464,0.00878477306002928,0.00146412884333821,0.64714494875549,0.00439238653001464,0.00292825768667643,0.00878477306002928,0,0.00878477306002928,0.00146412884333821,0,0.193265007320644,0.00292825768667643,0,0,0.00292825768667643,0,0,0.00292825768667643,0,0.00146412884333821,0,0,0,0.00146412884333821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3517,0.00910470409711684,0.0849772382397572,0.00151745068285281,0.0136570561456753,0.0182094081942337,0.00455235204855842,0.00151745068285281,0.652503793626707,0.0288315629742033,0.00455235204855842,0.00758725341426404,0,0.0106221547799697,0.00151745068285281,0,0.141122913505311,0.00151745068285281,0.00151745068285281,0,0.00606980273141123,0,0,0.00455235204855842,0,0.00151745068285281,0.00303490136570561,0,0,0.00151745068285281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3603,0.00589225589225589,0.13047138047138,0,0.00252525252525253,0.00168350168350168,0.00925925925925926,0.00252525252525253,0.503367003367003,0.0134680134680135,0.00168350168350168,0.00925925925925926,0.00168350168350168,0.0151515151515152,0,0,0.281144781144781,0.00420875420875421,0.000841750841750842,0.00252525252525253,0.00757575757575758,0.000841750841750842,0,0,0.000841750841750842,0.00168350168350168,0.00168350168350168,0,0,0.000841750841750842,0,0,0,0.000841750841750842,0,0,0,0,0,0,0,0,0,0,0,0
90,3722,0.00580720092915215,0.138211382113821,0.00116144018583043,0.00348432055749129,0.00929152148664344,0.008130081300813,0.00348432055749129,0.498257839721254,0.00696864111498258,0.00116144018583043,0.00116144018583043,0,0.00929152148664344,0,0,0.303135888501742,0.00464576074332172,0,0.00116144018583043,0.00116144018583043,0.00116144018583043,0.00116144018583043,0.00116144018583043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3831,0.00788436268068331,0.136662286465177,0,0.0026281208935611,0.00657030223390276,0.0026281208935611,0.00788436268068331,0.530880420499343,0.00657030223390276,0.0026281208935611,0.0197109067017083,0,0.0236530880420499,0,0,0.241787122207622,0.0026281208935611,0,0,0.00394218134034166,0,0,0.0026281208935611,0,0,0,0,0,0,0,0,0,0,0.00131406044678055,0,0,0,0,0,0,0,0,0,0,0
100,3899,0.00630914826498423,0.0899053627760252,0.00157728706624606,0.00157728706624606,0,0.0126182965299685,0.00157728706624606,0.580441640378549,0.026813880126183,0.00315457413249211,0.0110410094637224,0,0,0,0,0.247634069400631,0.00630914826498423,0,0,0.00157728706624606,0,0,0.00473186119873817,0,0.00157728706624606,0,0,0,0.00157728706624606,0,0,0,0,0,0.00157728706624606,0,0,0,0,0,0,0,0,0,0
