"sample.depths","sample.ages","Picea","Abies","Larix","Juniperus.Thuja","Pinus.stomata","Pinus.banksiana.P..resinosa","Pinus.undiff.","Pinus.strobus","Betula","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Populus.tremuloides.type","Populus.balsamifera.type","Ulmus","Tilia","Ostrya.Carpinus","Quercus","Acer.saccharum","Acer.saccharinum.type","Acer.rubrum","Acer.negundo","Acer.undiff.","Carya","Platanus","Morus","Celtis","Tsuga.canadensis","Juglans.cinerea","Juglans.nigra","Fagus","Salix","Alnus.incana.type","Alnus.viridis.type","Corylus","Sarcobatus.vermiculatus","Ephedra.torreyana.type","Ephedra.nevadensis.type","Rosa.type","Shepherdia.argentea","Rhus","Myrica","Ceanothus","Vitis","Cornus.undiff.","Cornus.sericea","Viburnum","Cyperaceae","Poaceae.undiff.","Cerealia.undiff.","Avena.Triticum","Zea","Artemisia","Ambrosia.type","Iva.annua.type","Iva.xanthifolia.type","Xanthium","Bidens","Aster.type","Anthemis.type","Taraxacum.type","Chenopodiaceae.undiff.","Humulus.Cannabis.sativa","Urtica","Plantago.undiff.","Plantago.major.P..media","Rumex","Thalictrum","Dalea.purpurea","Amorpha.type","Potentilla.type","Spiraea.type","Sanguisorba.canadensis","Ranunculaceae.undiff.","Anemone.type","Ranunculus.type","Stachys.type","Polygonum.persicaria","Campanula","Armeria","Gentiana","Caryophyllaceae","Apiaceae","Rubiaceae","Brassicaceae","Fabaceae.undiff.","Trifolium.repens","Onagraceae","Knautia","Liliaceae","Allium.type","Myriophyllum","Potamogeton.natans","Stuckenia.cf..S..pectinata","Typha.latifolia","Typha.angustifolia.type","Sagittaria","Caltha","Nuphar","Alisma","Spore..monolete.","Pteridium","Botrychium","Huperzia","Equisetum","Sphagnum","Pediastrum","Spike..number.counted.","Spike.tablets..concentration..grains.tablet.","Spike.tablets..added..number.","Sample.volume..ml."
440,4324,3,2,0,4,0,40,0,9,34,4,1,1,0,6,0,3,112,1,1,0,0,0,2,0,0,0,0,0,0,0,9,21,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,37,15,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9,0,0,0,0,0,21,157,10679,2,1
446,4405,1,0,0,1,0,57,0,12,22,0,0,0,0,9,0,6,88,0,0,0,0,0,1,2,0,0,0,1,2,0,4,17,6,7,1,0,0,0,0,1,0,0,0,0,0,0,12,20,0,0,0,30,21,0,0,0,1,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,24,122,10679,2,1
455,4525,7,0,0,0,0,87,0,14,31,3,1,3,0,7,0,9,156,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,28,38,0,0,0,33,37,0,2,0,0,5,0,0,6,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,21,186,10679,3,1
460,4591,4,2,6,0,0,59,0,16,53,3,0,2,0,6,1,2,157,0,0,0,0,0,1,0,0,0,0,0,2,0,6,32,9,4,5,0,0,0,0,0,0,0,0,1,0,0,20,60,0,0,0,40,28,2,1,0,5,2,0,0,5,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,1,0,0,0,0,40,108,10679,2,1
465,4657,3,2,0,1,0,129,0,9,54,1,2,1,0,10,0,12,131,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,7,8,1,0,0,0,0,0,0,0,1,0,0,0,20,70,0,0,0,61,22,0,0,0,1,11,0,0,15,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,5,0,0,0,0,1,23,307,10679,3,1
470,4722,3,0,0,0,0,54,0,17,29,2,3,0,0,6,0,13,65,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,1,8,1,0,0,0,0,1,0,0,0,0,0,0,19,44,0,0,0,36,7,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,134,10679,2,1
475,4786,2,2,2,0,0,38,2,2,33,2,3,0,0,11,0,5,183,0,0,0,0,0,0,0,0,0,0,1,0,0,4,13,2,3,1,0,0,0,0,0,0,0,0,0,0,0,6,40,0,0,0,22,16,0,0,2,0,3,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,127,10679,2,1
480,4851,0,1,1,3,0,83,0,13,42,3,2,0,0,14,3,5,174,0,0,1,0,0,0,0,0,0,0,0,0,0,4,33,5,3,1,1,0,0,0,0,0,0,0,0,0,0,22,38,0,0,0,22,10,3,0,0,0,5,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,1,0,15,163,10679,3,1
490,4978,1,1,2,2,0,56,0,2,48,5,4,3,0,10,0,8,164,1,0,0,0,0,2,1,0,0,0,0,0,0,11,24,13,4,0,1,0,0,0,0,1,1,0,0,0,0,7,42,0,0,0,32,10,1,0,0,5,5,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,97,10679,2,1
500,5103,9,1,0,2,0,107,0,8,33,4,3,3,0,13,0,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,3,9,3,0,0,0,0,1,0,0,0,0,0,0,20,55,0,0,0,33,11,0,0,0,3,10,0,0,9,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0,17,181,10679,3,1
