"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Juglans.nigra","Larix","Picea","Quercus","Salix","Thalictrum","Alnus","Pinus","Populus","Amaranthaceae","Ericaceae","Tilia","Poaceae","Acer.undiff.","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra.type","Rosaceae","Abies","Rumex","Ulmus","Acer.rubrum","Corylus","Ostrya.Carpinus","Asteraceae.subf..Cichorioideae","Shepherdia.canadensis","Carya","Fagus","Iva.annua.type","Fraxinus.pennsylvanica.type","Plantago","Xanthium","Platanus","Iva.xanthifolia.type"
260,5416,0.00307692307692308,0.0123076923076923,0.0738461538461539,0.00615384615384615,0.0276923076923077,0,0.0184615384615385,0.686153846153846,0.00307692307692308,0.00307692307692308,0,0.0430769230769231,0.116923076923077,0,0.00307692307692308,0,0,0,0,0,0,0.00307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5698,0,0.0163398692810458,0.0816993464052288,0.00980392156862745,0.0261437908496732,0,0.0065359477124183,0.650326797385621,0.0065359477124183,0.00326797385620915,0,0.101307189542484,0.088235294117647,0.0065359477124183,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5979,0.00628930817610063,0.0314465408805031,0.0911949685534591,0.00314465408805031,0.0471698113207547,0,0.00943396226415094,0.616352201257862,0.00943396226415094,0.00628930817610063,0,0.0723270440251572,0.0880503144654088,0.00943396226415094,0,0,0,0.00628930817610063,0,0,0,0,0,0,0,0,0,0,0,0.00314465408805031,0,0,0,0,0,0,0,0,0
290,6261,0.00974025974025974,0.012987012987013,0.12987012987013,0.0064935064935065,0.0422077922077922,0,0.0064935064935065,0.607142857142857,0.0064935064935065,0.0064935064935065,0,0.0584415584415584,0.100649350649351,0,0.00324675324675325,0,0,0,0,0,0.00324675324675325,0.00324675324675325,0,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0
300,6543,0,0.020066889632107,0.0836120401337793,0.00668896321070234,0.0367892976588629,0,0.0167224080267559,0.675585284280936,0.00668896321070234,0.00334448160535117,0,0.0602006688963211,0.0769230769230769,0.00334448160535117,0,0,0,0.00334448160535117,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0,0.00334448160535117,0,0,0,0,0,0,0,0
310,6824,0.00625,0.021875,0.1625,0.0125,0.078125,0,0.0125,0.5,0.00625,0.01875,0,0.0625,0.096875,0.00625,0.00625,0,0,0,0,0,0.003125,0,0,0,0,0,0,0,0,0,0,0.003125,0.003125,0,0,0,0,0,0
320,7106,0.0121212121212121,0.0333333333333333,0.160606060606061,0.00909090909090909,0.0575757575757576,0,0.0272727272727273,0.487878787878788,0.00303030303030303,0.0151515151515152,0,0.0787878787878788,0.0787878787878788,0.0181818181818182,0.00909090909090909,0,0,0.00606060606060606,0,0,0,0,0,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,7247,0.00593471810089021,0.0118694362017804,0.13946587537092,0.0237388724035608,0.0623145400593472,0,0.0356083086053412,0.480712166172107,0.00593471810089021,0.00890207715133531,0,0.100890207715134,0.0474777448071217,0.0474777448071217,0.0029673590504451,0.0029673590504451,0,0.00890207715133531,0,0,0.0029673590504451,0,0,0,0,0.00890207715133531,0,0,0,0,0.0029673590504451,0,0,0,0,0,0,0,0
330,7388,0.00641025641025641,0.0256410256410256,0.150641025641026,0.00961538461538462,0.0576923076923077,0,0.0224358974358974,0.57051282051282,0.00641025641025641,0.00641025641025641,0,0.0192307692307692,0.0833333333333333,0.00320512820512821,0,0.016025641025641,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0.00961538461538462,0,0,0,0,0,0,0,0
335,NA,0.00943396226415094,0.0251572327044025,0.150943396226415,0.0314465408805031,0.050314465408805,0,0.0345911949685535,0.477987421383648,0,0.00943396226415094,0,0.0786163522012579,0.0628930817610063,0.0408805031446541,0.00943396226415094,0.00314465408805031,0,0,0,0,0.00314465408805031,0.00314465408805031,0,0,0.00314465408805031,0.00314465408805031,0,0,0,0,0.00314465408805031,0,0,0,0,0,0,0,0
340,NA,0.00324675324675325,0.0227272727272727,0.415584415584416,0.025974025974026,0.178571428571429,0,0,0.162337662337662,0.00324675324675325,0.0162337662337662,0,0.0551948051948052,0.0649350649350649,0.038961038961039,0.00324675324675325,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0.0064935064935065,0,0,0,0,0,0,0,0
345,NA,0.00617283950617284,0.0185185185185185,0.280864197530864,0.148148148148148,0.154320987654321,0,0,0.12037037037037,0.00617283950617284,0.037037037037037,0,0.058641975308642,0.12037037037037,0.0185185185185185,0.00925925925925926,0.0154320987654321,0,0.00308641975308642,0,0,0.00308641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,NA,0,0.046875,0.2625,0.025,0.15625,0,0,0.134375,0.00625,0.05,0,0.0875,0.2125,0,0.009375,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0,0
355,NA,0.00946372239747634,0.0378548895899054,0.318611987381703,0.00315457413249211,0.16403785488959,0,0,0.126182965299685,0,0.056782334384858,0,0.0788643533123028,0.154574132492114,0.00315457413249211,0.00630914826498423,0.00946372239747634,0,0.00946372239747634,0,0,0.00315457413249211,0,0.0126182965299685,0,0,0.00315457413249211,0,0,0,0,0.00315457413249211,0,0,0,0,0,0,0,0
360,NA,0.00895522388059702,0.026865671641791,0.274626865671642,0.0119402985074627,0.226865671641791,0,0,0.0835820895522388,0.00597014925373134,0.0776119402985075,0,0.017910447761194,0.202985074626866,0,0.00597014925373134,0.0119402985074627,0,0.0149253731343284,0,0,0.00597014925373134,0,0.00597014925373134,0,0,0.00298507462686567,0,0,0,0.00298507462686567,0.00895522388059702,0,0,0.00298507462686567,0,0,0,0,0
365,NA,0.00666666666666667,0.04,0.253333333333333,0.00333333333333333,0.173333333333333,0,0.00333333333333333,0.106666666666667,0,0.0666666666666667,0,0.0266666666666667,0.246666666666667,0.00333333333333333,0.0166666666666667,0.00666666666666667,0,0.0166666666666667,0,0,0.00666666666666667,0,0,0,0,0.00333333333333333,0,0,0,0.00333333333333333,0.0133333333333333,0,0,0,0.00333333333333333,0,0,0,0
370,NA,0.00952380952380952,0.0380952380952381,0.238095238095238,0.00634920634920635,0.165079365079365,0,0,0.161904761904762,0.00317460317460317,0.053968253968254,0,0.0603174603174603,0.161904761904762,0,0.00634920634920635,0.0222222222222222,0,0.0126984126984127,0,0,0.00634920634920635,0,0.00634920634920635,0,0,0,0,0,0,0,0.0444444444444444,0,0,0.00317460317460317,0,0,0,0,0
375,NA,0.0148809523809524,0.0297619047619048,0.199404761904762,0.0119047619047619,0.223214285714286,0,0,0.0982142857142857,0.00297619047619048,0.148809523809524,0,0.0476190476190476,0.12202380952381,0,0.0208333333333333,0.0148809523809524,0,0.0297619047619048,0,0,0,0,0.00297619047619048,0,0,0.00297619047619048,0,0,0,0.00297619047619048,0.0208333333333333,0,0,0,0,0.00595238095238095,0,0,0
380,NA,0.0341614906832298,0.0403726708074534,0.139751552795031,0.0062111801242236,0.251552795031056,0,0,0.105590062111801,0,0.111801242236025,0,0.0248447204968944,0.204968944099379,0,0.015527950310559,0.0093167701863354,0,0.0186335403726708,0,0,0.0093167701863354,0,0.0031055900621118,0,0,0,0,0,0,0,0.0186335403726708,0,0,0,0,0.0031055900621118,0.0031055900621118,0,0
385,NA,0.0237388724035608,0.0415430267062315,0.0593471810089021,0.00593471810089021,0.255192878338279,0,0.00593471810089021,0.154302670623145,0.00593471810089021,0.115727002967359,0,0.0385756676557863,0.243323442136499,0,0.00890207715133531,0,0,0.0267062314540059,0,0,0.00593471810089021,0,0,0,0,0.0029673590504451,0,0,0,0.0029673590504451,0,0,0,0.0029673590504451,0,0,0,0,0
395,NA,0.0158730158730159,0.019047619047619,0.0698412698412698,0.00317460317460317,0.158730158730159,0,0.00317460317460317,0.26984126984127,0.00634920634920635,0.126984126984127,0.00317460317460317,0.019047619047619,0.165079365079365,0,0.0126984126984127,0.00952380952380952,0,0.0952380952380952,0,0,0.0126984126984127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952380952380952,0,0,0
400,NA,0.0279503105590062,0.0279503105590062,0.0559006211180124,0.0093167701863354,0.0652173913043478,0,0.0062111801242236,0.31055900621118,0.0031055900621118,0.0590062111801242,0,0.0217391304347826,0.357142857142857,0,0.0031055900621118,0,0,0.0496894409937888,0,0,0.0031055900621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,NA,0.0248447204968944,0.0279503105590062,0.0496894409937888,0.0031055900621118,0.0527950310559006,0.0031055900621118,0,0.347826086956522,0.0031055900621118,0.046583850931677,0,0.015527950310559,0.360248447204969,0,0.0062111801242236,0.0031055900621118,0,0.0403726708074534,0,0,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093167701863354,0,0,0
410,NA,0.0241691842900302,0.0453172205438066,0.0422960725075529,0.0181268882175227,0.081570996978852,0,0.00906344410876133,0.24773413897281,0.00302114803625378,0.0241691842900302,0,0.0151057401812689,0.40785498489426,0,0.00604229607250755,0,0,0.0483383685800604,0,0,0.0120845921450151,0,0,0,0,0.00302114803625378,0,0,0,0,0,0,0,0.00604229607250755,0,0.00302114803625378,0,0.00302114803625378,0
415,NA,0.0099009900990099,0.0528052805280528,0.0693069306930693,0.0198019801980198,0.102310231023102,0,0,0.287128712871287,0,0.0264026402640264,0,0.0924092409240924,0.224422442244224,0,0.0297029702970297,0.0033003300330033,0,0.0495049504950495,0,0,0.0099009900990099,0,0,0.0066006600660066,0,0,0,0,0,0.0066006600660066,0,0,0,0.0033003300330033,0,0,0,0,0.0066006600660066
420,NA,0.0295081967213115,0.0524590163934426,0.0327868852459016,0.00655737704918033,0.0721311475409836,0,0,0.390163934426229,0.00327868852459016,0.00655737704918033,0,0.0163934426229508,0.308196721311475,0.00327868852459016,0.0163934426229508,0.00327868852459016,0,0.0524590163934426,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0
