"sample.depths","sample.ages","Abies","Acer","Adiantum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Castanea","Ceanothus","Celtis","Cephalanthus","Cerealia","Cornus","Corylus","Cyperaceae","Dryopteris","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex","Indeterminable","Iva.annua.type","Juglans.cinerea.type","Juglans.nigra.type","Juniperus.type","Larix","Liquidambar","Lycopodiaceae","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Other.herbs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rhamnus","Rhus","Rosaceae","Sagittaria","Salix","Shepherdia.canadensis","Sphagnum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Viburnum","Vitis"
1556,6438,0,13,0,0,0,8,0,2,14,0,0,44,0,0,0,0,0,0,2,11,0,0,21,1,4,0,1,0,9,6,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,9,0,10,11,2,0,0,0,173,0,0,0,0,0,0,0,1,1,0,1,24,2,0,0
1586,6715,0,4,0,0,1,19,0,2,8,2,0,37,0,0,1,0,0,0,1,15,0,0,17,0,9,0,4,1,5,10,0,0,0,0,0,0,0,0,0,0,0,10,1,2,1,1,7,0,15,13,0,0,1,0,217,0,0,0,0,2,0,0,0,0,0,0,27,1,0,0
1620,7029,0,6,0,0,1,8,0,0,11,0,0,40,0,0,1,0,0,0,3,10,0,0,15,3,7,0,2,0,11,3,0,0,0,0,0,0,0,1,0,0,0,12,3,0,0,1,3,0,3,1,2,0,0,0,174,2,0,0,0,1,0,0,0,0,0,0,26,0,0,0
1636,7177,0,9,0,1,1,4,1,1,21,0,0,41,0,0,1,0,0,0,1,10,0,0,20,2,6,0,0,1,8,11,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,5,0,14,7,1,1,0,0,256,0,0,0,0,1,0,0,2,0,0,0,32,1,0,0
1684,7620,0,4,0,0,3,1,1,0,12,1,0,47,0,0,1,0,0,0,3,10,0,0,2,6,15,0,0,1,5,4,0,0,0,0,1,0,0,0,0,1,0,4,3,0,1,0,7,0,18,3,3,0,1,0,206,0,0,0,0,2,0,0,1,0,0,0,45,2,0,1
1716,7915,1,5,1,1,1,5,0,1,16,0,0,32,0,0,1,0,0,0,5,20,1,0,3,5,27,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,7,1,2,1,2,11,0,4,20,1,0,1,0,244,0,0,0,0,1,0,0,1,0,0,0,24,0,0,0
1732,8063,1,2,0,0,4,4,0,1,13,0,0,33,0,0,1,0,0,0,4,8,0,0,2,2,8,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,11,0,5,0,0,23,0,14,7,0,0,0,0,218,0,0,0,0,2,0,0,0,0,0,1,24,1,0,0
1780,8506,0,3,0,0,0,4,0,0,17,2,0,29,0,0,0,0,0,0,7,10,0,0,0,1,13,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,1,14,0,2,9,1,0,0,1,235,1,0,0,0,0,0,0,1,1,0,0,22,1,0,0
1812,8801,0,5,0,1,1,5,0,0,6,0,0,23,0,0,0,0,0,0,5,10,0,0,3,3,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,2,1,17,0,9,8,2,0,0,3,201,0,0,0,0,1,0,0,0,1,0,0,24,0,0,0
1844,9097,1,3,0,1,2,4,0,1,5,2,0,23,0,0,0,0,0,0,3,9,3,0,4,6,20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,2,8,1,4,27,0,3,5,4,2,0,0,236,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0
1876,9392,0,6,0,1,1,3,0,0,9,0,0,37,0,0,2,0,0,0,3,7,1,0,7,2,18,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,10,4,1,0,0,12,0,15,8,4,1,0,0,272,1,0,0,0,0,0,0,2,2,0,0,26,0,0,0
1926,9853,0,4,0,1,1,7,0,1,1,0,0,25,0,0,0,0,0,0,3,11,0,0,4,4,13,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,1,7,0,2,2,2,1,1,0,191,0,0,0,0,0,0,0,2,0,0,1,18,3,0,0
1956,10130,0,16,0,1,0,2,1,0,6,1,0,51,0,0,0,0,0,0,4,13,1,0,2,1,21,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,26,2,1,0,1,14,0,12,2,1,0,0,0,264,1,0,0,0,0,0,0,4,0,0,0,54,0,0,0
1972,10278,1,10,0,0,0,3,0,1,8,0,0,27,0,0,2,0,0,0,2,10,0,0,7,0,18,0,1,0,2,0,0,0,0,0,1,0,0,3,1,0,0,17,3,1,0,0,14,0,17,3,1,0,2,0,225,0,0,0,0,2,0,0,4,0,0,0,39,2,0,0
2004,10573,0,6,0,0,0,0,0,1,3,0,0,39,0,0,2,0,0,0,3,8,0,0,2,0,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,2,1,3,5,34,0,1,4,7,0,1,1,242,0,0,0,0,1,0,0,4,1,1,0,41,1,0,0
2048,10979,0,8,0,0,0,1,0,1,2,1,1,30,0,0,1,0,0,0,9,6,2,0,1,0,15,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,68,0,3,1,11,32,0,0,5,0,0,3,0,248,0,0,0,0,0,0,0,1,1,0,1,55,0,0,1
