"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea"
491,5983,410,0,0,26,11,16,15,1,0,0,0,0,0,0,81,10,20,0,10,0,0,0,0,1,0,0,0,0,16,1,2,0,6,19,0,69,0,0,0,10,41,50,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
495,6048,546,0,0,40,3,19,22,0,1,0,0,0,0,0,79,17,26,0,18,0,1,0,0,0,0,0,0,0,27,0,8,2,6,20,0,98,1,0,0,13,60,79,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
505,6211,457,0,0,22,2,28,23,0,0,0,0,0,0,0,98,9,24,0,13,0,2,0,0,0,0,0,0,0,17,0,2,0,4,16,0,105,0,0,0,11,32,41,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,6372,457,0,1,22,0,13,38,0,0,2,0,0,0,0,103,7,29,0,8,0,2,0,0,0,0,0,0,0,14,0,6,0,5,22,0,82,1,0,0,11,28,55,2,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,6525,427,0,3,19,2,9,9,0,0,0,0,0,0,0,128,7,12,0,7,1,5,0,0,0,0,0,0,0,27,0,3,0,2,48,0,43,2,0,0,4,49,42,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
535,6668,364,0,0,19,1,12,12,0,0,0,0,0,0,0,104,11,15,0,2,0,2,0,0,0,0,0,0,0,44,0,4,0,6,7,0,42,0,0,0,7,13,57,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
545,6795,390,0,1,37,0,9,14,0,0,5,0,0,0,0,105,4,8,0,6,1,0,0,0,0,0,0,1,0,37,0,3,0,6,11,1,65,1,0,0,13,15,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
555,6910,602,0,0,46,2,22,19,0,0,2,0,0,0,0,136,15,23,1,13,1,0,0,0,0,0,0,0,0,55,0,8,0,10,25,0,95,0,0,0,16,28,81,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,7018,475,0,1,26,2,14,16,2,0,3,0,1,0,0,144,3,16,0,10,1,1,0,0,0,0,0,0,0,30,0,2,0,4,39,0,55,0,0,0,14,21,65,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
575,7128,475,0,1,32,1,18,8,0,0,5,0,0,0,0,156,7,17,0,8,1,0,0,0,0,0,0,0,0,23,0,2,2,5,30,0,54,1,0,0,8,14,71,5,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
