"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Tilia","Ulmus","Juniperus.type","Fraxinus.americana.type","Poaceae","Urticaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Populus.balsamifera.type","Pinus.resinosa.type","Viburnum.edule","Salix.undiff.","Polygonaceae.undiff.","Taxus","Cornus","Carya.ovata","Nemopanthus.mucronatus","Asteraceae.subf..Asteroideae.undiff.","Rhamnus.alnifolia.R..frangula","Viburnum.lentago","Juglans.nigra","Saxifraga","Viburnum.opulus","Rosaceae.undiff.","Amaranthaceae","Salix.herbacea.type","Thalictrum","Saxifraga.oppositifolia.type","Acer.spicatum","Viburnum.undiff.","Sambucus","Lamiaceae","Acer.saccharinum","Saxifraga.cernua.type","cf..Sarcobatus.vermiculatus","Liliaceae","Onagraceae","Populus.deltoides.type","Caryophyllaceae","Hypericum","Fabaceae.undiff.","Shepherdia.canadensis","Polygonum.convolvulus.type","Celtis.occidentalis","Linnaea.borealis","Potentilla.palustris.type","Oxytropis.maydelliana.type","Viburnum.nudum","Prunus","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","cf..Oxyria.digyna","Rubiaceae","Salix.vestita.type","Viburnum.alnifolium","Brassicaceae","Armeria.maritima","Saxifragaceae.undiff."
585,7349,427,0,0,0,15,1,2,75,3,0,0,4,0,0,1,0,0,2,47,2,11,0,11,1,0,0,0,8,0,0,2,6,41,183,1,3,0,0,4,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,7590,629,0,0,1,34,2,0,172,2,0,1,10,1,0,2,10,1,8,47,11,21,0,12,2,1,4,0,9,3,0,2,6,167,70,0,3,3,1,9,0,4,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,7751,482,0,0,0,16,2,0,105,2,0,0,6,0,0,0,4,0,12,45,4,16,0,8,0,2,0,0,6,2,0,1,5,149,78,0,6,1,0,7,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,7993,697,0,0,0,67,0,0,140,3,1,1,6,1,0,7,0,1,10,23,13,24,0,17,3,0,5,0,7,0,0,3,8,330,19,0,0,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,8234,545,0,0,0,22,0,0,172,4,0,1,4,1,0,9,2,0,9,41,15,29,0,5,1,1,4,0,10,5,0,3,8,126,60,0,2,1,2,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,8380,576,0,0,2,55,1,1,195,4,0,0,3,2,1,0,4,6,11,8,27,13,0,7,4,0,10,0,6,2,0,5,21,65,108,0,2,2,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,8484,559,0,0,0,36,0,0,245,2,0,0,5,0,0,5,0,1,20,13,22,13,0,0,5,0,5,0,3,1,0,2,12,107,40,0,0,4,5,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,8588,558,0,0,0,101,0,4,251,4,0,0,2,0,0,1,3,3,14,2,17,13,0,3,11,0,6,0,1,0,0,0,16,11,77,0,1,3,4,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,8640,731,0,0,0,223,0,1,242,7,0,0,6,0,0,5,4,19,7,1,25,24,0,6,4,0,1,0,1,1,0,1,28,0,89,4,4,2,11,0,1,4,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,8744,814,0,0,0,8,2,4,151,30,0,0,3,3,1,1,13,7,73,3,123,42,0,5,55,0,6,0,2,3,0,1,144,38,22,0,3,12,12,0,0,25,0,1,0,0,0,12,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,8796,730,0,0,1,6,2,9,97,18,0,0,5,1,0,1,8,13,75,6,152,30,0,9,67,1,8,1,1,2,0,0,88,23,47,0,3,11,24,0,0,13,0,1,0,0,0,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,8848,605,0,0,2,3,1,3,106,13,0,0,4,0,0,0,3,3,43,2,159,25,0,1,94,0,8,0,2,0,2,1,50,11,27,0,0,3,13,0,0,7,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,8900,886,0,0,2,9,3,7,130,16,0,2,6,0,0,0,11,16,10,2,266,35,0,5,98,0,8,0,0,1,0,0,105,1,77,0,0,3,26,0,1,26,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
705,9052,887,0,0,0,13,4,9,290,19,1,0,11,0,0,0,7,1,9,1,216,29,0,3,85,0,14,0,0,1,0,2,73,6,40,0,2,1,21,0,0,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
710,9303,867,0,0,0,12,0,21,243,30,0,0,4,0,1,0,2,0,13,4,230,31,0,5,73,0,2,0,1,3,0,0,70,39,36,0,3,3,13,3,1,12,0,0,1,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,9555,611,0,0,2,13,0,17,186,6,3,0,6,0,0,1,4,0,6,2,212,18,0,8,17,0,6,0,1,5,0,1,3,14,20,5,2,1,14,0,0,22,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,9806,717,0,0,5,23,10,25,94,125,2,0,1,0,2,2,1,0,10,11,25,21,0,13,14,0,53,1,1,0,1,1,0,38,42,4,4,5,3,0,0,158,0,1,0,0,2,5,0,0,0,0,0,1,0,0,0,3,0,0,5,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
725,10058,1043,0,1,12,44,1,64,78,289,6,0,5,0,1,0,6,2,27,10,1,13,0,9,9,0,169,0,1,0,0,1,1,31,55,0,2,7,0,0,0,148,0,0,0,0,0,12,0,0,0,0,0,8,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,0,1,4,6,1,0,0,0,0,0
730,NA,692,0,0,10,26,4,113,54,152,1,0,3,0,0,0,0,0,29,17,1,8,0,0,0,0,90,0,1,0,0,0,0,62,6,0,2,5,0,0,0,64,0,0,0,0,2,3,0,0,0,0,0,11,1,2,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,0,0,4,0,9,1,0,0,0
735,NA,515,0,0,8,26,1,15,20,115,0,0,1,0,0,0,1,2,11,17,0,8,0,3,5,0,104,0,0,0,0,2,1,2,28,0,2,5,0,0,0,36,0,0,0,0,0,3,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,32,1,0,0,0,0,16,0,0,1,0,0,0,10,0,1,1,3
740,NA,433,0,0,10,22,2,18,78,29,0,0,0,2,0,0,7,7,24,4,4,19,0,26,2,0,13,0,0,1,0,1,0,36,101,0,1,3,1,0,0,6,0,0,0,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
