"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
188,1876,0,0,0.003809524,0.015238095,0.007619048,0,0.068571429,0,0,0.032380952,0.003809524,0,0.013333333,0.024761905,0,0,0,0.005714286,0.060952381,0.003809524,0.005714286,0.001904762,0.003809524,0.001904762,0,0,0,0,0.043809524,0.017142857,0.007619048,0,0,0,0.015238095,0.003809524,0.04952381,0.005714286,0.001904762,0.556190476,0,0,0,0,0.001904762,0.03047619,0.005714286,0,0,0,0,0,0,0,0,0.003809524,0,0,0,0,0,0,0.001904762,0,0,0,0.001904762,0,0,0,0,0
192,1912,0,0,0.003724395,0.009310987,0.009310987,0,0.068901304,0,0,0.040968343,0.003724395,0,0.022346369,0.018621974,0,0,0,0.003724395,0.059590317,0,0.00744879,0.003724395,0.005586592,0.003724395,0,0,0,0,0.091247672,0.011173184,0.001862197,0,0,0,0.016759777,0.001862197,0.070763501,0,0,0.487895717,0,0,0,0,0,0.027932961,0.00744879,0,0.001862197,0,0,0.005586592,0,0,0,0.00744879,0,0,0,0,0,0,0.00744879,0,0,0,0,0,0,0,0,0
196,1948,0,0,0.003584229,0.008960573,0.012544803,0,0.068100358,0,0.001792115,0.034050179,0.001792115,0,0.032258065,0.039426523,0,0,0,0.010752688,0.051971326,0.003584229,0.003584229,0,0.003584229,0,0,0,0.003584229,0,0.05734767,0.014336918,0.005376344,0,0,0.001792115,0.008960573,0.007168459,0.062724014,0,0,0.485663082,0.001792115,0.003584229,0,0,0,0.034050179,0.005376344,0,0.001792115,0,0.005376344,0.005376344,0,0,0,0.014336918,0,0,0,0,0,0,0.001792115,0,0,0,0.001792115,0,0,0.001792115,0,0
200,1984,0,0,0.003636364,0.010909091,0.003636364,0,0.078181818,0,0.007272727,0.036363636,0,0,0.023636364,0.021818182,0,0,0,0.005454545,0.050909091,0,0.001818182,0.001818182,0.001818182,0,0,0,0,0,0.032727273,0.021818182,0.009090909,0,0,0.001818182,0.012727273,0.003636364,0.058181818,0.001818182,0,0.538181818,0,0,0,0,0.001818182,0.027272727,0.005454545,0,0.001818182,0,0.003636364,0.010909091,0,0,0.003636364,0.009090909,0.001818182,0,0,0.001818182,0,0,0.005454545,0,0,0,0,0,0,0,0,0
216,2127,0,0,0.005535055,0.012915129,0.003690037,0,0.112546125,0,0.018450185,0.029520295,0.001845018,0,0.025830258,0.014760148,0,0,0,0,0.038745387,0.003690037,0.009225092,0.003690037,0.003690037,0,0,0,0,0,0.04797048,0.012915129,0.009225092,0,0,0.001845018,0.012915129,0.011070111,0.070110701,0,0.001845018,0.492619926,0.001845018,0,0,0,0,0.022140221,0.011070111,0,0.001845018,0,0.001845018,0.005535055,0,0,0,0.003690037,0.003690037,0,0,0,0,0,0.003690037,0,0,0,0,0,0,0,0,0
232,2270,0,0,0,0.005555556,0.005555556,0,0.098148148,0,0.003703704,0.024074074,0,0,0.022222222,0.011111111,0,0,0,0.003703704,0.068518519,0.007407407,0.009259259,0.001851852,0.009259259,0.001851852,0,0,0.001851852,0,0.068518519,0.009259259,0.007407407,0,0,0.001851852,0.001851852,0.003703704,0.033333333,0.001851852,0,0.553703704,0.001851852,0,0,0,0,0.012962963,0.009259259,0,0.005555556,0,0.003703704,0.005555556,0,0,0,0,0.001851852,0,0,0,0,0,0.003703704,0,0,0,0,0,0,0,0,0
264,NA,0,0,0,0,0.001879699,0,0.082706767,0,0.011278195,0.030075188,0,0,0.031954887,0.009398496,0,0,0,0.005639098,0.084586466,0,0.001879699,0,0.003759398,0,0,0,0.003759398,0,0.07518797,0.001879699,0.009398496,0,0,0,0.005639098,0.003759398,0.046992481,0.005639098,0,0.546992481,0,0,0,0,0.001879699,0.016917293,0.003759398,0,0.001879699,0,0,0.001879699,0,0,0.001879699,0.003759398,0.001879699,0,0,0,0,0,0.003759398,0,0,0,0,0,0,0,0,0
280,NA,0,0,0.001865672,0.01119403,0.005597015,0,0.069029851,0,0.001865672,0.027985075,0.001865672,0,0.027985075,0.007462687,0,0.001865672,0,0.003731343,0.083955224,0,0.003731343,0.003731343,0.001865672,0.003731343,0,0,0,0,0.076492537,0.001865672,0.007462687,0,0,0,0.003731343,0.005597015,0.044776119,0.003731343,0,0.555970149,0,0,0,0,0,0.013059701,0.009328358,0,0.005597015,0.001865672,0.001865672,0.003731343,0,0,0,0.003731343,0.003731343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,NA,0,0,0.001890359,0.009451796,0.003780718,0,0.085066163,0,0,0.028355388,0.001890359,0,0.018903592,0.005671078,0,0,0.001890359,0.003780718,0.100189036,0.003780718,0.007561437,0.001890359,0,0,0,0,0.001890359,0,0.069943289,0.001890359,0.005671078,0,0,0,0,0.003780718,0.043478261,0.005671078,0,0.534971645,0,0,0,0,0,0.030245747,0.011342155,0,0.001890359,0,0,0.003780718,0,0,0.001890359,0,0.001890359,0,0,0.001890359,0,0,0.005671078,0,0,0,0,0,0,0,0,0
312,NA,0,0,0.005607477,0.013084112,0.013084112,0,0.095327103,0,0.009345794,0.01682243,0.003738318,0,0.028037383,0.005607477,0,0,0,0.005607477,0.162616822,0.003738318,0,0,0.001869159,0.001869159,0.001869159,0,0,0,0.044859813,0,0.011214953,0,0,0,0.003738318,0.003738318,0.037383178,0.007476636,0,0.471028037,0,0,0,0,0,0.014953271,0.009345794,0,0.001869159,0,0.003738318,0.005607477,0,0,0.003738318,0.005607477,0,0,0,0,0,0,0.005607477,0,0,0,0,0,0,0.001869159,0,0
328,NA,0,0,0.007662835,0.009578544,0.017241379,0,0.093869732,0,0.007662835,0.007662835,0.005747126,0,0.011494253,0.011494253,0,0,0,0.01532567,0.153256705,0,0.001915709,0.001915709,0,0,0,0,0.001915709,0,0.063218391,0.003831418,0.007662835,0,0,0,0,0,0.044061303,0.003831418,0,0.48467433,0,0.001915709,0,0,0,0.01532567,0.013409962,0,0,0,0,0.003831418,0,0,0.001915709,0.005747126,0,0,0,0,0,0,0.003831418,0,0,0,0,0,0,0,0,0
344,NA,0,0,0.001865672,0.009328358,0.013059701,0,0.083955224,0,0.003731343,0.007462687,0.005597015,0,0.03358209,0.013059701,0,0,0,0.009328358,0.235074627,0.001865672,0.007462687,0,0,0,0,0,0.001865672,0,0.050373134,0.003731343,0.01119403,0,0,0,0.003731343,0,0.046641791,0.009328358,0.001865672,0.40858209,0,0,0,0,0,0.014925373,0.005597015,0,0,0.001865672,0,0.001865672,0,0,0.003731343,0.003731343,0,0,0,0,0,0,0.005597015,0,0,0,0,0,0,0,0,0
360,NA,0,0,0,0.009140768,0.009140768,0,0.084095064,0,0.001828154,0.009140768,0,0,0.036563071,0.031078611,0,0.001828154,0,0.007312614,0.254113346,0.005484461,0.003656307,0.005484461,0.001828154,0,0,0,0.001828154,0,0.056672761,0.001828154,0.010968921,0,0,0,0.001828154,0.016453382,0.047531993,0.007312614,0,0.36928702,0,0,0,0,0,0.005484461,0.009140768,0,0.001828154,0,0,0.003656307,0,0,0,0.001828154,0,0,0,0,0,0,0.003656307,0,0,0,0,0,0,0,0,0
376,NA,0,0,0.003831418,0.013409962,0.009578544,0,0.0651341,0,0,0.022988506,0.003831418,0,0.011494253,0.01532567,0,0,0.003831418,0.009578544,0.298850575,0.005747126,0.009578544,0,0.011494253,0,0,0,0,0,0.024904215,0.003831418,0.01532567,0,0,0.001915709,0.003831418,0.005747126,0.038314176,0.003831418,0,0.38697318,0,0,0,0,0,0.007662835,0.009578544,0,0.005747126,0,0.001915709,0.001915709,0,0,0,0,0,0,0,0,0,0,0.003831418,0,0,0,0,0,0,0,0,0
392,NA,0,0,0.001945525,0.015564202,0.007782101,0,0.085603113,0,0,0.013618677,0.003891051,0,0.011673152,0.003891051,0,0,0.003891051,0.003891051,0.219844358,0.003891051,0.009727626,0.001945525,0,0.001945525,0.001945525,0,0,0,0.054474708,0.005836576,0.023346304,0,0,0,0.003891051,0.011673152,0.035019455,0.005836576,0,0.435797665,0,0,0,0,0,0.007782101,0.013618677,0,0.003891051,0,0,0,0,0,0,0.001945525,0,0,0,0,0,0,0.005836576,0,0,0,0,0,0,0,0,0
816,NA,0,0,0,0,0.003076923,0.107692308,0.049230769,0.003076923,0.006153846,0,0,0,0,0,0,0.006153846,0,0.009230769,0.012307692,0.015384615,0,0,0.003076923,0,0.003076923,0,0,0,0.006153846,0,0.027692308,0,0,0.129230769,0.129230769,0.009230769,0.338461538,0.003076923,0.009230769,0.08,0,0.012307692,0,0,0,0,0.003076923,0,0,0,0.003076923,0.003076923,0,0,0,0.006153846,0,0,0,0,0,0,0.018461538,0,0,0,0.003076923,0,0,0,0,0
