"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Corylus","Cyperaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Ilex","Iva.xanthifolia.type","Larix","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Vitis","Juniperus.Thuja","Polygonum","Amaranthaceae.undiff.","Fabaceae.undiff.","Morus","Salix","Thalictrum","Tilia","Urtica.type","Myrica","Comptonia.peregrina","Amorpha.type","Fraxinus.pennsylvanica.type","Asteraceae.subf..Cichorioideae","Plantago.major","Zea.mays","Shepherdia","Acer.undiff.","Juglans.cinerea","Cornus","Potentilla.type","Iva.annua.type","Castanea","Hydrophyllum","Sambucus","Dalea","Ranunculus","Liliaceae","Fraxinus.undiff.","Ledum.Chamaedaphne.calyculata","Lamiaceae","Juglans.nigra","Cannabaceae","Galium","Juglans.undiff.","Ephedra","Rhamnaceae","Rubus","Hypericum","Sarcobatus.vermiculatus","Alnus.viridis.type","Acer.spicatum","Laportea.type","Apiaceae","Saxifragaceae","Valeriana","Populus.balsamifera.type","Rosaceae.undiff.","Caryophyllaceae","Xanthium"
1100,9817,311,6,1,1,12,2,2,21,0,0,1,3,0,6,6,0,1,1,0,2,2,21,64,115,0,1,13,0,2,20,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,10137,357,11,2,0,15,4,7,40,3,2,1,3,0,15,5,0,0,2,0,8,10,40,19,81,2,6,23,0,1,45,0,0,2,0,2,0,0,3,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,10463,303,5,4,0,13,5,7,29,1,0,1,3,0,4,4,0,0,3,0,8,12,70,2,59,0,5,22,0,0,33,0,0,0,0,3,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,10793,311,5,1,0,3,1,3,46,4,0,4,5,0,9,3,0,0,9,0,6,20,62,6,43,2,7,25,0,1,35,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1200,11469,340,5,3,0,2,0,3,45,3,1,2,6,0,16,9,0,1,8,0,15,27,58,5,62,0,7,21,0,0,27,0,0,3,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1220,11815,406,8,2,0,0,5,4,72,2,1,5,5,0,11,6,0,1,5,0,4,30,95,1,70,0,16,24,0,0,25,0,0,3,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1240,12166,295,2,0,0,2,1,5,19,0,0,2,2,0,19,2,0,1,1,0,2,56,88,0,48,0,5,11,0,0,20,0,0,2,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,12521,369,5,0,0,3,2,4,15,0,0,6,7,0,30,4,0,0,30,0,8,154,20,0,16,0,12,17,0,3,19,0,0,7,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,12882,342,0,0,0,5,1,7,22,0,0,2,16,0,3,9,0,0,9,0,3,208,3,1,3,0,14,11,0,1,7,0,0,9,0,3,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,13247,320,1,0,0,1,1,7,18,1,3,4,2,0,0,8,0,2,6,0,3,210,1,0,3,0,8,7,0,1,2,0,0,23,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,13618,277,0,0,0,6,0,12,29,0,0,0,14,0,11,16,0,0,4,1,1,140,1,0,1,0,3,12,0,0,6,0,0,11,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1340,13994,329,0,0,0,2,3,20,20,0,0,1,4,0,3,24,0,0,4,1,2,200,1,0,0,0,10,4,0,2,4,0,0,9,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
1360,14375,325,0,0,0,8,6,23,17,0,0,4,19,0,9,28,0,1,10,1,3,127,0,0,0,0,4,10,0,3,4,0,0,14,1,5,0,1,5,6,0,1,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1380,14760,301,1,1,0,2,5,24,10,0,0,5,14,0,15,25,0,1,3,1,3,121,0,2,2,0,15,14,0,2,6,0,0,11,0,4,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,15151,347,1,0,0,2,1,19,4,0,3,0,12,0,25,15,0,2,8,0,1,177,0,0,1,1,21,9,0,10,3,0,0,10,0,3,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1420,15547,347,0,0,0,2,8,19,4,0,0,1,12,0,5,20,1,1,9,0,1,219,1,0,0,0,11,7,0,5,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1440,15948,327,0,1,0,1,9,19,12,1,0,0,18,0,24,32,1,1,5,1,1,145,2,0,2,1,9,2,0,7,2,0,0,8,2,4,0,0,4,2,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1450,NA,326,0,0,0,0,4,13,27,0,0,0,26,0,10,12,0,0,0,0,0,179,1,0,2,0,14,3,0,3,1,0,0,10,1,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
