"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.Taxaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Lamiaceae","Malvaceae","Onagraceae","Plantago","Poaceae","Polygonum"
1699,NA,0,0,0.01650165,0.00990099,0.01980198,0,0,0,0,0.00660066,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0.00330033,0.194719472,0,0.607260726,0,0,0.0330033,0.00330033,0,0.01980198,0,0,0.00990099,0,0.00330033,0.01320132,0,0,0,0,0.04950495,0
1709,NA,0,0,0.005970149,0.020895522,0.011940299,0.002985075,0,0,0,0,0.026865672,0,0,0.002985075,0,0,0.008955224,0,0,0,0.002985075,0,0,0.208955224,0,0.594029851,0,0.002985075,0.020895522,0.005970149,0,0.011940299,0,0.002985075,0.008955224,0,0.005970149,0.011940299,0,0,0,0,0.041791045,0
1719,NA,0,0.006369427,0.01910828,0.022292994,0.012738854,0,0,0,0,0.012738854,0.003184713,0,0.003184713,0.006369427,0,0,0.003184713,0,0,0,0,0,0.003184713,0.23566879,0,0.48089172,0,0,0.035031847,0.006369427,0,0.022292994,0,0,0.02866242,0,0.006369427,0.022292994,0,0,0,0,0.070063694,0
1729,NA,0,0,0.033783784,0.006756757,0.003378378,0,0.003378378,0,0,0.006756757,0.027027027,0,0,0,0,0,0.003378378,0,0,0,0,0,0.006756757,0.199324324,0,0.60472973,0,0,0.027027027,0,0,0.003378378,0,0,0.010135135,0,0.003378378,0.023648649,0,0,0,0,0.037162162,0
1739,NA,0,0,0,0.023880597,0.014925373,0,0,0,0,0.011940299,0.002985075,0,0.011940299,0,0,0,0.005970149,0,0,0.008955224,0,0.002985075,0.005970149,0.301492537,0,0.498507463,0,0,0.026865672,0.002985075,0,0.008955224,0,0,0,0,0.002985075,0.014925373,0,0,0,0,0.053731343,0
1749,NA,0,0,0.01497006,0.005988024,0.008982036,0,0,0,0,0.005988024,0.035928144,0,0,0.002994012,0,0,0.008982036,0,0,0,0.01497006,0.002994012,0.002994012,0.176646707,0,0.631736527,0.005988024,0,0.01497006,0,0,0.002994012,0,0,0.017964072,0,0.008982036,0.011976048,0,0.002994012,0,0,0.020958084,0
1759,NA,0,0,0.003039514,0.006079027,0.015197568,0,0,0,0,0.006079027,0.003039514,0,0,0,0,0,0.003039514,0,0,0.003039514,0,0.006079027,0.003039514,0.26443769,0,0.498480243,0,0,0.03343465,0.003039514,0,0.006079027,0,0,0,0,0.048632219,0.027355623,0,0,0,0,0.069908815,0
1769,NA,0,0.002645503,0.005291005,0.018518519,0.013227513,0,0,0,0,0,0.010582011,0.002645503,0,0.007936508,0.007936508,0,0,0,0,0,0.005291005,0,0.007936508,0.240740741,0,0.518518519,0.002645503,0.002645503,0.060846561,0.005291005,0,0.015873016,0,0,0.007936508,0,0.010582011,0.021164021,0,0,0,0,0.031746032,0
1779,NA,0,0,0.00974026,0.012987013,0.012987013,0.003246753,0,0,0,0.003246753,0.003246753,0,0,0,0,0,0.00974026,0,0,0.003246753,0,0,0,0.220779221,0,0.558441558,0,0.003246753,0.029220779,0.006493506,0,0.022727273,0,0,0.019480519,0,0.003246753,0.019480519,0,0,0,0,0.058441558,0
1789,NA,0,0.00280112,0.016806723,0.028011204,0.005602241,0.00280112,0,0,0,0.00280112,0.005602241,0,0,0,0.005602241,0,0.00280112,0,0,0,0.016806723,0,0.005602241,0.240896359,0,0.462184874,0,0,0.078431373,0.016806723,0,0.011204482,0,0,0.016806723,0,0,0.005602241,0,0,0,0,0.072829132,0
