"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Ambrosia.type","Betula","Cannabaceae","Carya","Castanea","Cephalanthus","Corylus","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Thalictrum","Tilia","Tsuga","Ulmus","Xanthium","Alnus","Myrica","Poaceae","Abies","Acer.undiff.","Artemisia","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Salix","Populus","Rosaceae","Rhus","Larix","Nyssa","Ranunculaceae.undiff.","Morus","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Plantago","Ericaceae","Shrubs.undiff.","Taxus","Urtica.type","Viburnum","Salsola","Rhamnaceae","Juglans.nigra","Galium","Liquidambar","Rhamnaceae.Vitaceae.undiff.","Sambucus","Sarcobatus.vermiculatus","Celtis","Acer.negundo"
620,5950,0.0193861066235864,0.012924071082391,0.00161550888529887,0.00161550888529887,0.0920840064620355,0,0.0420032310177706,0.00161550888529887,0,0,0.137318255250404,0.0161550888529887,0.012924071082391,0.00161550888529887,0.00807754442649435,0.0403877221324717,0,0.00161550888529887,0.00484652665589661,0.0387722132471729,0.012924071082391,0.329563812600969,0.00161550888529887,0.00323101777059774,0.121163166397415,0.0258481421647819,0,0.0420032310177706,0,0.00484652665589661,0,0.00323101777059774,0,0,0.00484652665589661,0.00161550888529887,0,0,0.00646203554119548,0,0,0.00323101777059774,0,0,0,0,0,0,0,0.00161550888529887,0,0,0,0,0,0,0,0.00161550888529887,0.00161550888529887,0.00161550888529887,0,0,0
650,6280,0.0364238410596026,0.0165562913907285,0,0.0033112582781457,0.0463576158940397,0,0.0496688741721854,0,0.0033112582781457,0,0.115894039735099,0,0.0198675496688742,0.0033112582781457,0.00662251655629139,0.0397350993377483,0.0033112582781457,0.0033112582781457,0.0165562913907285,0.0364238410596026,0.0165562913907285,0.347682119205298,0,0,0.135761589403974,0.0231788079470199,0,0.0231788079470199,0,0.0033112582781457,0,0.0033112582781457,0.0033112582781457,0,0.00993377483443709,0.00662251655629139,0.00662251655629139,0,0.00662251655629139,0,0.0033112582781457,0,0,0,0.00662251655629139,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,6652,0.0305250305250305,0.00366300366300366,0,0.00122100122100122,0.0793650793650794,0,0.0280830280830281,0.00244200244200244,0,0.00122100122100122,0.126984126984127,0.0183150183150183,0.0122100122100122,0.00122100122100122,0.0122100122100122,0.0231990231990232,0,0.00244200244200244,0.00488400488400488,0.0586080586080586,0.00854700854700855,0.333333333333333,0.00122100122100122,0.00732600732600733,0.145299145299145,0.032967032967033,0,0.0293040293040293,0.00244200244200244,0.00488400488400488,0,0,0,0.00122100122100122,0.00732600732600733,0.00488400488400488,0,0,0.00366300366300366,0.00244200244200244,0,0,0.00244200244200244,0,0.00244200244200244,0.00244200244200244,0,0,0,0,0,0.00122100122100122,0,0,0,0,0,0,0,0,0,0,0
720,7153,0.0325865580448065,0.00610997963340122,0.00407331975560081,0.00610997963340122,0.0733197556008147,0.00203665987780041,0.0305498981670061,0,0,0,0.183299389002037,0.0142566191446029,0,0,0.00610997963340122,0.0305498981670061,0.00203665987780041,0.00203665987780041,0.00407331975560081,0.0427698574338086,0.0183299389002037,0.297352342158859,0.00203665987780041,0.00610997963340122,0.177189409368635,0.0224032586558045,0,0.0244399185336049,0,0,0,0,0.00203665987780041,0,0.00203665987780041,0.00203665987780041,0,0,0.00203665987780041,0,0,0,0,0,0.00203665987780041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203665987780041,0,0
750,7529,0.0364145658263305,0.0112044817927171,0,0,0.0756302521008403,0,0.0364145658263305,0,0,0,0.11484593837535,0.0224089635854342,0.00560224089635854,0,0.00280112044817927,0.0392156862745098,0.00280112044817927,0,0.00840336134453781,0.061624649859944,0.0140056022408964,0.322128851540616,0,0.00840336134453781,0.173669467787115,0.0224089635854342,0,0.0252100840336134,0,0,0,0.00280112044817927,0,0,0,0.00280112044817927,0,0,0.00280112044817927,0,0,0,0,0,0,0.00280112044817927,0,0,0,0,0,0.00280112044817927,0,0,0,0,0,0.00280112044817927,0,0,0,0,0
780,7796,0.0197841726618705,0.0143884892086331,0.00179856115107914,0.00179856115107914,0.0953237410071942,0,0.0215827338129496,0,0,0.00179856115107914,0.0971223021582734,0.0197841726618705,0.012589928057554,0.00359712230215827,0.0107913669064748,0.039568345323741,0.00179856115107914,0,0.0197841726618705,0.0863309352517986,0.00539568345323741,0.325539568345324,0,0,0.120503597122302,0.0341726618705036,0,0.0359712230215827,0.00359712230215827,0.00359712230215827,0.00179856115107914,0,0,0,0.00359712230215827,0,0,0,0.00539568345323741,0,0,0,0,0,0.00899280575539568,0,0,0,0,0,0,0,0,0,0.00179856115107914,0,0,0,0,0,0,0.00179856115107914,0
820,8137,0.0185185185185185,0.00462962962962963,0,0.00154320987654321,0.0709876543209877,0,0.0138888888888889,0,0,0.00154320987654321,0.117283950617284,0.0123456790123457,0.0108024691358025,0.00154320987654321,0.00308641975308642,0.0339506172839506,0.00308641975308642,0.00308641975308642,0.0246913580246914,0.103395061728395,0.0262345679012346,0.342592592592593,0,0,0.135802469135802,0.029320987654321,0,0.0231481481481481,0.00154320987654321,0.00462962962962963,0,0,0.00154320987654321,0,0.00154320987654321,0.00154320987654321,0,0,0.00462962962962963,0,0,0.00154320987654321,0,0,0,0,0,0,0,0,0.00154320987654321,0,0,0,0,0,0,0,0,0,0,0,0
850,8404,0.0117647058823529,0.0088235294117647,0,0,0.0735294117647059,0,0.00294117647058824,0.00294117647058824,0,0.00294117647058824,0.135294117647059,0.00588235294117647,0.0088235294117647,0.00588235294117647,0,0.05,0.0147058823529412,0.00588235294117647,0.0088235294117647,0.132352941176471,0.00588235294117647,0.291176470588235,0,0,0.191176470588235,0.0117647058823529,0,0.0147058823529412,0,0.00588235294117647,0,0,0,0,0,0,0.00294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294117647058824,0,0,0,0,0,0,0,0,0,0,0.00294117647058824
880,8673,0.0247578040904198,0.00538213132400431,0,0.00107642626480086,0.0796555435952637,0.00215285252960172,0.00322927879440258,0.00430570505920344,0.00107642626480086,0.00215285252960172,0.108719052744887,0.0215285252960172,0.0118406889128095,0,0.00107642626480086,0.046286329386437,0.00322927879440258,0.00538213132400431,0.0430570505920344,0.160387513455328,0.00538213132400431,0.243272335844995,0.00107642626480086,0.00107642626480086,0.164693218514532,0.0236813778256189,0,0.0172228202368138,0,0.00215285252960172,0.00107642626480086,0,0,0,0,0.00322927879440258,0,0.00215285252960172,0.00322927879440258,0,0,0.00215285252960172,0,0,0.00107642626480086,0,0,0,0,0.00107642626480086,0.00107642626480086,0,0,0,0,0,0,0,0,0.00107642626480086,0,0,0
920,9030,0.0237341772151899,0.00474683544303797,0,0.00316455696202532,0.0332278481012658,0,0,0,0,0.00158227848101266,0.0870253164556962,0.0110759493670886,0.00949367088607595,0.00316455696202532,0,0.079113924050633,0.00316455696202532,0.00316455696202532,0.0363924050632911,0.210443037974684,0.00949367088607595,0.324367088607595,0,0.00158227848101266,0.102848101265823,0.0158227848101266,0,0.0174050632911392,0.00158227848101266,0.00316455696202532,0,0,0.00158227848101266,0,0,0.00474683544303797,0,0.00632911392405063,0,0,0.00158227848101266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,9209,0.0245700245700246,0.00491400491400491,0.00491400491400491,0,0.0393120393120393,0,0.00245700245700246,0.00245700245700246,0,0.00245700245700246,0.0417690417690418,0.0147420147420147,0.0171990171990172,0,0,0.0638820638820639,0,0.00982800982800983,0.0540540540540541,0.216216216216216,0.00245700245700246,0.371007371007371,0,0.00245700245700246,0.0663390663390663,0.0122850122850123,0,0.0245700245700246,0,0,0,0.00245700245700246,0.00245700245700246,0,0,0,0.00245700245700246,0,0.0122850122850123,0,0,0,0,0,0,0.00245700245700246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,9467,0.00410677618069815,0.00205338809034908,0,0.00205338809034908,0.0390143737166324,0.00205338809034908,0.00205338809034908,0,0,0.00616016427104723,0.0082135523613963,0.00410677618069815,0.0123203285420945,0.00410677618069815,0,0.0390143737166324,0,0.0123203285420945,0.026694045174538,0.213552361396304,0,0.46611909650924,0,0.00205338809034908,0.0574948665297741,0.0184804928131417,0,0.0205338809034908,0,0.00205338809034908,0.00205338809034908,0,0.00205338809034908,0,0.00410677618069815,0,0.0164271047227926,0.00410677618069815,0.0164271047227926,0,0,0,0,0,0,0.0082135523613963,0,0,0,0,0,0.00205338809034908,0,0,0,0,0,0,0,0,0,0,0
980,9736,0.0126849894291755,0.0105708245243129,0,0.00845665961945032,0.0887949260042283,0,0,0.00422832980972516,0,0.00211416490486258,0.00634249471458774,0.025369978858351,0.00845665961945032,0.00211416490486258,0,0.0465116279069767,0.00422832980972516,0.0211416490486258,0.0359408033826638,0.190274841437632,0.00211416490486258,0.389006342494715,0,0.00422832980972516,0.0570824524312896,0.0190274841437632,0,0.0274841437632135,0.00211416490486258,0.00422832980972516,0,0,0,0,0.00211416490486258,0,0.00634249471458774,0,0.0147991543340381,0,0,0,0,0,0.00211416490486258,0.00211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,NA,0.0088339222614841,0.00530035335689046,0.00176678445229682,0,0.0512367491166078,0,0,0,0,0.00353356890459364,0.0088339222614841,0.00530035335689046,0.0176678445229682,0,0.00176678445229682,0.049469964664311,0.0106007067137809,0.00176678445229682,0.03886925795053,0.247349823321555,0.00353356890459364,0.420494699646643,0,0.00353356890459364,0.0441696113074205,0.0229681978798587,0,0.0247349823321555,0.00176678445229682,0.00176678445229682,0.00353356890459364,0,0,0.00353356890459364,0.00176678445229682,0,0.00176678445229682,0,0.00530035335689046,0,0.00353356890459364,0,0,0,0.00176678445229682,0.00176678445229682,0,0,0,0,0,0,0.00176678445229682,0,0,0,0,0,0,0,0,0,0
