"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Celtis","Corylus","Fagus","Fraxinus","Juglans","Juniperus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodium","Cyperaceae","Poaceae","Rubus","Castanea","Planera.aquatica","Mitella","Geranium","Urtica","Rhamnus","Brassicaceae","Plantago","Menispermaceae","Polygonum","Eupatorium","Thalictrum","Oxalis","Aquifoliaceae","Epilobium","Stellaria","Nyssa","Cornus"
330,1916,0.00352112676056338,0.0246478873239437,0.0246478873239437,0.028169014084507,0.0211267605633803,0.00704225352112676,0,0.0176056338028169,0.0352112676056338,0.00704225352112676,0,0.0140845070422535,0,0.0140845070422535,0,0.0563380281690141,0.130281690140845,0,0.0105633802816901,0.433098591549296,0.00704225352112676,0.00352112676056338,0.00352112676056338,0.0387323943661972,0.00704225352112676,0.0352112676056338,0.0211267605633803,0,0.00352112676056338,0.0352112676056338,0.00704225352112676,0,0.0105633802816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,2010,0,0,0.0340909090909091,0.0454545454545455,0.00378787878787879,0.0151515151515152,0.00378787878787879,0.0151515151515152,0.0303030303030303,0.00378787878787879,0.0151515151515152,0.00757575757575758,0,0.0151515151515152,0.00378787878787879,0.00757575757575758,0.090909090909091,0,0.00378787878787879,0.450757575757576,0.0151515151515152,0.00378787878787879,0.0227272727272727,0.053030303030303,0.00757575757575758,0.0151515151515152,0.0492424242424242,0.0189393939393939,0.0227272727272727,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,2107,0,0.00324675324675325,0.0064935064935065,0.0194805194805195,0.0194805194805195,0,0.00974025974025974,0.00974025974025974,0.0194805194805195,0.00324675324675325,0,0,0,0.00324675324675325,0,0.0324675324675325,0.142857142857143,0,0.00974025974025974,0.594155844155844,0,0,0.00324675324675325,0.038961038961039,0.00974025974025974,0.00324675324675325,0.012987012987013,0.0064935064935065,0.00974025974025974,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064935064935065,0,0
360,2206,0,0.00651465798045603,0.00651465798045603,0.0260586319218241,0.0260586319218241,0,0.00651465798045603,0.00977198697068404,0.0228013029315961,0.00977198697068404,0,0.00977198697068404,0,0.00325732899022801,0.00651465798045603,0.0423452768729642,0.254071661237785,0,0.0130293159609121,0.39413680781759,0,0,0.0130293159609121,0.0260586319218241,0.00325732899022801,0.00325732899022801,0.0130293159609121,0.00651465798045603,0.0195439739413681,0.0553745928338762,0.00651465798045603,0,0,0.0130293159609121,0.00325732899022801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,2309,0.0029940119760479,0.0179640718562874,0.0179640718562874,0.0209580838323353,0.0179640718562874,0.0029940119760479,0.00898203592814371,0.0149700598802395,0.029940119760479,0,0.00598802395209581,0.00898203592814371,0,0.0149700598802395,0,0.122754491017964,0.164670658682635,0,0.0029940119760479,0.377245508982036,0,0,0.0029940119760479,0.0449101796407186,0.0119760479041916,0.0149700598802395,0.0179640718562874,0.00598802395209581,0.0179640718562874,0.0359281437125748,0,0.0029940119760479,0,0.00898203592814371,0,0,0,0,0,0,0,0,0,0,0,0,0.0029940119760479,0,0
380,2415,0,0.0140845070422535,0.0176056338028169,0.0316901408450704,0.00704225352112676,0.00352112676056338,0.00704225352112676,0.0211267605633803,0.0316901408450704,0.00352112676056338,0,0.0211267605633803,0,0.0105633802816901,0,0.0140845070422535,0.119718309859155,0,0.00704225352112676,0.503521126760563,0.00352112676056338,0.00352112676056338,0.0105633802816901,0.0211267605633803,0.00704225352112676,0.0140845070422535,0.0316901408450704,0.0140845070422535,0.0246478873239437,0.0492957746478873,0.00704225352112676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,2525,0,0.006006006006006,0.006006006006006,0.039039039039039,0.021021021021021,0.003003003003003,0.003003003003003,0.021021021021021,0.039039039039039,0,0,0.009009009009009,0,0.012012012012012,0,0.051051051051051,0.132132132132132,0,0.018018018018018,0.474474474474474,0.012012012012012,0,0.003003003003003,0.006006006006006,0.009009009009009,0.015015015015015,0.015015015015015,0.021021021021021,0.021021021021021,0.039039039039039,0.018018018018018,0.006006006006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2637,0,0.00291545189504373,0.0204081632653061,0.0174927113702624,0.0262390670553936,0,0.00583090379008746,0.00291545189504373,0.0116618075801749,0,0.0087463556851312,0.00291545189504373,0,0.0233236151603499,0,0.116618075801749,0.224489795918367,0,0.0145772594752187,0.370262390670554,0,0,0.00291545189504373,0.00583090379008746,0.0145772594752187,0.0145772594752187,0.0204081632653061,0.0087463556851312,0.0233236151603499,0.0553935860058309,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,2707,0,0.0179948586118252,0.0308483290488432,0.0462724935732648,0.0025706940874036,0.0025706940874036,0,0,0.0179948586118252,0,0.025706940874036,0.038560411311054,0,0.012853470437018,0.0077120822622108,0.0205655526992288,0.089974293059126,0,0.0102827763496144,0.426735218508997,0.0179948586118252,0,0.0051413881748072,0.0411311053984576,0.0051413881748072,0.0179948586118252,0.0282776349614396,0.0231362467866324,0.0334190231362468,0.0668380462724936,0,0,0,0,0,0,0,0,0,0.0102827763496144,0,0,0,0,0,0,0,0,0
416,2825,0,0.00387596899224806,0.0116279069767442,0.0232558139534884,0.00775193798449612,0,0,0.0193798449612403,0.0155038759689922,0,0.0155038759689922,0.00775193798449612,0,0.0310077519379845,0,0.0465116279069767,0.0891472868217054,0,0.0193798449612403,0.5,0.00387596899224806,0,0,0.0348837209302326,0.0155038759689922,0.0193798449612403,0.0232558139534884,0,0.0465116279069767,0.0503875968992248,0,0.0116279069767442,0.00387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
