"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brasenia.schreberi","Caltha","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Comptonia.peregrina","Cornus","Corylus","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Huperzia.selago","Hydrophyllum","Hypericum","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.Thuja","Lamiaceae","Laportea.type","Larix","Ledum.Chamaedaphne.calyculata","Liliaceae","Lycopodium.annotinum","Lycopodium.clavatum","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.type","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculus","Rhamnaceae","Rosaceae.undiff.","Rubus","Salix","Sambucus","Sarcobatus.vermiculatus","Sarracenia","Saxifragaceae","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Utricularia","Vaccinium","Valeriana","Vitis","Xanthium","Zea.mays"
564,3096,2,1,5,0,0,14,0,1,4,0,0,2,0,0,1,60,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,8,124,64,0,0,2,0,0,3,0,0,1,3,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,4,6,0,0,1,0,0,0,0
600,3434,2,1,5,0,0,8,0,0,3,0,0,2,2,0,0,45,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7,1,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,3,4,6,114,52,0,1,2,0,0,11,0,0,0,2,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0
660,4035,5,0,4,0,0,12,0,1,1,0,0,1,4,0,1,45,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,1,4,145,63,0,0,4,0,0,2,0,0,2,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0
700,4460,1,1,6,0,0,14,0,0,2,0,0,0,1,0,0,58,0,0,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,5,2,1,0,1,0,0,0,8,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,1,6,109,70,0,0,10,0,0,4,0,0,2,5,22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,10,0,0,0,0,0,0,0,0
760,5136,2,0,4,0,0,16,0,3,6,0,0,4,1,0,0,23,0,1,0,2,0,1,0,0,0,2,3,0,1,0,0,0,0,7,1,0,0,0,0,0,1,4,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,1,21,179,69,0,0,5,0,0,1,0,0,0,0,32,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,1,6,0,0,0,0,0,0,0,0
800,5611,3,0,2,0,0,14,1,2,5,0,0,2,3,0,0,25,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,7,4,0,1,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,10,99,80,0,0,1,1,0,4,1,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,1,0,0
830,5981,2,0,1,0,0,5,0,1,1,0,0,1,0,0,0,11,0,0,1,0,0,0,1,1,0,0,5,0,2,0,0,0,0,7,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,1,0,0,0,14,1,15,102,62,0,0,3,0,0,5,0,0,1,3,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0
860,6362,3,0,4,0,0,19,0,3,3,0,0,0,1,0,0,16,0,1,0,2,0,0,0,1,0,0,5,0,1,0,0,0,0,7,1,0,0,1,0,0,0,6,3,2,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11,1,18,96,81,0,0,6,1,0,3,0,0,2,7,41,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0,0
900,6887,2,0,4,0,0,5,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,6,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,11,0,4,102,85,0,0,2,1,0,1,0,1,0,3,33,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
930,7295,1,0,6,1,0,9,0,0,1,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,5,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,5,129,88,0,2,3,0,0,4,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0
