"sample.depths","sample.ages","Abies.balsamea","Acer.cf..A..pensylvanicum","Acer.negundo","Acer.nigrum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Cornus.alternifolia","Cornus.undiff.","Corylus.cornuta","Cyperaceae","Cystopteris","Diphasiastrum.alpinum","Diphasiastrum.complanatum","Diphasiastrum.complanatum.type","Dryas","Dryopteris","Dryopteris.type.undiff.","Ephedra","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Huperzia.selago.type","Hypericum","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae.undiff.","Larix","Linnaea.borealis","Ludwigia","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.alterniflorum","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polypodium.virginianum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunella.type","Prunus.pensylvanica","Prunus.undiff.","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhamnus.cathartica","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.reticulata.type","Salix.undiff.","Salix.vestita.type","Sambucus","Sarracenia.purpurea","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Thelypteris.palustris.type","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.alnifolium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.undiff."
540,13049,2,0,0,0,0,0,0,0,0,14,20,0,2,0,22,6,0,1,198,1,1,0,0,0,0,0,2,0,0,0,0,82,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,55,32,56,2,46,46,10,0,0,0,0,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,29,0,0,8,0,0,0,0,1,2,2,2,0,0,0,0,0,0
545,13159,1,0,0,0,1,0,0,0,0,31,41,0,1,1,5,7,1,0,60,1,0,1,1,0,0,0,0,0,0,0,2,157,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,36,10,15,0,57,16,7,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,1,40,0,0,0,0,0,1,0,3,0,9,0,0,2,0,0,0,0,5,8,2,3,0,0,0,0,0,0
550,13264,0,0,0,0,2,0,0,0,0,29,35,0,6,0,51,17,0,0,71,0,0,0,4,0,0,0,2,0,0,0,3,163,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,3,2,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,8,27,4,10,0,103,11,16,0,0,5,2,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,3,57,0,1,0,0,1,0,1,2,0,3,0,0,3,0,0,0,0,7,12,4,3,0,0,0,0,0,0
565,13558,0,0,0,0,0,0,0,0,0,50,68,2,7,0,31,15,0,0,101,1,0,1,3,0,0,0,2,0,0,0,2,203,0,0,0,0,1,0,0,1,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,17,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,6,26,5,9,0,78,22,18,0,0,1,0,0,0,0,0,0,0,15,0,0,0,5,0,2,0,1,0,59,5,0,0,0,1,2,1,10,0,8,0,0,1,0,0,0,0,15,11,5,2,0,0,0,0,0,0
570,13653,0,0,0,0,0,0,1,0,0,7,7,0,3,0,58,14,0,0,28,0,1,0,8,0,0,0,0,0,0,0,2,62,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,7,68,13,35,0,130,8,12,0,1,4,0,0,0,0,0,0,0,21,0,3,0,9,0,0,0,0,0,36,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,2,1,4,0,0,0,0,0,0
575,NA,0,0,0,0,0,0,0,0,0,8,9,2,10,0,12,0,0,0,44,0,0,0,0,0,0,2,0,0,0,0,4,65,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,15,0,0,0,17,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,2,31,2,50,1,37,26,6,0,0,6,0,17,0,0,0,0,0,26,0,2,0,6,0,0,0,0,0,13,0,1,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,2,9,6,2,0,0,0,0,0,0
585,NA,0,0,0,0,0,0,1,0,0,0,17,0,4,0,14,3,0,0,49,0,0,1,0,0,0,2,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,1,25,3,226,0,30,4,3,0,0,0,1,2,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,14,9,22,8,0,0,0,0,0,0
600,NA,0,0,0,0,0,0,1,0,0,0,8,0,3,0,2,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,1,12,0,8,1,1,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,0,0,0,0,0,0
605,NA,3,0,0,0,0,0,4,0,0,8,10,1,7,0,12,0,0,0,49,0,0,0,1,0,0,7,5,0,0,0,7,32,0,0,0,0,0,0,0,0,0,2,0,0,3,14,6,0,0,3,0,22,0,0,0,38,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,5,0,0,26,2,73,0,20,1,9,0,0,31,7,5,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,5,3,2,0,0,0,0,0,2
615,NA,0,0,0,0,0,0,0,0,0,15,9,1,12,1,7,0,1,0,48,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,15,0,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,54,4,70,0,19,4,14,0,0,3,4,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,3,7,1,0,0,0,0,0,0
630,NA,4,0,0,0,0,0,0,0,0,3,16,2,11,0,14,1,0,0,54,0,0,2,1,0,0,0,1,0,0,0,2,24,0,0,0,0,0,0,1,0,0,1,0,0,0,2,3,0,1,0,0,13,0,0,0,7,2,0,0,0,0,0,4,5,0,0,0,0,0,0,0,7,0,10,85,10,238,0,58,18,12,0,0,5,2,0,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,8,0,3,0,0,0,0,0,0,0,5,15,10,6,0,0,0,0,0,0
635,NA,1,0,0,0,0,0,0,0,0,1,4,1,3,0,6,2,0,0,24,0,0,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,113,6,143,0,7,3,5,0,1,2,4,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0,0,0,0,0
