"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Myrica","Populus","Poaceae","Rumex","Cornus","Acer.undiff.","Cannabaceae","Amaranthaceae.undiff.","Liquidambar","Tilia","Ericaceae","Juglans.nigra","Vitis","Castanea","Juglans.cinerea","Thalictrum","Morus","Galium","Plantago","Aquifoliaceae","Sarcobatus.vermiculatus","Urtica.type","Ranunculaceae.undiff.","Iva.xanthifolia.type","Shepherdia.canadensis","Celtis","Herbs.undiff.","Onagraceae","Dryas.type"
200,3933,0.00779727095516569,0,0,0,0.0253411306042885,0.0253411306042885,0.00584795321637427,0.00389863547758285,0.161793372319688,0,0.00584795321637427,0.050682261208577,0.00584795321637427,0.00779727095516569,0.00389863547758285,0.00779727095516569,0.00194931773879142,0.00779727095516569,0.0214424951267057,0.171539961013645,0.364522417153996,0.00584795321637427,0.0409356725146199,0.00584795321637427,0.00194931773879142,0.00389863547758285,0.0214424951267057,0.00194931773879142,0.00389863547758285,0.00389863547758285,0.0116959064327485,0,0,0.00584795321637427,0,0,0,0,0,0,0,0,0.00389863547758285,0,0.00194931773879142,0.00194931773879142,0,0.00194931773879142,0.00194931773879142,0.00194931773879142,0,0,0,0,0,0,0
210,4153,0.00626304801670146,0.00208768267223382,0.00208768267223382,0,0.0125260960334029,0.0146137787056367,0.00417536534446764,0.00208768267223382,0.169102296450939,0,0.00626304801670146,0.0855949895615866,0.0104384133611691,0.0125260960334029,0.00835073068893528,0.00835073068893528,0.00208768267223382,0.00835073068893528,0.0104384133611691,0.081419624217119,0.438413361169102,0.00417536534446764,0.0375782881002088,0.00208768267223382,0.00626304801670146,0,0.0125260960334029,0.00417536534446764,0.022964509394572,0.0125260960334029,0.0104384133611691,0,0,0,0,0,0,0,0,0,0,0,0.00208768267223382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,4378,0.00165016501650165,0,0,0,0.0132013201320132,0.0148514851485149,0.0099009900990099,0.00495049504950495,0.168316831683168,0.00165016501650165,0.00495049504950495,0.0231023102310231,0.0033003300330033,0.0033003300330033,0.00825082508250825,0.0066006600660066,0,0.0115511551155116,0.00495049504950495,0.143564356435644,0.473597359735974,0.0033003300330033,0.0462046204620462,0.00495049504950495,0.00495049504950495,0,0.0115511551155116,0,0.0099009900990099,0.00825082508250825,0.0033003300330033,0,0,0.00495049504950495,0,0.00165016501650165,0,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,4605,0.00203665987780041,0.00407331975560081,0.00610997963340122,0,0.0203665987780041,0.00610997963340122,0.00203665987780041,0.00203665987780041,0.112016293279022,0,0.00407331975560081,0.0610997963340122,0.00203665987780041,0,0.010183299389002,0.00203665987780041,0.00814663951120163,0.00814663951120163,0.0162932790224033,0.120162932790224,0.519348268839104,0.00203665987780041,0.0468431771894094,0.00203665987780041,0.00203665987780041,0,0.0122199592668024,0,0.0183299389002037,0.00610997963340122,0.00203665987780041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203665987780041,0,0,0,0,0,0
240,4837,0.00862068965517241,0,0,0,0.0103448275862069,0.0172413793103448,0,0.00517241379310345,0.158620689655172,0.00344827586206897,0,0.0879310344827586,0.00689655172413793,0.00344827586206897,0,0,0.00517241379310345,0.00517241379310345,0.00517241379310345,0.163793103448276,0.431034482758621,0.00344827586206897,0.0310344827586207,0,0,0.00517241379310345,0.0258620689655172,0,0.00344827586206897,0.00517241379310345,0.00517241379310345,0,0,0.00344827586206897,0,0.00344827586206897,0,0,0,0,0,0,0,0,0,0.00172413793103448,0,0,0,0,0,0,0,0,0,0,0
250,5072,0.00213219616204691,0.00639658848614072,0.00213219616204691,0,0.0383795309168444,0.0213219616204691,0.00213219616204691,0.00213219616204691,0.138592750533049,0,0.00213219616204691,0.070362473347548,0.00852878464818763,0,0.00213219616204691,0,0.00639658848614072,0.0170575692963753,0.00852878464818763,0.0724946695095949,0.488272921108742,0.00213219616204691,0.0255863539445629,0,0.00426439232409382,0,0.0213219616204691,0.00213219616204691,0.0106609808102345,0.0106609808102345,0.0127931769722814,0,0,0,0,0.00426439232409382,0,0.00213219616204691,0.00852878464818763,0.00213219616204691,0.00213219616204691,0,0,0,0,0.00213219616204691,0,0,0,0,0,0,0,0,0,0,0
260,5310,0.00676818950930626,0,0,0,0.0203045685279188,0.011844331641286,0.00846023688663283,0.0050761421319797,0.1082910321489,0.00169204737732657,0.00676818950930626,0.050761421319797,0.00846023688663283,0.00338409475465313,0.0152284263959391,0.00169204737732657,0.0050761421319797,0.00676818950930626,0.0101522842639594,0.131979695431472,0.510998307952623,0.0050761421319797,0.027072758037225,0,0.00169204737732657,0.00169204737732657,0.0050761421319797,0,0.00338409475465313,0.00846023688663283,0.0186125211505922,0,0.00338409475465313,0.0050761421319797,0,0,0,0,0.00676818950930626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5551,0.00176678445229682,0.00530035335689046,0.00176678445229682,0,0.019434628975265,0.0176678445229682,0.00176678445229682,0.00353356890459364,0.113074204946996,0.00176678445229682,0.00176678445229682,0.068904593639576,0.00353356890459364,0.00176678445229682,0.0088339222614841,0,0.00176678445229682,0.00530035335689046,0.00706713780918728,0.199646643109541,0.436395759717314,0.00176678445229682,0.0335689045936396,0.00176678445229682,0.00530035335689046,0,0.0088339222614841,0,0.0141342756183746,0.0176678445229682,0.00706713780918728,0,0,0,0,0.00353356890459364,0,0,0,0,0,0,0,0,0,0,0.00176678445229682,0,0.00176678445229682,0,0,0.00176678445229682,0,0,0,0,0
280,5794,0.0132325141776938,0,0,0,0.0415879017013233,0.0756143667296786,0.00378071833648393,0.00189035916824197,0.126654064272212,0,0.00945179584120983,0.0453686200378072,0.0056710775047259,0.00378071833648393,0,0.00189035916824197,0.00378071833648393,0.0207939508506616,0.0132325141776938,0.251417769376181,0.291115311909263,0.0056710775047259,0.0302457466918715,0.00756143667296786,0.00756143667296786,0,0.0056710775047259,0,0.0113421550094518,0.00945179584120983,0.00378071833648393,0,0,0.00378071833648393,0,0.00378071833648393,0,0,0,0,0,0,0.00189035916824197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,6040,0.00832177531206657,0.00277392510402219,0.0013869625520111,0,0.0180305131761442,0.0110957004160888,0.00277392510402219,0.0013869625520111,0.119278779472954,0.0013869625520111,0.0013869625520111,0.0527045769764216,0.00554785020804438,0.00416088765603329,0.0013869625520111,0.00416088765603329,0.00416088765603329,0.00970873786407767,0.00832177531206657,0.212205270457698,0.434119278779473,0.00277392510402219,0.0374479889042996,0,0.00416088765603329,0.0013869625520111,0.013869625520111,0,0.00970873786407767,0.0152565880721221,0.00554785020804438,0,0,0,0,0,0,0,0.00554785020804438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
