"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea"
46.5,334,0,0.013961606,0.012216405,0.005235602,0.022687609,0,0.111692845,0.019197208,0.013961606,0.047120419,0,0.008726003,0,0.001745201,0.001745201,0,0.05061082,0.006980803,0.003490401,0.003490401,0,0.001745201,0,0,0,0,0.017452007,0.001745201,0.003490401,0.005235602,0.005235602,0.010471204,0.090750436,0,0,0.441535777,0,0,0,0,0,0.055846422,0.005235602,0,0.008726003,0,0,0.001745201,0,0,0,0,0,0,0,0.001745201,0.010471204,0,0,0,0,0.013961606,0.001745201,0,0
48.5,368,0,0.010067114,0.015100671,0.001677852,0.048657718,0,0.139261745,0.016778523,0.030201342,0.025167785,0,0.003355705,0,0.003355705,0.001677852,0,0.052013423,0.003355705,0.003355705,0.005033557,0.001677852,0,0,0,0,0,0.018456376,0.003355705,0.003355705,0.006711409,0.005033557,0.013422819,0.093959732,0.001677852,0,0.399328859,0,0.001677852,0,0,0.001677852,0.040268456,0.005033557,0,0.015100671,0,0.003355705,0.001677852,0,0,0,0.005033557,0,0,0,0.003355705,0.006711409,0,0,0,0,0.010067114,0,0,0
50.5,402,0,0.004784689,0.009569378,0.003189793,0.043062201,0.001594896,0.140350877,0.009569378,0.039872408,0.011164274,0,0.015948963,0.001594896,0,0.003189793,0,0.022328549,0.012759171,0.004784689,0.006379585,0.001594896,0,0,0,0,0,0,0,0,0.006379585,0.009569378,0.003189793,0.094098884,0,0.004784689,0.411483254,0.033492823,0.006379585,0,0,0,0.039872408,0.015948963,0,0.01754386,0,0,0,0,0,0,0.006379585,0,0,0,0,0.007974482,0.001594896,0,0,0,0.009569378,0,0,0
52.5,436,0,0.005128205,0.008547009,0.003418803,0.025641026,0.001709402,0.14017094,0.013675214,0.017094017,0.035897436,0,0.008547009,0,0.001709402,0.001709402,0,0.039316239,0.01025641,0.006837607,0.005128205,0.003418803,0.001709402,0,0.003418803,0,0,0.041025641,0,0.001709402,0.003418803,0.013675214,0.006837607,0.097435897,0.003418803,0,0.408547009,0,0,0,0,0.001709402,0.04957265,0.006837607,0.001709402,0.001709402,0,0,0.005128205,0,0,0,0,0,0,0,0,0.008547009,0,0,0,0,0.015384615,0,0,0
54.5,470,0,0.005703422,0.019011407,0.005703422,0.030418251,0.001901141,0.089353612,0.005703422,0.039923954,0.038022814,0,0.007604563,0.001901141,0.003802281,0.003802281,0,0.074144487,0.009505703,0.005703422,0.003802281,0,0.003802281,0,0.003802281,0,0,0.036121673,0,0.003802281,0.013307985,0.003802281,0.001901141,0.085551331,0,0,0.403041825,0,0,0,0,0,0.072243346,0.007604563,0,0,0,0.001901141,0,0,0,0.001901141,0.005703422,0,0,0,0.001901141,0.003802281,0,0,0,0,0.003802281,0,0,0
56.5,504,0,0.003577818,0.008944544,0.003577818,0.025044723,0.001788909,0.127012522,0.003577818,0.021466905,0.01431127,0,0.005366726,0,0.001788909,0.001788909,0.001788909,0.050089445,0.007155635,0.003577818,0.003577818,0,0,0,0.001788909,0,0,0.023255814,0,0.001788909,0.001788909,0.01431127,0.003577818,0.060822898,0.007155635,0,0.486583184,0,0,0,0,0.001788909,0.076923077,0.007155635,0,0.003577818,0,0,0.003577818,0,0,0,0,0,0,0,0,0.010733453,0,0,0,0,0.008944544,0.001788909,0,0
58.5,538,0,0.005190311,0.008650519,0.008650519,0.027681661,0,0.148788927,0.008650519,0.022491349,0.01384083,0,0.003460208,0,0.001730104,0.001730104,0.001730104,0.041522491,0.010380623,0.006920415,0.006920415,0.003460208,0,0,0.003460208,0,0,0.015570934,0,0.005190311,0.005190311,0.005190311,0.005190311,0.076124567,0,0,0.468858131,0,0,0,0,0,0.058823529,0.01384083,0,0.003460208,0,0.001730104,0.001730104,0,0,0,0.005190311,0,0,0,0.003460208,0.001730104,0,0,0,0,0.003460208,0,0,0
60.5,572,0.00166113,0.009966777,0.014950166,0.00166113,0.034883721,0,0.174418605,0.013289037,0.023255814,0.018272425,0,0.00166113,0,0.003322259,0.004983389,0,0.063122924,0.003322259,0.004983389,0.00166113,0,0,0,0.00166113,0,0,0.023255814,0,0,0.006644518,0.008305648,0.013289037,0.056478405,0,0,0.42358804,0.00166113,0.00166113,0,0,0.003322259,0.041528239,0.011627907,0,0.003322259,0,0,0.00166113,0,0,0,0.003322259,0,0,0,0,0.004983389,0,0,0,0,0.016611296,0.00166113,0,0
62.5,606,0,0.005454545,0.009090909,0.001818182,0.02,0,0.161818182,0.014545455,0.025454545,0.016363636,0,0.001818182,0,0.001818182,0.003636364,0.003636364,0.078181818,0.007272727,0.001818182,0.005454545,0.001818182,0,0,0.001818182,0,0,0.032727273,0,0.007272727,0.003636364,0.005454545,0.014545455,0.050909091,0,0,0.436363636,0,0,0,0,0,0.052727273,0.005454545,0,0.003636364,0,0.001818182,0.001818182,0,0,0,0.001818182,0,0,0,0,0.010909091,0,0,0,0,0.009090909,0,0,0
64.5,640,0.001808318,0.005424955,0.018083183,0.005424955,0.023508137,0,0.121157324,0.003616637,0.028933092,0.016274864,0,0,0.003616637,0,0.001808318,0.001808318,0.025316456,0.009041591,0.003616637,0.001808318,0.003616637,0.001808318,0.001808318,0.001808318,0,0,0.03074141,0,0.001808318,0.005424955,0.009041591,0.009041591,0.065099458,0.003616637,0,0.484629295,0,0.001808318,0,0,0,0.061482821,0.016274864,0,0.009041591,0,0,0,0,0,0,0.005424955,0,0,0,0,0.009041591,0,0,0,0,0.007233273,0,0,0
66.5,674,0.001703578,0.00681431,0.011925043,0.005110733,0.044293015,0,0.148211244,0.005110733,0.022146508,0.015332198,0,0.005110733,0,0.001703578,0.005110733,0,0.035775128,0.008517888,0.00681431,0.003407155,0.005110733,0.001703578,0,0.001703578,0,0,0.023850085,0.001703578,0.003407155,0.00681431,0.005110733,0.003407155,0.05451448,0.003407155,0,0.448040886,0,0,0,0,0,0.074957411,0.010221465,0,0.001703578,0,0,0.001703578,0,0,0,0.008517888,0,0,0,0,0.010221465,0,0,0,0,0.00681431,0,0,0
68.5,708,0,0.00798722,0.009584665,0.004792332,0.046325879,0,0.111821086,0.00798722,0.014376997,0.030351438,0,0.003194888,0,0,0.001597444,0,0.062300319,0.004792332,0.004792332,0.003194888,0,0,0,0,0.001597444,0,0.025559105,0.001597444,0.006389776,0.006389776,0.017571885,0.012779553,0.07028754,0.001597444,0,0.46485623,0,0.004792332,0,0,0.004792332,0.036741214,0.004792332,0,0.003194888,0,0,0.003194888,0,0,0,0.004792332,0,0,0,0,0.006389776,0,0,0,0.001597444,0.00798722,0,0,0
70.5,742,0,0.011945392,0.006825939,0.005119454,0.029010239,0,0.129692833,0.011945392,0.013651877,0.013651877,0,0.003412969,0,0.001706485,0.005119454,0.001706485,0.059726962,0.003412969,0.003412969,0.005119454,0,0.001706485,0,0.001706485,0.001706485,0,0.034129693,0.001706485,0.005119454,0.006825939,0.010238908,0.005119454,0.071672355,0.001706485,0,0.464163823,0,0.005119454,0,0,0.005119454,0.04778157,0.005119454,0,0.005119454,0,0,0.001706485,0,0,0,0.001706485,0,0,0,0,0.008532423,0,0,0,0.001706485,0.006825939,0,0,0
72.5,776,0,0.011744966,0.010067114,0.008389262,0.033557047,0,0.151006711,0.011744966,0.021812081,0.020134228,0,0.010067114,0,0.001677852,0.001677852,0.001677852,0.067114094,0.008389262,0.006711409,0,0.001677852,0.001677852,0,0.001677852,0.001677852,0,0.023489933,0,0.006711409,0.003355705,0.005033557,0.013422819,0.041946309,0.003355705,0,0.426174497,0,0,0,0,0,0.068791946,0.011744966,0,0.006711409,0,0,0,0,0,0,0.003355705,0,0,0,0,0.008389262,0,0,0,0.001677852,0.003355705,0,0,0
