"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Salix","Tsuga","Alnus","Ambrosia","Fraxinus.americana.type","Myrica","Pinus","Populus","Poaceae","Acer.saccharum","Ostrya","Acer.rubrum","Carya","Larix","Platanus","Ulmus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra","Castanea","Tilia","Taxus","Sarcobatus.vermiculatus","Thalictrum","Corylus","Iva.annua","Celtis","Morus","Iva.xanthifolia","Rosaceae","Symphoricarpos","Shepherdia.canadensis","Plantago","Ephedra.torreyana.type","Ephedra.nevadensis.type","Vitis","Xanthium"
220,3835,0.02,0.0133333333333333,0.12,0,0.243333333333333,0.00333333333333333,0.04,0,0,0,0.0166666666666667,0.113333333333333,0,0.00666666666666667,0.00333333333333333,0.0233333333333333,0.00333333333333333,0.01,0,0.24,0.00333333333333333,0,0.03,0.0166666666666667,0,0,0.0166666666666667,0.00333333333333333,0.04,0.00333333333333333,0.0233333333333333,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0
230,4113,0.0166666666666667,0.00666666666666667,0.223333333333333,0,0.14,0,0.0166666666666667,0.00666666666666667,0,0,0.03,0.11,0,0,0.00666666666666667,0.0166666666666667,0.01,0.00666666666666667,0,0.3,0.00333333333333333,0.00666666666666667,0.02,0.02,0,0,0.0333333333333333,0,0.02,0,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4400,0.0133333333333333,0,0.223333333333333,0,0.05,0,0.0366666666666667,0.01,0,0,0.03,0.08,0,0,0.02,0.01,0.00333333333333333,0.00333333333333333,0,0.35,0,0,0.0433333333333333,0.03,0.00333333333333333,0.00666666666666667,0.0233333333333333,0,0.05,0,0.01,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4698,0.0133333333333333,0,0.13,0,0.09,0.00333333333333333,0.02,0,0,0,0.0233333333333333,0.0766666666666667,0,0.00666666666666667,0.0433333333333333,0.0133333333333333,0.0133333333333333,0,0,0.416666666666667,0.00333333333333333,0.00333333333333333,0.02,0.0233333333333333,0,0.00333333333333333,0.01,0.0133333333333333,0.0466666666666667,0.00333333333333333,0.0166666666666667,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0
260,5005,0.00333333333333333,0.0166666666666667,0.16,0,0.126666666666667,0,0.0166666666666667,0.00333333333333333,0,0,0.01,0.113333333333333,0,0.00666666666666667,0.0266666666666667,0.02,0.00666666666666667,0.0233333333333333,0,0.313333333333333,0,0,0.0266666666666667,0.0133333333333333,0,0.00666666666666667,0.00333333333333333,0.00666666666666667,0.0566666666666667,0.00666666666666667,0.0266666666666667,0,0.00333333333333333,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
263,5099,0.0266666666666667,0.0133333333333333,0.166666666666667,0,0.116666666666667,0,0.05,0,0.00333333333333333,0,0.0133333333333333,0.11,0,0.00666666666666667,0.0266666666666667,0,0.0133333333333333,0,0,0.366666666666667,0,0,0.01,0.0133333333333333,0,0,0.00666666666666667,0,0.04,0,0.00333333333333333,0,0.00333333333333333,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5323,0.01,0.00333333333333333,0.106666666666667,0.00666666666666667,0.2,0,0.0233333333333333,0,0,0,0.00666666666666667,0.123333333333333,0,0.00333333333333333,0.04,0.0233333333333333,0.0166666666666667,0.0133333333333333,0,0.333333333333333,0.00333333333333333,0.00666666666666667,0.0266666666666667,0.00333333333333333,0,0.00333333333333333,0.00666666666666667,0,0.0233333333333333,0,0.01,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0
280,5651,0.00666666666666667,0.00666666666666667,0.116666666666667,0.00333333333333333,0.14,0,0.0233333333333333,0,0.00333333333333333,0,0.01,0.1,0,0,0.0366666666666667,0.02,0.00666666666666667,0.00333333333333333,0,0.39,0,0,0.0333333333333333,0.03,0,0,0.00333333333333333,0.00333333333333333,0.04,0.00666666666666667,0.0133333333333333,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0
285,5819,0.00333333333333333,0.01,0.13,0,0.123333333333333,0.00333333333333333,0.0233333333333333,0.00333333333333333,0.00333333333333333,0,0.00333333333333333,0.133333333333333,0,0.00666666666666667,0.0333333333333333,0.0266666666666667,0.0133333333333333,0.00666666666666667,0,0.34,0,0,0.0133333333333333,0.0266666666666667,0,0,0.00333333333333333,0,0.06,0.00333333333333333,0.0233333333333333,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,5990,0.0233333333333333,0,0.19,0,0.103333333333333,0,0.03,0,0,0,0.0133333333333333,0.126666666666667,0,0,0.02,0.00333333333333333,0,0,0,0.373333333333333,0,0,0.02,0.0233333333333333,0,0.01,0,0.00666666666666667,0.0333333333333333,0,0.02,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
