"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Morus","Myrica","Myriophyllum","Osmunda","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Symphoricarpos","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
340,7845,3,0,4,3,2,3,4,3,0,23,1,0,0,0,23,2,1,0,0,0,6,2,9,0,0,0,1,0,2,0,0,0,0,0,9,3,147,0,2,0,1,0,4,32,0,0,0,0,0,0,1,0,0,0,0,3,0,12,0,0,0
350,8249,2,0,3,1,3,3,1,1,0,13,0,0,1,0,19,0,4,0,0,0,2,3,3,4,1,0,0,1,4,0,0,2,0,0,12,2,165,0,3,2,0,0,10,34,0,0,1,0,1,0,0,0,0,0,0,2,0,15,1,0,0
355,8456,4,0,1,1,0,4,2,0,0,15,3,0,0,1,14,0,2,0,0,0,1,0,5,4,0,0,1,0,3,0,0,0,0,0,5,4,200,0,0,1,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0
360,8665,2,0,2,0,3,5,3,1,0,20,3,0,0,0,13,0,2,0,0,0,0,3,9,1,0,0,0,1,0,0,0,1,0,0,6,2,174,0,2,4,0,0,5,30,0,0,0,0,0,0,0,0,1,0,0,2,0,13,1,0,0
365,8877,12,0,2,2,3,5,5,0,0,21,3,0,0,0,26,2,3,0,0,0,5,0,1,4,0,0,0,0,8,0,0,0,0,0,7,3,163,0,0,0,0,0,2,19,0,0,2,0,0,0,0,0,0,0,0,4,0,7,0,0,0
370,9091,1,0,6,1,0,4,1,2,0,27,1,0,0,0,27,1,1,0,0,0,1,2,2,4,0,0,0,0,5,1,0,0,0,0,17,3,153,0,0,2,0,0,1,27,0,0,2,0,0,0,0,0,0,0,1,2,0,12,0,0,0
375,9309,10,0,1,3,1,1,3,0,0,28,1,0,0,0,24,1,0,0,0,0,3,3,0,4,0,0,0,0,3,0,0,0,0,0,9,2,179,0,0,0,0,0,2,17,1,0,0,1,0,0,0,0,0,0,0,1,0,8,0,0,0
380,9529,5,0,4,3,0,2,3,0,0,24,0,0,0,0,13,0,0,0,0,0,1,1,9,4,0,0,0,0,1,0,0,0,0,0,13,1,177,0,0,2,1,0,2,26,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0
385,9750,6,0,3,3,1,2,3,0,0,21,0,0,0,0,3,2,0,0,0,0,0,5,1,4,0,0,1,0,3,0,0,0,0,0,11,10,196,0,0,1,1,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
390,9967,7,0,4,3,1,1,2,1,0,21,1,0,0,0,3,0,1,0,0,0,0,3,6,3,0,0,0,0,2,0,0,2,0,0,9,6,175,0,2,4,0,0,6,36,0,0,1,0,0,0,0,0,0,0,1,0,0,9,2,0,0
395,10179,15,0,2,3,2,2,4,4,0,21,0,0,0,0,6,5,0,0,0,0,0,3,5,10,0,0,1,0,1,0,0,1,0,0,7,6,169,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
400,10382,4,0,4,3,1,8,4,0,0,55,6,0,0,0,4,5,0,0,0,0,0,4,5,3,0,0,3,0,4,0,0,0,0,0,5,10,98,0,2,4,1,0,6,54,0,0,0,0,0,0,0,0,0,1,0,2,0,13,0,0,0
410,10753,9,0,1,1,0,2,2,1,0,44,4,0,0,1,12,0,0,0,0,0,0,2,2,1,0,0,1,0,6,0,0,0,0,0,7,16,127,0,3,1,4,0,4,42,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
415,10916,7,0,2,1,1,1,3,1,0,47,2,0,0,0,7,6,0,1,0,0,0,1,3,5,1,0,0,0,4,0,0,0,0,0,12,31,125,0,0,3,0,0,2,32,0,0,1,0,0,0,0,0,0,0,0,1,0,7,1,0,0
420,11071,10,0,0,0,0,2,4,0,0,71,3,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,1,1,0,5,42,97,0,0,2,0,0,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0
425,NA,2,0,1,0,0,2,7,0,0,94,1,0,0,1,8,5,0,0,0,0,0,1,3,6,0,0,0,0,4,0,0,0,0,0,13,28,79,0,0,2,3,0,6,37,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0
430,NA,2,0,2,1,0,3,6,1,0,30,2,0,0,0,9,7,4,0,0,0,0,1,4,4,0,0,1,0,7,0,0,1,0,0,9,54,93,0,0,2,2,2,4,44,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,1,0
435,NA,0,0,1,0,1,1,2,0,0,26,5,0,0,0,2,8,1,0,0,1,0,0,4,5,0,0,1,0,10,0,0,0,0,0,4,72,98,0,0,5,1,0,19,45,0,0,0,0,0,0,0,0,0,0,0,1,0,13,3,0,0
440,NA,1,0,0,1,1,2,4,0,0,16,1,0,0,0,15,6,4,0,0,1,0,0,0,7,0,0,0,0,3,1,0,0,0,0,1,42,160,0,0,3,12,0,2,13,0,0,2,0,0,0,0,0,0,0,0,1,0,15,1,0,1
