"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Amorpha.canescens","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.cf..B..dissectum","Botrychium.cf..B..multifidum","Brasenia.schreberi","Brassicaceae","Carya","Celtis","cf..Ceanothus","cf..Lysimachia.thyrsiflora","Chenopodium.type","Corylus","Cupressaceae","Cyperaceae","Dalea.purpurea","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Euphorbia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Humulus.Cannabis.sativa","Hydrophyllum","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.cf..Lycopodium.clavatum","Lycopus.type","Morus","Myriophyllum.sibiricum.type","Myriophyllum.verticillatum.type","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sparganium.type","Thalictrum","Tidestromia","Tilia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Vitis","Woodsia","Xanthium"
942,7733,0,0,0,1,5,13,0,0,12,5,13,0,0,1,0,0,0,0,0,6,2,1,3,0,4,0,1,0,0,4,1,0,0,8,0,3,1,0,0,1,0,0,0,0,0,0,0,8,0,11,2,101,0,0,19,0,5,0,0,3,40,0,0,0,0,2,0,0,0,1,0,9,0,0,0,1,0,0
945,7804,0,0,0,3,40,54,2,2,54,23,36,0,0,1,0,0,1,0,0,17,18,3,25,1,10,0,4,0,0,8,1,0,0,17,1,3,0,0,0,0,0,0,0,0,0,2,0,20,3,64,27,438,0,0,66,0,53,3,0,10,131,0,1,0,1,10,0,0,0,0,2,38,0,0,1,0,0,0
947,7852,1,0,0,0,9,10,0,0,16,3,10,0,0,1,1,0,0,0,0,10,3,0,3,0,7,1,3,0,0,5,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,16,4,112,0,0,16,0,4,0,0,1,27,0,0,0,0,3,0,1,0,0,0,7,0,1,0,1,0,0
950,7923,0,0,1,1,13,14,0,0,23,2,12,0,0,0,1,0,0,0,0,6,4,1,5,0,5,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,4,115,0,0,14,0,0,0,0,0,25,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0
956,8065,0,0,0,2,16,19,0,0,30,5,11,0,0,3,0,2,0,0,0,9,1,0,7,0,2,0,0,0,0,5,0,1,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,23,7,115,0,0,18,0,10,0,0,1,21,0,0,0,0,1,1,0,0,0,0,7,0,1,0,0,0,0
960,8160,0,0,0,0,11,28,0,0,24,3,9,0,0,1,0,1,0,0,1,16,0,0,4,0,2,0,0,0,1,2,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,37,2,119,0,1,26,0,7,2,0,2,31,0,0,0,0,5,0,1,0,0,0,5,0,1,0,0,0,0
966,8302,0,0,0,2,9,16,0,0,27,6,7,0,0,0,0,0,0,0,1,7,0,0,8,0,4,0,1,0,1,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,7,0,25,0,99,0,0,23,0,10,1,0,2,20,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,1
970,8396,0,0,0,0,7,11,0,0,33,5,6,0,0,0,0,2,0,0,0,9,0,0,14,0,7,0,0,0,0,6,1,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,14,0,111,0,0,19,0,12,2,0,2,8,0,1,0,0,5,0,1,1,0,0,5,1,3,0,0,0,0
976,8539,1,0,0,0,5,12,0,0,33,4,5,0,0,0,0,0,0,0,0,9,0,1,4,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,35,1,110,0,0,14,0,4,0,0,2,8,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0
980,8633,0,0,0,0,24,11,1,0,20,2,19,0,0,4,0,0,0,0,1,2,0,0,5,0,2,0,0,0,0,6,0,0,1,9,0,1,0,0,0,1,0,0,0,0,0,1,0,7,1,30,2,154,0,0,17,0,6,1,0,2,8,0,3,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0
986,NA,1,0,1,1,15,11,0,0,14,5,19,0,0,1,0,0,0,0,0,4,1,0,13,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,54,0,168,0,1,10,0,18,0,0,1,12,0,2,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0
990,NA,0,0,0,0,22,10,0,0,18,2,22,0,0,1,0,2,0,0,0,8,1,0,7,0,5,0,3,0,0,9,1,1,0,6,0,4,0,1,1,1,0,0,0,0,0,0,1,1,1,54,4,178,0,0,15,0,22,0,0,1,12,0,1,0,0,2,1,0,0,0,0,7,0,0,0,0,0,0
