"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Comptonia.peregrina","Cornus","Corylus","Cyperaceae","Dalea.purpurea","Dryopteris.type","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Humulus","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.type","Lamiaceae","Larix","Lycopodium.type","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya","Parthenocissus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polygonum","Populus.balsamifera","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urticaceae","Utricularia","Viburnum","Vitis","Xanthium","Zanthoxylum"
830,7575,0,0,0,0,12,4,10,0,9,2,0,52,0,1,1,2,0,0,0,8,8,0,3,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,15,60,10,40,0,1,13,0,0,0,5,1,0,1,63,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0
840,7709,1,0,0,0,13,4,12,1,13,5,0,11,0,1,0,0,0,0,0,7,9,0,4,0,0,0,1,0,0,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,7,1,0,39,30,28,22,0,0,17,0,0,0,0,1,0,5,100,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0
860,7977,0,0,0,0,21,4,14,0,7,0,0,16,0,3,0,1,0,4,0,1,13,0,3,0,0,0,0,0,0,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,51,44,27,23,0,0,19,0,0,0,1,1,0,0,78,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0
870,8267,0,0,0,1,34,13,16,0,23,6,0,12,0,0,0,0,0,0,0,1,13,0,6,0,1,0,3,0,0,0,3,0,0,2,1,1,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,96,13,44,6,0,0,31,0,0,0,0,3,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0
880,8698,0,0,0,0,18,0,8,0,10,6,0,4,0,0,0,0,0,0,0,1,11,0,9,0,0,0,6,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,4,0,1,140,31,41,9,0,3,21,0,0,0,0,3,0,6,10,0,0,0,0,0,1,9,0,1,0,0,0,0,0,2,9,0,0,0,1,0,0,0
890,9128,1,1,0,0,37,7,13,0,13,1,0,16,0,1,0,3,0,0,0,1,7,0,3,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,133,8,47,3,0,0,14,0,0,0,0,1,0,11,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0
900,9559,1,0,0,0,34,11,12,0,7,1,1,27,0,0,0,0,0,0,0,6,9,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,4,122,13,45,5,0,2,16,1,0,0,0,2,0,1,14,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
910,9989,5,1,0,1,27,4,6,0,10,0,0,37,0,0,0,1,0,0,0,2,9,0,5,0,0,0,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,140,12,46,4,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0
920,NA,4,0,0,0,33,4,9,0,9,0,0,24,0,0,0,0,0,0,0,3,11,0,3,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,7,0,2,136,3,49,1,0,1,6,0,0,1,2,0,0,3,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0
930,NA,2,0,0,0,13,8,17,0,4,3,0,65,0,0,0,4,0,0,0,5,9,0,2,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,2,97,8,46,4,0,0,3,0,0,0,3,0,0,1,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0
940,NA,1,0,0,0,45,1,4,0,4,4,0,41,0,0,0,2,0,1,1,2,25,0,1,0,0,0,1,0,2,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,97,6,47,3,0,0,8,0,1,1,4,0,0,4,14,0,0,0,0,0,2,2,0,0,0,0,0,3,0,2,11,0,0,0,0,0,0,0
955,NA,2,0,0,0,44,4,6,0,10,1,0,43,0,0,0,0,0,1,0,1,12,0,1,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,6,0,9,92,2,49,1,0,3,6,0,0,0,2,1,0,19,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,18,0,1,0,0,0,0,0
970,NA,4,1,0,0,28,5,3,0,4,0,0,53,0,0,0,5,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,16,117,0,50,0,0,0,2,0,0,0,1,1,0,7,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0
980,NA,3,0,0,0,44,0,2,0,5,0,0,74,0,0,0,1,0,0,0,3,41,0,4,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,4,0,0,0,2,0,0,5,0,20,55,0,50,0,0,0,3,0,0,0,0,1,0,5,14,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
990,NA,5,1,0,1,41,0,0,0,6,0,0,87,0,0,0,1,0,0,0,4,8,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,6,0,19,54,0,50,0,0,1,8,0,0,0,0,0,0,2,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0
