"sample.depths","sample.ages","upland.sum","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Iva","Lamiaceae","Malvaceae","Plantago","Poaceae","Polygonum"
1089,6598,313,0,0,3,27,0,0,0,1,9,0,0,0,1,0,0,3,0,0,0,1,0,1,77,0,165,0,2,11,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,6,0
1099,6618,359,0,1,5,47,1,0,0,0,2,0,0,0,0,0,1,3,0,0,0,8,0,1,74,0,200,0,0,7,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0
1109,6638,384,0,2,4,22,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,3,65,0,244,0,0,10,4,0,1,0,2,0,0,0,3,0,0,0,0,0,0,11,0
1119,6658,396,2,1,6,35,0,0,0,0,1,0,0,1,0,0,0,6,0,1,0,33,0,2,76,0,206,0,0,8,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,12,0
1129,6678,341,0,0,9,35,0,0,0,0,0,0,0,0,2,0,0,10,0,0,15,6,0,0,53,0,194,0,0,5,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,7,0
1139,6698,338,0,1,4,25,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,8,0,2,59,0,203,0,0,4,0,0,1,0,1,0,0,6,4,0,0,0,0,0,0,11,0
1149,6718,401,0,2,4,48,0,0,0,0,0,0,0,0,1,0,1,6,0,0,1,10,1,1,92,0,210,0,0,6,3,0,1,0,4,0,0,3,1,0,0,0,0,0,0,6,0
1159,6738,327,2,1,6,14,0,0,0,0,6,0,0,0,0,0,1,6,0,0,2,4,0,3,63,0,186,0,1,9,3,0,0,0,5,0,0,2,4,0,0,0,1,1,1,6,0
1169,6758,355,0,2,3,36,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,41,1,1,55,0,192,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,0
1179,6778,346,0,2,5,35,0,0,0,0,2,0,0,0,0,0,0,11,1,0,0,6,1,2,85,0,175,0,0,9,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0
1189,6798,313,1,0,5,39,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,2,0,2,82,0,162,0,0,6,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0
1199,6818,324,2,2,7,35,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,6,0,2,71,0,178,0,0,6,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,3,0
1209,6833,296,0,1,3,38,2,0,0,0,1,0,1,0,0,0,0,9,0,0,0,1,0,3,84,0,127,0,0,19,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0
1219,6848,333,0,1,2,41,0,0,0,0,0,0,0,2,1,0,0,10,0,0,0,1,1,0,64,0,187,0,1,9,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,7,0
1229,6863,317,0,1,1,56,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,11,0,1,110,0,111,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1239,6878,356,1,2,3,38,0,0,0,0,3,0,0,3,0,0,0,12,0,0,0,1,0,2,58,0,202,0,1,7,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,13,0
1249,6893,308,0,0,2,44,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,6,0,1,70,0,152,0,0,7,2,0,1,0,1,0,0,4,2,0,0,0,0,0,0,5,0
1259,6908,402,0,0,10,69,1,0,1,0,0,0,0,4,0,0,0,10,0,0,0,1,0,5,67,0,212,0,0,13,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0
