"sample.depths","sample.ages","Abies","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Ericaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Tsuga","Ulmus","Alnus","Acer","Populus","Poaceae","Plantago","Cyperaceae","Fraxinus","Asteraceae.subf..Asteroideae.undiff.","Aquifoliaceae","Tilia","Larix","Salix","Juglans","Rosaceae","Myrica","Pinus.undiff.","Rumex","Thalictrum","Asteraceae.subf..Cichorioideae","Cupressaceae","Shepherdia","Sarcobatus.vermiculatus"
430,8867,0.151685393258427,0,0.00280898876404494,0.331460674157303,0,0,0,0,0.00280898876404494,0.0140449438202247,0,0.162921348314607,0.219101123595506,0.0561797752808989,0.0224719101123595,0.00842696629213483,0.00280898876404494,0.0112359550561798,0,0,0.00280898876404494,0,0,0.00280898876404494,0.00280898876404494,0,0,0.00561797752808989,0,0,0,0,0,0,0,0,0,0,0
450,9312,0.117647058823529,0.00367647058823529,0,0.371323529411765,0,0,0,0,0.00367647058823529,0.0220588235294118,0.00367647058823529,0.106617647058824,0.268382352941176,0.0441176470588235,0.0183823529411765,0.0110294117647059,0.00367647058823529,0.0147058823529412,0.00367647058823529,0,0,0,0,0,0,0,0,0.00367647058823529,0.00367647058823529,0,0,0,0,0,0,0,0,0,0
470,9756,0.103864734299517,0,0,0.357487922705314,0,0.00241545893719807,0,0,0,0.036231884057971,0.0144927536231884,0.0531400966183575,0.27536231884058,0.0289855072463768,0.0458937198067633,0.00241545893719807,0.0120772946859903,0.0338164251207729,0.00241545893719807,0,0.0072463768115942,0,0.00483091787439614,0.00966183574879227,0,0,0,0.0072463768115942,0,0.00241545893719807,0,0,0,0,0,0,0,0,0
490,10201,0.0469483568075117,0,0,0.502347417840376,0,0,0.00469483568075117,0,0,0.0375586854460094,0.0140845070422535,0.0610328638497653,0.154929577464789,0.0187793427230047,0.028169014084507,0,0.00469483568075117,0.0938967136150235,0.00469483568075117,0,0,0,0.00469483568075117,0,0,0,0,0.00938967136150235,0.00469483568075117,0.00469483568075117,0.00469483568075117,0,0,0,0,0,0,0,0
510,10645,0.0533980582524272,0,0,0.563106796116505,0,0,0,0,0.00485436893203883,0.00485436893203883,0,0.0631067961165049,0.12621359223301,0.0194174757281553,0.0533980582524272,0.00485436893203883,0.00485436893203883,0.0825242718446602,0,0,0,0,0.00485436893203883,0.00485436893203883,0,0,0,0.00485436893203883,0.00485436893203883,0,0,0,0,0,0,0,0,0,0
530,11090,0.062015503875969,0,0,0.27906976744186,0,0.00387596899224806,0.00387596899224806,0,0,0.0271317829457364,0.00775193798449612,0.135658914728682,0.0658914728682171,0.0426356589147287,0.0426356589147287,0,0.00387596899224806,0.263565891472868,0.00775193798449612,0.00387596899224806,0.00775193798449612,0,0.00775193798449612,0.00387596899224806,0.00387596899224806,0,0,0.0116279069767442,0.0116279069767442,0,0.00387596899224806,0,0,0,0,0,0,0,0
550,11833,0.0248756218905473,0,0,0.0348258706467662,0,0,0,0,0,0.0099502487562189,0.0099502487562189,0.716417910447761,0.114427860696517,0.0199004975124378,0.00497512437810945,0,0,0.0298507462686567,0,0,0,0,0.0099502487562189,0,0.00497512437810945,0,0,0,0.0199004975124378,0,0,0,0,0,0,0,0,0,0
570,12576,0,0.0026246719160105,0.036745406824147,0.094488188976378,0,0.015748031496063,0,0.0026246719160105,0,0.0813648293963255,0.005249343832021,0.099737532808399,0.215223097112861,0.005249343832021,0,0.0026246719160105,0,0.020997375328084,0,0,0.0446194225721785,0.005249343832021,0.299212598425197,0,0.015748031496063,0,0,0,0.05249343832021,0,0,0,0,0,0,0,0,0,0
590,13320,0.00442477876106195,0.00442477876106195,0.0132743362831858,0.548672566371681,0,0,0,0,0,0.0132743362831858,0,0.141592920353982,0.123893805309735,0.00442477876106195,0.0088495575221239,0,0,0.0132743362831858,0.00442477876106195,0,0.0132743362831858,0,0.0442477876106195,0,0,0,0,0,0.0619469026548673,0,0,0,0,0,0,0,0,0,0
600,13691,0,0,0.0416666666666667,0.152777777777778,0,0.00347222222222222,0.00347222222222222,0,0.00347222222222222,0.0902777777777778,0.0243055555555556,0.15625,0.09375,0.0208333333333333,0.0104166666666667,0.00347222222222222,0.00694444444444444,0.118055555555556,0,0,0.0902777777777778,0,0.0416666666666667,0,0.00694444444444444,0,0,0,0.0104166666666667,0.00347222222222222,0.00694444444444444,0,0.0902777777777778,0.0138888888888889,0.00694444444444444,0,0,0,0
605,13877,0,0.00323624595469256,0.106796116504854,0.148867313915858,0.00323624595469256,0.00323624595469256,0.00323624595469256,0.00647249190938511,0,0.0550161812297735,0.00647249190938511,0.145631067961165,0.106796116504854,0.0129449838187702,0.00970873786407767,0.00323624595469256,0.00323624595469256,0.0485436893203883,0,0,0.0776699029126214,0,0.0485436893203883,0,0.00970873786407767,0,0,0,0.058252427184466,0,0.0161812297734628,0.00323624595469256,0.0938511326860841,0.0194174757281553,0.00323624595469256,0.00323624595469256,0,0,0
610,14063,0.00714285714285714,0.00714285714285714,0.0571428571428571,0.1,0,0,0,0,0,0.0571428571428571,0.0357142857142857,0.2,0.121428571428571,0.0285714285714286,0,0.00714285714285714,0,0.0285714285714286,0,0,0.0714285714285714,0,0.0357142857142857,0,0.0285714285714286,0,0,0,0.121428571428571,0,0,0,0.0428571428571429,0.0428571428571429,0.00714285714285714,0,0,0,0
615,14249,0.00418410041841004,0.0167364016736402,0.0585774058577406,0.092050209205021,0,0.00418410041841004,0.00418410041841004,0,0,0.092050209205021,0.0167364016736402,0.112970711297071,0.108786610878661,0.0125523012552301,0.0125523012552301,0,0.00418410041841004,0.104602510460251,0,0,0.0753138075313808,0,0.0543933054393305,0.00418410041841004,0.0125523012552301,0,0,0,0.0753138075313808,0,0.0167364016736402,0,0.100418410041841,0.0167364016736402,0,0,0,0,0
620,14434,0,0,0.0507246376811594,0.0507246376811594,0,0.0072463768115942,0,0.0072463768115942,0,0.0797101449275362,0,0.0942028985507246,0.0652173913043478,0.0144927536231884,0.0072463768115942,0,0,0.072463768115942,0,0,0.108695652173913,0,0.101449275362319,0,0.036231884057971,0,0,0,0.13768115942029,0,0.0072463768115942,0.0072463768115942,0.108695652173913,0.0144927536231884,0,0.0072463768115942,0.0144927536231884,0.0072463768115942,0
625,14620,0,0.00714285714285714,0.0857142857142857,0.0571428571428571,0,0,0,0,0,0.128571428571429,0,0.164285714285714,0.0571428571428571,0,0.00714285714285714,0,0.00714285714285714,0.0285714285714286,0.00714285714285714,0,0.0785714285714286,0,0.0357142857142857,0,0.0428571428571429,0,0,0,0.178571428571429,0,0.00714285714285714,0,0.1,0,0,0,0,0,0.00714285714285714
