"sample.depths","sample.ages","Abies.balsamea","Acer.cf..A..pensylvanicum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","cf..Taxus","Cornus.canadensis","Corylus.cornuta","Cyperaceae","Cystopteris","Dryopteris","Dryopteris.type.undiff.","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus.undiff.","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae","Poaceae","Polygonum.lapathifolium.type","Polygonum.viviparum","Polypodiaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhamnus.cathartica","Rhamnus.Vitis.undiff.","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifragaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.nudum","Woodsia.type"
750,7859,5,0,2,2,0,9,0,13,3,4,2,0,1,0,0,0,212,0,0,1,2,0,0,2,0,0,0,3,3,0,0,1,0,0,0,4,7,4,0,0,0,0,14,0,1,4,0,6,3,2,0,2,11,0,0,1,0,0,0,8,1,2,3,12,0,219,133,0,6,0,0,0,0,1,2,0,0,0,58,0,1,0,0,1,0,0,0,2,0,0,0,1,8,2,0,2,66,0,0,0,0,11,2,11,8,1,0,0
775,8316,0,0,0,0,0,20,1,4,0,0,1,0,0,0,0,0,145,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,4,15,4,0,0,0,0,3,1,3,0,0,0,0,6,0,0,0,0,0,2,0,0,0,3,0,4,3,62,0,103,52,0,5,0,0,0,2,2,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,12,0,5,0,0,0,0
800,8772,5,0,0,2,0,5,2,11,13,0,1,0,0,1,0,0,186,0,0,0,0,1,0,0,0,0,0,4,2,0,0,1,1,0,0,2,8,0,1,0,0,0,6,1,4,5,0,2,2,0,0,0,1,0,0,1,0,0,0,8,0,13,3,61,0,190,68,0,2,0,0,0,0,10,2,0,0,2,47,0,0,0,0,2,1,0,0,1,0,0,0,0,3,7,0,3,12,0,0,0,2,22,0,6,6,0,0,0
815,9046,18,0,0,0,0,1,0,9,55,2,2,0,2,1,0,0,209,0,0,0,1,0,0,1,0,0,0,11,6,0,0,0,0,0,1,3,5,7,0,0,0,0,4,0,6,1,0,6,1,0,0,1,19,0,0,1,0,0,0,7,0,6,2,70,0,148,99,0,4,0,0,0,3,17,0,0,0,0,22,0,0,0,0,0,0,0,0,4,0,0,0,1,0,10,0,0,1,0,0,0,0,10,0,2,2,0,0,0
825,9229,13,0,0,0,0,6,3,0,48,1,4,0,0,1,0,0,218,0,0,0,0,0,0,3,0,0,0,8,2,0,0,0,0,0,0,0,3,4,0,0,0,0,10,1,3,1,0,17,3,1,0,0,28,0,0,1,0,0,0,11,0,11,0,160,0,67,67,0,4,0,0,0,0,17,0,0,0,0,40,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,4,0,0,0,0,5,0,4,3,0,0,0
835,9566,0,0,0,0,0,3,4,46,4,1,4,0,0,3,0,0,361,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,7,2,0,0,0,0,8,1,0,0,0,3,7,1,0,0,2,0,0,0,0,0,0,1,0,3,11,51,0,81,160,0,2,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,2,0,0,1,8,0,1,7,0,0,0
850,10302,15,0,0,1,0,2,0,1,64,3,2,0,4,0,0,0,279,0,0,0,0,1,0,1,1,0,0,2,7,0,0,2,1,0,0,0,5,1,0,0,0,0,8,0,10,2,0,11,4,1,0,1,31,0,0,0,0,0,0,4,0,8,6,210,0,22,63,0,5,0,0,0,1,25,1,0,0,0,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,4,1,0,0,0
860,10792,0,0,0,0,0,1,1,81,14,0,0,0,4,9,0,0,510,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,4,12,1,1,0,0,3,11,0,3,1,0,13,7,5,0,1,30,0,0,0,0,0,0,11,0,9,57,31,0,82,58,0,10,0,0,0,3,24,0,0,0,0,28,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,1,0,0,7,1,1,2,0,0,0
875,11528,2,0,0,1,0,1,0,1,4,1,1,0,3,3,0,2,193,0,0,0,0,0,0,0,0,0,0,1,11,0,0,2,0,0,0,11,18,2,2,0,0,0,17,1,11,3,0,7,3,4,0,0,25,3,0,0,0,0,0,1,0,25,1,33,0,48,6,0,6,0,0,0,0,38,3,0,0,0,52,0,0,0,0,1,0,0,0,12,0,1,0,0,0,0,0,2,1,0,0,0,0,15,0,6,3,0,0,0
885,12019,0,0,0,0,0,5,0,4,14,1,0,0,19,11,0,0,334,3,0,0,2,0,0,0,2,0,0,11,63,0,0,0,0,0,0,1,46,0,0,0,0,0,141,4,34,17,0,0,16,2,0,1,10,0,0,0,0,0,0,11,0,8,7,17,0,37,25,0,2,0,0,10,47,290,4,0,0,0,61,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,1,0,1,28,0,2,5,0,0,0
