"sample.depths","sample.ages","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Iva","Lamiaceae","Malvaceae","Plantago","Poaceae","Polygonum","Diphasiastrum.complanatum","Huperzia.lucidula","Myriophyllum","Nuphar","Sagittaria","Typha","Utricularia","Spore..monolete.","Spore..trilete.","Indeterminable..crumpled.","Unknown..tetracolporate.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..triporate."
1299,6969,1,0,2,50,0,0,0,0,2,0,2,0,2,0,0,8,0,0,0,5,0,3,68,0,185,0,0,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,2,29,0,1,0,0
1309,6984,0,1,3,50,1,0,0,0,0,0,0,0,0,1,0,16,0,0,1,7,0,1,63,0,185,0,0,5,1,0,1,0,2,0,0,2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,20,0,0,0,0
1319,6999,0,2,3,44,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,3,0,3,83,0,152,0,1,12,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,0,1,0,0
1329,7014,0,0,3,60,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,3,64,0,166,0,0,13,1,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,0,2,0,0
1339,7029,0,2,1,65,0,0,0,1,4,0,0,16,0,0,1,6,2,0,0,0,0,1,64,0,163,0,2,16,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0
1349,7044,0,0,1,53,0,0,0,0,0,0,0,3,0,0,0,10,0,1,0,8,0,4,107,0,193,0,0,15,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,1,5,0,0,1,0
1359,7060,1,0,7,23,0,0,0,0,1,0,0,0,3,0,0,6,0,0,1,6,0,2,50,0,215,0,1,5,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,4,23,0,0,0,0
1369,7075,0,1,5,39,1,0,0,0,2,0,0,1,0,1,1,10,0,0,0,0,0,2,69,0,164,0,0,11,5,0,1,1,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,3,12,0,0,2,0
1379,7090,0,1,3,32,0,0,0,1,2,0,0,13,0,0,0,5,0,0,0,0,0,4,49,0,178,0,0,7,2,0,0,0,2,0,0,2,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,11,0,0,0,0
1389,7105,0,0,0,62,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,4,0,8,77,0,190,0,0,82,4,0,2,0,3,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,2,4,26,0,0,0,0
1399,7120,0,1,3,42,0,0,0,0,1,0,0,12,0,0,1,10,0,0,0,1,0,3,59,0,160,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,18,0,1,1,0
1409,7135,2,1,4,22,0,0,0,0,1,0,1,2,0,1,1,2,1,0,0,4,1,0,63,0,208,0,0,6,1,0,1,0,0,0,0,1,8,0,0,0,0,0,0,6,0,0,0,0,0,1,2,0,6,4,26,0,0,0,2
1419,7150,2,4,4,31,0,0,0,0,2,0,0,28,2,1,1,5,0,0,0,2,0,1,56,0,199,0,0,1,2,0,0,0,0,0,0,3,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,9,28,0,1,0,0
1429,7166,0,3,6,28,0,0,0,0,2,0,0,1,0,0,0,3,0,0,1,1,0,2,42,0,198,0,0,2,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,2,3,42,0,1,1,1
1439,7181,1,2,3,17,0,0,0,0,2,0,0,37,2,1,1,10,1,0,0,1,2,0,45,0,180,0,0,4,4,0,0,0,2,0,0,0,3,2,0,0,0,0,0,9,0,0,0,0,0,0,1,0,3,4,18,0,0,0,0
1449,7183,0,4,4,23,0,0,0,0,3,0,0,0,5,0,0,6,0,0,0,5,1,1,37,0,204,0,0,8,2,0,0,0,3,0,0,4,7,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,3,1,27,0,2,1,2
1459,7185,2,3,3,24,7,0,0,0,7,0,0,41,3,0,1,3,1,0,0,1,1,1,52,0,220,0,0,2,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,4,4,16,0,1,1,0
1469,7187,1,2,3,18,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,1,49,0,205,0,0,3,3,0,0,0,1,0,0,5,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,4,5,26,0,0,0,1
1479,7189,1,5,4,18,0,0,0,0,6,0,0,13,2,0,0,0,1,0,0,2,1,1,56,0,195,0,0,8,1,0,1,0,3,0,0,1,10,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,1,5,19,0,1,0,0
1489,7192,0,2,3,15,0,0,0,1,0,0,0,0,1,0,1,5,0,0,0,2,1,2,56,0,207,0,0,13,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,5,6,17,0,0,1,1
1499,7194,0,2,4,44,0,0,0,1,0,0,0,19,0,0,0,8,0,0,0,0,1,1,77,0,207,0,0,11,4,0,3,0,1,0,0,4,6,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,5,3,23,0,2,0,0
1509,7196,0,0,2,56,0,0,0,1,4,0,0,0,0,0,0,15,0,0,0,2,1,2,66,0,150,0,0,10,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
1519,7198,0,2,2,32,0,0,0,0,1,0,0,28,1,0,0,6,0,0,0,0,1,2,53,0,195,0,0,6,6,0,0,0,1,0,0,10,3,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,3,12,0,0,0,0
1529,7200,1,1,2,16,0,0,0,0,2,0,0,0,1,0,1,5,0,0,0,3,1,1,48,0,208,0,0,2,1,0,0,0,3,0,0,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,15,0,2,0,1
1539,7202,0,1,3,48,0,0,0,1,1,0,0,18,0,0,0,6,0,0,0,4,0,2,52,0,158,0,0,4,3,0,1,0,1,0,0,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0
1549,7205,0,4,3,28,1,0,0,0,0,0,0,0,2,1,0,3,0,0,0,5,0,1,54,0,204,1,0,4,1,0,1,0,1,0,0,1,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,13,0,4,2,1
1559,7207,0,2,3,41,0,0,1,1,0,0,0,13,0,0,1,8,0,0,0,2,0,2,48,0,164,0,1,7,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,1,5,4,10,0,1,0,0
1569,7209,0,0,1,34,0,0,0,0,2,0,0,0,1,0,0,74,1,0,0,7,0,3,52,0,195,0,0,4,1,0,3,0,1,0,0,3,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2,13,0,1,0,0
1579,7211,0,1,7,51,0,0,0,0,0,0,0,9,1,0,1,9,1,0,0,1,0,1,61,0,217,0,0,5,4,0,0,0,1,1,0,1,2,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,10,0,1,2,0
1589,7213,0,2,5,32,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,2,1,0,48,0,215,0,0,5,3,0,0,0,2,0,0,3,2,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,2,2,25,0,0,1,3
1599,7215,1,1,2,43,0,0,1,2,2,0,0,23,0,0,0,5,0,0,0,2,0,13,84,0,139,0,0,13,2,0,1,0,1,0,0,3,5,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,3,13,0,0,2,0
1609,7231,0,0,3,45,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,4,1,4,43,0,232,0,0,10,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0
1619,7266,0,0,1,46,0,0,1,0,2,0,0,3,0,0,0,6,0,0,0,0,0,1,79,0,169,0,0,14,2,0,1,0,1,0,0,5,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,17,0,0,1,0
1629,7302,0,0,2,43,0,0,0,1,0,0,0,2,0,0,0,8,0,0,0,11,0,1,58,0,187,1,0,11,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,6,0,1,0,0
1639,7337,1,0,8,75,0,0,0,0,1,0,1,10,0,0,0,9,0,0,0,4,0,5,78,0,139,0,0,16,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,1,0,2,9,19,0,1,0,0
1649,7373,0,0,6,58,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,9,0,1,57,0,171,0,0,8,3,0,0,0,2,0,0,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,2,4,8,0,0,2,2
1659,7408,0,2,1,52,0,0,0,0,0,0,0,17,0,0,0,12,0,0,2,2,1,3,58,0,181,0,0,11,5,0,3,0,2,0,0,1,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,5,8,0,0,0,0
1669,7443,0,0,6,43,0,0,0,0,0,0,1,3,0,0,1,7,0,0,0,7,0,1,48,0,176,0,1,7,4,0,0,0,1,0,1,2,2,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,2,0,5,0,1,0,0
1679,7479,1,1,9,33,1,0,0,0,0,0,0,21,1,0,0,13,1,0,0,10,0,0,58,0,228,0,0,9,5,0,2,0,0,0,0,2,2,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,1,5,0,0,3,1
1689,7514,0,1,2,47,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,8,1,2,57,0,191,0,0,6,4,0,0,0,3,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,15,0,0,0,1
1699,7692,0,4,5,41,0,0,1,1,1,0,0,13,1,0,2,8,2,0,0,3,0,1,72,0,162,0,0,9,3,0,0,0,2,0,0,2,2,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,4,4,16,0,1,1,0
1709,7895,0,1,5,32,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,8,1,3,48,0,199,0,0,10,3,0,0,0,2,0,0,3,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1
