"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Ericaceae","Thalictrum","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Acer.rubrum","Acer.spicatum","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Larix","Acer.pensylvanicum","Acer.saccharinum","Corylus.cornuta","Elaeagnus.commutata","Rosaceae","Juniperus.communis.Thuja.occidentalis.type","Taxus","Amaranthaceae","Caryophyllaceae","Onagraceae","Myrica.gale","Shepherdia.canadensis","Viburnum","cf..Diapensia.lapponica","Fabaceae","Ranunculaceae.undiff."
500,5569,0,0.0144230769230769,0.00120192307692308,0.00360576923076923,0.253605769230769,0,0.111778846153846,0.0444711538461538,0.00961538461538462,0,0,0.00480769230769231,0.0793269230769231,0,0.00360576923076923,0.0456730769230769,0,0.00721153846153846,0.0492788461538462,0.00240384615384615,0.00480769230769231,0,0.0324519230769231,0.00961538461538462,0.0540865384615385,0.0180288461538462,0.243990384615385,0.00120192307692308,0,0,0.00120192307692308,0,0,0,0,0,0,0,0.00240384615384615,0.00120192307692308,0,0,0,0,0,0,0,0,0,0,0,0,0
525,5883,0.0048780487804878,0.0121951219512195,0.0024390243902439,0,0.202439024390244,0.0048780487804878,0.0951219512195122,0.0536585365853659,0.0292682926829268,0,0.0024390243902439,0.0048780487804878,0.0219512195121951,0,0.0048780487804878,0.048780487804878,0,0.0121951219512195,0.0414634146341463,0.0048780487804878,0.0024390243902439,0,0.0195121951219512,0.0121951219512195,0.0463414634146341,0.0219512195121951,0.346341463414634,0.0024390243902439,0,0,0.0024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,6033,0.0145161290322581,0.0032258064516129,0.00161290322580645,0.00161290322580645,0.206451612903226,0.00161290322580645,0.156451612903226,0.0193548387096774,0.0241935483870968,0,0.00161290322580645,0.0032258064516129,0.0548387096774194,0,0.00161290322580645,0.0419354838709677,0,0.00806451612903226,0.0435483870967742,0.0032258064516129,0,0.00161290322580645,0.0145161290322581,0.00483870967741936,0.0306451612903226,0.0790322580645161,0.248387096774194,0.0032258064516129,0,0,0.0209677419354839,0,0,0,0,0.0032258064516129,0,0.0032258064516129,0,0.00161290322580645,0,0,0.00161290322580645,0,0,0,0,0,0,0,0,0,0
550,6196,0,0.0132013201320132,0,0,0.20957095709571,0,0.0495049504950495,0.0495049504950495,0.0099009900990099,0,0,0.00495049504950495,0.0346534653465347,0.0033003300330033,0.00495049504950495,0.0561056105610561,0,0.0148514851485149,0.16006600660066,0.00165016501650165,0.00165016501650165,0,0.0280528052805281,0.00165016501650165,0.0561056105610561,0.0297029702970297,0.262376237623762,0.00165016501650165,0,0,0,0,0,0,0,0.00165016501650165,0.00165016501650165,0,0.00165016501650165,0.00165016501650165,0,0,0,0,0,0,0,0,0,0,0,0,0
562,6347,0.0140625,0.0078125,0.0015625,0.0015625,0.2203125,0,0.134375,0.040625,0.0078125,0.0015625,0.0015625,0.0015625,0.0453125,0,0.0015625,0.059375,0,0.0046875,0.065625,0.0015625,0.003125,0,0.0203125,0.0015625,0.0359375,0.0734375,0.2171875,0.0015625,0.0015625,0,0.0203125,0,0,0,0,0.0015625,0.0015625,0.00625,0,0,0,0.0015625,0,0.0015625,0.0015625,0,0,0,0,0,0,0,0
575,6510,0,0.0355450236966825,0.0023696682464455,0.0023696682464455,0.151658767772512,0.0023696682464455,0.149289099526066,0.0663507109004739,0.0213270142180095,0.0023696682464455,0,0.004739336492891,0.0521327014218009,0,0,0.125592417061611,0.004739336492891,0.009478672985782,0.0639810426540284,0,0,0,0.042654028436019,0.004739336492891,0.0521327014218009,0.023696682464455,0.177725118483412,0.0023696682464455,0,0,0.0023696682464455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,6660,0.0284090909090909,0.00568181818181818,0.00189393939393939,0.00189393939393939,0.195075757575758,0.00378787878787879,0.0871212121212121,0.0378787878787879,0.0303030303030303,0,0.00189393939393939,0,0.0643939393939394,0,0,0.130681818181818,0,0.00757575757575758,0.0643939393939394,0.00568181818181818,0,0.00189393939393939,0.0227272727272727,0.00189393939393939,0.0284090909090909,0.0435606060606061,0.193181818181818,0.00189393939393939,0,0,0.0265151515151515,0,0,0,0,0.00189393939393939,0,0.00757575757575758,0,0,0,0.00189393939393939,0,0,0.00189393939393939,0,0,0,0,0,0,0,0
600,6823,0.00120918984280532,0.0459492140266022,0.00241837968561064,0,0.18863361547763,0.00120918984280532,0.0483675937122128,0.0519951632406288,0.0133010882708585,0.00483675937122128,0,0,0.0507859733978235,0,0.00241837968561064,0.145102781136638,0.00241837968561064,0.00725513905683192,0.0544135429262394,0.00120918984280532,0.00725513905683192,0,0.0133010882708585,0,0.0967351874244256,0.033857315598549,0.210399032648126,0.00120918984280532,0,0.00120918984280532,0.00241837968561064,0,0,0.00120918984280532,0.00241837968561064,0,0,0.00241837968561064,0.00120918984280532,0,0,0,0,0,0,0.00241837968561064,0.00120918984280532,0.00120918984280532,0,0,0,0,0
625,7137,0,0.0145454545454545,0,0,0.185454545454545,0.00181818181818182,0.0254545454545455,0.0436363636363636,0.00363636363636364,0,0,0.00181818181818182,0.0290909090909091,0,0,0.08,0.00363636363636364,0.00909090909090909,0.0527272727272727,0,0,0.00181818181818182,0.0418181818181818,0,0.0490909090909091,0.06,0.394545454545455,0.00181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,7450,0.0017825311942959,0.0196078431372549,0,0,0.206773618538324,0.0017825311942959,0.0106951871657754,0.0374331550802139,0.0017825311942959,0,0,0.0035650623885918,0.0463458110516934,0,0.0017825311942959,0.110516934046346,0.0035650623885918,0.0053475935828877,0.0606060606060606,0,0,0,0.0267379679144385,0.0017825311942959,0.137254901960784,0.0552584670231729,0.254901960784314,0.0035650623885918,0,0,0,0,0,0.0017825311942959,0,0,0,0,0.0017825311942959,0.0017825311942959,0,0,0.0017825311942959,0,0.0017825311942959,0,0,0,0,0,0,0,0
675,7763,0.00172413793103448,0.0189655172413793,0,0,0.182758620689655,0.00172413793103448,0.0224137931034483,0.046551724137931,0.00172413793103448,0,0,0.00172413793103448,0.0706896551724138,0,0,0.151724137931034,0.00172413793103448,0.0103448275862069,0.0568965517241379,0.00172413793103448,0,0,0.0258620689655172,0.00172413793103448,0.193103448275862,0.0724137931034483,0.124137931034483,0.00517241379310345,0,0,0.00172413793103448,0,0,0,0,0.00172413793103448,0.00172413793103448,0,0,0,0,0,0,0,0.00172413793103448,0,0,0,0,0,0,0,0
700,8231,0.00223048327137546,0.0200743494423792,0,0.00297397769516729,0.0847583643122677,0.000743494423791822,0.00892193308550186,0.0215613382899628,0,0.000743494423791822,0.000743494423791822,0.00446096654275093,0.0840148698884758,0.00148698884758364,0.00817843866171004,0.148698884758364,0.00223048327137546,0.00371747211895911,0.0327137546468401,0.000743494423791822,0.00371747211895911,0,0.00743494423791822,0,0.297397769516729,0.196282527881041,0.0550185873605948,0.00148698884758364,0,0,0.00223048327137546,0,0,0.00297397769516729,0,0,0,0.00371747211895911,0,0.000743494423791822,0,0,0,0,0,0,0,0,0,0,0,0,0
725,9315,0,0.03125,0,0,0.11875,0,0.00625,0.0229166666666667,0.00208333333333333,0,0,0.00625,0.0854166666666667,0,0,0.16875,0,0,0.0541666666666667,0,0.00416666666666667,0,0.0270833333333333,0,0.275,0.147916666666667,0.0395833333333333,0.00625,0,0,0,0,0,0,0,0,0.00208333333333333,0,0,0,0,0,0,0,0,0,0,0.00208333333333333,0,0,0,0,0
