"sample.depths","sample.ages","Artemisia","Betula","Carya","Corylus","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Ostrya.Carpinus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Poaceae","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Cupressaceae","Fraxinus.pennsylvanica.type","Tilia","Acer.saccharum","Amorpha.canescens","Acer.rubrum","Vitis","Iva.annua","Brassicaceae","Larix","Picea","Dalea.purpurea","Iva.xanthifolia","Acer.saccharinum","Lycopus.type","Morus","Populus.balsamifera.type","Potentilla.type","Rumex","Urtica.type","cf..Ceanothus","Apiaceae","Ranunculaceae.undiff.","Thalictrum","cf..Lysimachia.thyrsiflora","Juglans.nigra","Celtis","Humulus.Cannabis.sativa","Plantago","Ericaceae","Abies","Ephedra","Euphorbia","Xanthium","Tidestromia","Hydrophyllum"
940,7686,0.0394088669950739,0.0541871921182266,0,0.0197044334975369,0.0147783251231527,0.00985221674876847,0,0.0443349753694581,0.364532019704433,0,0,0.177339901477833,0.00492610837438424,0,0.0295566502463054,0.0394088669950739,0.0689655172413793,0,0.0689655172413793,0.00985221674876847,0.0197044334975369,0.0295566502463054,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
942,7733,0.0444444444444444,0.0481481481481481,0,0.00740740740740741,0.0111111111111111,0.0148148148148148,0,0.0296296296296296,0.374074074074074,0,0.0185185185185185,0.148148148148148,0.00740740740740741,0.0185185185185185,0.0333333333333333,0.0185185185185185,0.0481481481481481,0,0.0703703703703704,0.00740740740740741,0.0222222222222222,0.0407407407407407,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0,0,0.0037037037037037,0.0111111111111111,0,0.0037037037037037,0,0,0.0037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,7804,0.047244094488189,0.031496062992126,0,0.015748031496063,0.0218722659667542,0.00699912510936133,0,0.0174978127734033,0.383202099737533,0,0.0463692038495188,0.114610673665792,0.00874890638670166,0.0201224846894138,0.0332458442694663,0.0349956255468067,0.047244094488189,0.000874890638670166,0.057742782152231,0.0236220472440945,0.0148731408573928,0.0559930008748906,0.0026246719160105,0.000874890638670166,0,0.0026246719160105,0.00174978127734033,0,0,0.0026246719160105,0,0,0.0026246719160105,0.000874890638670166,0,0,0,0,0,0,0,0.000874890638670166,0,0.00174978127734033,0,0,0,0,0.000874890638670166,0,0,0,0,0,0,0,0,0
947,7852,0.0594795539033457,0.0371747211895911,0,0.0111524163568773,0.0111524163568773,0.0185873605947955,0.00371747211895911,0.0148698884758364,0.41635687732342,0,0.0148698884758364,0.100371747211896,0.0111524163568773,0.0111524163568773,0.0260223048327138,0.033457249070632,0.0371747211895911,0,0.0594795539033457,0.0148698884758364,0.0371747211895911,0.0594795539033457,0,0,0,0,0,0,0.00371747211895911,0,0.00371747211895911,0,0.00371747211895911,0,0,0,0,0,0,0,0,0,0,0,0,0.00371747211895911,0,0,0,0,0,0,0.00371747211895911,0.00371747211895911,0,0,0,0
950,7923,0.0877862595419847,0.0458015267175573,0,0.0152671755725191,0.0190839694656489,0.00381679389312977,0,0.0229007633587786,0.438931297709924,0,0,0.0954198473282443,0.00763358778625954,0.00763358778625954,0.0114503816793893,0.049618320610687,0.0534351145038168,0,0.0534351145038168,0.0152671755725191,0.0229007633587786,0.0343511450381679,0.00381679389312977,0,0,0.00381679389312977,0,0,0,0,0.00381679389312977,0,0,0,0,0.00381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,8065,0.0949367088607595,0.0348101265822785,0.00632911392405063,0.00316455696202532,0.0221518987341772,0.0158227848101266,0,0.0126582278481013,0.363924050632911,0,0.0316455696202532,0.0664556962025316,0.00316455696202532,0.0158227848101266,0.0221518987341772,0.0506329113924051,0.060126582278481,0,0.0569620253164557,0.0221518987341772,0.0284810126582278,0.0727848101265823,0,0,0,0.00632911392405063,0,0,0,0.00632911392405063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316455696202532,0,0,0,0,0,0,0,0
960,8160,0.0695652173913043,0.0260869565217391,0.00289855072463768,0,0.0115942028985507,0.00579710144927536,0,0.0260869565217391,0.344927536231884,0.00289855072463768,0.0202898550724638,0.0898550724637681,0.0144927536231884,0.00869565217391304,0.0144927536231884,0.0318840579710145,0.081159420289855,0,0.0753623188405797,0.00579710144927536,0.0463768115942029,0.107246376811594,0,0,0,0,0,0,0,0.00289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289855072463768,0.00289855072463768,0,0,0.00289855072463768,0,0,0,0,0.00289855072463768,0,0,0
966,8302,0.0940766550522648,0.024390243902439,0,0,0.0278745644599303,0.0104529616724739,0.00348432055749129,0.024390243902439,0.344947735191638,0,0.0348432055749129,0.0696864111498258,0.0174216027874564,0.0209059233449477,0.0278745644599303,0.0313588850174216,0.0557491289198606,0,0.0801393728222996,0,0.024390243902439,0.0871080139372822,0,0,0,0.00696864111498258,0,0,0,0,0,0,0,0,0,0,0,0.00348432055749129,0,0,0,0,0,0,0,0,0.00348432055749129,0,0,0,0,0,0,0,0.00348432055749129,0.00348432055749129,0,0
970,8396,0.12043795620438,0.0218978102189781,0.0072992700729927,0,0.0510948905109489,0.0218978102189781,0,0.00364963503649635,0.405109489051095,0,0.0437956204379562,0.0291970802919708,0.0182481751824818,0.0182481751824818,0.0182481751824818,0.0255474452554745,0.0401459854014599,0.00364963503649635,0.0693430656934307,0,0.0328467153284672,0.0510948905109489,0,0.00364963503649635,0,0,0,0,0,0.00364963503649635,0,0,0.00364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,0.00364963503649635,0,0,0,0,0,0,0,0,0,0,0.00364963503649635,0
976,8539,0.126436781609195,0.0191570881226054,0,0,0.0153256704980843,0.0153256704980843,0,0.0114942528735632,0.421455938697318,0,0.0153256704980843,0.0306513409961686,0.00766283524904215,0.0153256704980843,0.0191570881226054,0.0191570881226054,0.0459770114942529,0.00383141762452107,0.053639846743295,0.00383141762452107,0.0344827586206897,0.134099616858238,0.00383141762452107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383141762452107,0,0,0,0,0
980,8633,0.0598802395209581,0.0568862275449102,0,0,0.0149700598802395,0.0179640718562874,0,0.0209580838323353,0.461077844311377,0,0.0179640718562874,0.0239520958083832,0.0119760479041916,0.00598802395209581,0.0239520958083832,0.0718562874251497,0.0329341317365269,0.00898203592814371,0.0508982035928144,0.00598802395209581,0.00598802395209581,0.0898203592814371,0,0,0,0,0.0029940119760479,0,0,0.0029940119760479,0,0.0029940119760479,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0.0029940119760479
986,NA,0.0371352785145889,0.0503978779840849,0,0.0026525198938992,0.0344827586206897,0.00795755968169761,0,0.0106100795755968,0.445623342175066,0.0026525198938992,0.0477453580901857,0.0318302387267905,0.00795755968169761,0.013262599469496,0.039787798408488,0.039787798408488,0.0291777188328912,0.00530503978779841,0.026525198938992,0,0.0106100795755968,0.143236074270557,0,0,0,0.0026525198938992,0,0,0,0,0,0.0026525198938992,0.0026525198938992,0,0,0.0026525198938992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026525198938992,0,0,0,0,0
990,NA,0.0442260442260442,0.0540540540540541,0.00491400491400491,0.00245700245700246,0.0171990171990172,0.0221130221130221,0.00245700245700246,0.00245700245700246,0.437346437346437,0,0.0540540540540541,0.0294840294840295,0.00491400491400491,0.00491400491400491,0.0171990171990172,0.0540540540540541,0.0245700245700246,0.00245700245700246,0.0368550368550369,0.00982800982800983,0.0196560196560197,0.132678132678133,0,0.00245700245700246,0,0,0,0,0,0.00982800982800983,0,0.00245700245700246,0.00245700245700246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245700245700246,0,0.00245700245700246,0,0,0,0,0,0,0,0
