"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Betula","Carya","Castanea","Cyperaceae","Fagus","Herbs.undiff.","Juglans.nigra","Nyssa","Quercus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Pinus","Poaceae","Plantago","Polygonum","Rubiaceae","Fraxinus.nigra.type","Ostrya.Carpinus","Picea","Acer.saccharum.type","Myrica","Artemisia","Liquidambar","Iva.annua.type","Populus","Platanus","Corylus","Juglans.cinerea","Rhamnaceae","Abies","Cupressaceae","Salix","Caprifoliaceae","Ilex","Thalictrum","Ranunculus","Potentilla.type","Anacardiaceae","Lamiaceae","Sanguisorba","Cornus","Rumex","Brassicaceae","Larix","Shepherdia","Polygonaceae.undiff.","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Shrubs.undiff.","Onagraceae","Ericaceae","Campanulaceae","Amaranthaceae"
540,17110,297,0,0,4,0,0,15,0,0,0,0,5,0,0,4,0,1,2,50,15,0,0,0,0,1,189,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
560,17255,299,0,0,5,0,0,22,0,0,0,0,3,0,0,4,0,0,3,46,27,0,0,0,1,0,168,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,2,1,0,0,0,0
580,17400,299,0,0,4,0,0,20,0,0,0,0,3,0,0,2,1,0,4,75,21,0,0,0,0,2,146,0,0,5,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0
600,17545,297,0,2,5,0,0,18,0,0,0,0,8,0,0,1,0,2,3,60,20,0,0,0,0,0,160,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0
620,17690,299,0,0,4,1,0,30,0,0,0,0,4,0,0,5,0,0,6,59,14,0,0,0,1,1,163,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0
640,17834,299,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,4,68,16,0,0,0,0,0,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
660,17979,298,0,0,5,1,0,10,0,0,0,0,3,0,0,2,0,0,0,57,4,0,0,0,0,0,204,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
680,18124,296,0,1,8,0,0,18,0,0,0,0,8,0,0,8,0,0,2,61,11,0,0,0,0,0,168,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,1,0
700,18269,297,0,0,8,0,0,17,0,0,0,0,7,0,0,4,0,0,5,53,13,0,0,0,0,0,177,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
710,18341,301,0,0,7,0,1,16,1,0,0,0,7,0,0,4,0,0,1,77,7,0,0,0,0,2,164,0,0,3,0,0,0,0,0,1,0,0,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
720,NA,298,0,0,28,0,0,31,0,0,0,0,0,0,0,8,0,0,0,115,13,0,0,0,0,0,90,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
740,NA,298,0,0,99,0,0,33,0,0,0,0,1,0,0,2,0,0,2,84,12,0,0,0,1,0,46,0,0,4,0,0,0,0,0,0,0,5,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
760,NA,300,0,2,15,1,0,13,0,0,0,0,3,0,0,3,0,0,0,141,10,0,0,0,0,1,100,0,0,2,0,0,1,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
780,NA,299,0,0,25,0,0,12,0,0,0,0,3,0,0,0,0,0,0,80,8,0,0,0,0,0,159,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
800,NA,298,0,1,4,0,0,16,0,0,0,0,0,0,0,0,0,0,2,161,4,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
