"sample.depths","sample.ages","Abies","Acer.negundo.type","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanula","Carya","Castanea","Celtis","Chenopodium.type","Cornus","Corylus","Cyperaceae","Dalea","Diphasiastrum.complanatum.type","Dracocephalum.type","Dryopteris.type","Ephedra.trifurca.type","Equisetum","Ericaceae","Euphorbia.subg..Chamaesyce","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Humulus.Cannabis.sativa","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea.type","Juglans.nigra.type","Juniperus.Thuja","Laportea.type","Larix","Lemna","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopus.type","Medicago","Melilotus.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Phlox","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.convolvulus","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae.type","Potentilla.type","Pteridium","Quercus","Ranunculus.type","Rhamnus","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Stachys.type","Thalictrum","Thelypteris.palustris.type","Tidestromia.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Vicia.type","Vitis","Xanthium","Zanthoxylum"
1625,7950,0,0,0,0,1,2,36,1,0,7,2,0,2,1,0,0,1,0,0,9,0,4,18,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,3,0,10.5,0,0,66,0,0,0,1,8,0,0,0,71,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,1,0
1645,8248,0,0,0,0,0,8,69,0,0,24,4,0,2,0,0,0,6,0,1,11,0,3,12,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,4,0,10.5,0,0,59,0,0,0,2,14,0,0,0,113,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,9,0,3,14,0,1,0,0,1,0,0
1670,8628,0,0,0,0,3,6,33,2,0,56,12,0,10,0,0,0,2,0,0,24,0,8,29,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,2,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,42,0,1.5,11,3,19.5,0,2,63,0,0,0,3,0,1,0,0,110,0,0,0,0,0,1,10,1,1,0,4,0,0,0,0,2,4,0,12,29,4,0,2,0,2,1,0
1690,8938,0,0,1,0,1,7,18,1,0,20,8,0,9,0,0,0,10,0,1,19,0,4,38,0,0,0,1,0,1,0,0,0,0,10,0,0,1,0,12,0,0,0,3,0,2,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,33,0,1,0,0,29,0,0,43,0,1,0,16,0,8,0,1,133,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,2,0,6,43,2,0,2,0,1,2,0
1710,9245,0,0,0,0,2,12,19,0,0,15,6,0,1,0,0,0,5,0,0,7,0,6,10,1,0,0,4,0,0,0,0,0,1,3,2,0,0,0,3,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,30,0,0,5,1,19.5,0,1,28,0,0,0,4,0,4,0,0,130,0,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,2,0,3,34,1,0,1,0,2,0,0
1730,9542,0,1,0,0,2,11,31,0,0,31,7,0,6,0,0,0,5,0,1,10,0,1,10,0,0,0,6,0,0,0,0,0,1,12,0,0,3,0,5,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,34,0,1.5,8,0,45,0,0,77,0,0,0,1,3,0,0,2,60,0,0,0,2,1,0,14,0,0,0,0,0,0,0,0,0,3,0,5,43,0,3,0,0,0,0,0
1770,10070,0.5,0,0,0,0,6,6,0,1,9,1,0,55,0,0,0,4,0,1,3,0,8,2,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,15,2,35.5,0,1,7,0,0,0,1,0,0,0,8,99,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,1,63,0,0,0,0,0,0,0
1790,10291,3,0,0,0,2,10,4,0,0,6,0,0,227,0,0,0,1,0,0,2,0,16,12,0,0,0,1,0,0,0,0,0,13,20,0,0,2,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,15,0,25,0,1,12,0,0,17,4,0,1,0,1,22,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0
1810,10501,9,0,0,1,0,52,4,0,0,14,3,0,65,0,0,0,0,0,0,1,0,6,32,0,0,0,1,0,2,0,0,0,2,7,0,0,1,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,57.5,0,0,6.5,0,0,8,0,0,80,7,0,4,0,0,10,0,0,0,1,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0
1830,10708,2.5,0,0,0,2,19,9,0,0,43,8,0,65,0,0,0,0,0,0,3,0,6,25,0,0,0,1,0,8,0,0,0,0,15,0,0,2,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,193.5,0,0,3,0,0,15,0,0,0,0,3,0,0,0,21,0,0,0,0,0,1,14,0,1,0,1,1,0,1,0,0,0,0,3,2,1,2,2,0,1,0,0
1850,10912,0,0,0,0,1,6,9,0,0,29,2,0,40,0,0,0,0,0,0,8,0,5,19,0,0,0,1,0,4,0,0,0,9,20,0,0,0,0,6,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,134,1,0,0,0,0,12,0,0,29,9,0,0,0,0,10,0,0,0,1,0,0,16,0,0,0,1,4,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0
1870,11114,1,2,0,0,1,10,14,0,2,26,4,0,24,0,0,0,1,0,0,6,0,4,8,0,0,0,4,0,2,0,0,0,2,14,0,0,1,0,10,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,67,0,0,6,0,0,37,0,0,28,0,0,4,0,0,34,0,0,0,1,0,0,6,0,0,0,1,1,0,2,0,0,1,0,0,4,5,0,3,0,0,0,0
