"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
84,325,536,0,0,6,3,5,0,37,0,6,17,5,0,4,5,0,2,2,16,19,2,3,1,0,1,0,0,1,0,20,6,4,0,0,2,4,6,47,2,0,280,1,0,0,0,1,11,3,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0
88,375,528,2,0,5,8,6,0,33,0,0,18,4,0,5,4,0,2,6,9,13,0,3,0,1,0,0,0,0,0,16,5,5,0,0,2,9,3,38,1,0,298,0,0,0,0,0,10,5,0,3,0,1,1,0,0,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0
92,424,518,1,0,3,3,3,0,46,0,5,13,1,0,6,1,0,0,4,12,22,0,2,1,1,0,0,0,0,0,15,5,4,0,0,1,12,3,50,1,0,266,0,1,0,0,1,27,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
96,474,572,0,0,7,9,2,1,47,0,3,20,3,0,4,6,0,0,7,14,23,2,5,0,0,3,0,0,0,0,15,5,2,0,0,1,12,2,52,1,0,283,0,0,0,0,0,24,3,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0
100,524,531,0,0,5,7,4,0,43,0,9,18,6,0,10,5,0,0,6,8,20,3,3,4,0,0,1,0,1,0,17,2,5,0,0,2,8,3,37,0,0,279,0,0,0,0,0,10,2,0,2,0,1,3,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
104,574,557,4,0,10,14,5,0,40,0,2,17,1,0,6,8,0,0,4,17,21,3,3,0,1,1,0,0,0,0,11,4,5,0,1,7,15,6,36,1,1,278,0,0,0,0,0,16,8,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0
108,624,534,0,1,12,7,8,0,50,0,0,12,2,0,6,1,0,0,3,13,26,1,2,0,0,0,0,0,0,0,20,1,2,0,0,4,7,1,30,1,0,290,0,0,0,0,0,15,4,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
112,684,523,0,0,9,8,6,0,35,0,3,17,1,0,4,2,0,0,3,14,18,2,2,0,0,0,0,0,0,0,14,2,4,0,0,3,7,4,46,4,0,293,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
116,755,518,0,0,6,3,6,0,42,0,0,14,0,0,3,1,0,0,6,11,32,2,1,3,1,2,0,0,0,0,28,2,2,0,0,6,13,2,25,2,0,280,1,0,0,0,1,11,3,0,1,0,2,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,826,537,0,0,6,6,2,0,50,0,0,24,1,0,5,3,0,3,6,8,17,2,2,1,1,0,1,0,1,0,25,4,7,0,0,1,15,5,31,1,0,277,0,0,0,0,0,16,5,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
