"sample.depths","sample.ages","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Zea.mays","Alnus","Ambrosia","Pinus","Populus","Plantago","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Abies","Artemisia","Corylus","Larix","Iva.annua","Urtica","Iva.xanthifolia","Acer.rubrum","Celtis","Asteraceae.subf..Cichorioideae","Castanea","Humulus","Rosaceae.undiff.","Lamiaceae","Ranunculus","Ephedra.torreyana.type","Apiaceae","Polygonum.persicaria","Morus","Dalea.candida","Myrica","Shepherdia.canadensis","Sanguisorba","Thalictrum","Caryophyllaceae"
210,8356,0.00879765395894428,0.0205278592375367,0.00586510263929619,0,0.00879765395894428,0,0.0234604105571848,0.00293255131964809,0,0.00879765395894428,0,0,0.395894428152493,0,0.00293255131964809,0,0.00293255131964809,0.00293255131964809,0.00293255131964809,0.0351906158357771,0,0,0,0.00879765395894428,0.392961876832845,0,0,0.0205278592375367,0.0439882697947214,0,0,0.00293255131964809,0.00293255131964809,0.00293255131964809,0,0,0,0,0.00293255131964809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,8693,0,0.043956043956044,0.00549450549450549,0,0.010989010989011,0,0.0467032967032967,0,0,0.0137362637362637,0.00274725274725275,0.010989010989011,0.387362637362637,0,0.00274725274725275,0,0.00274725274725275,0,0.00274725274725275,0.0164835164835165,0.00274725274725275,0,0,0.0137362637362637,0.370879120879121,0.00274725274725275,0,0.021978021978022,0.0137362637362637,0.00549450549450549,0,0.00824175824175824,0.00549450549450549,0.00549450549450549,0,0,0,0,0,0,0,0,0,0,0,0,0.00274725274725275,0,0,0,0,0,0,0,0
230,9031,0.00557103064066852,0.0139275766016713,0.00557103064066852,0.00278551532033426,0.0250696378830084,0.00278551532033426,0.0445682451253482,0,0,0.0167130919220056,0.00278551532033426,0,0.348189415041783,0,0.00278551532033426,0,0,0.011142061281337,0.00278551532033426,0.0250696378830084,0,0,0.011142061281337,0.0222841225626741,0.33983286908078,0,0,0.0306406685236769,0.0724233983286908,0.00835654596100279,0.00278551532033426,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,9369,0.00808625336927224,0.0377358490566038,0,0.00539083557951483,0.0188679245283019,0.00269541778975741,0.0512129380053908,0,0,0.0242587601078167,0.0107816711590297,0.0296495956873315,0.358490566037736,0,0.00269541778975741,0,0.0107816711590297,0.00808625336927224,0,0.0296495956873315,0,0,0,0.0161725067385445,0.328840970350404,0,0,0.0188679245283019,0.0269541778975741,0.00269541778975741,0,0.00539083557951483,0.00269541778975741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,9707,0.00291545189504373,0.0204081632653061,0,0.00291545189504373,0.0174927113702624,0.00291545189504373,0.0262390670553936,0,0,0.0145772594752187,0.00291545189504373,0,0.21865889212828,0,0,0,0.00291545189504373,0.00291545189504373,0.00583090379008746,0.0262390670553936,0,0,0,0.00291545189504373,0.548104956268222,0,0,0.0408163265306122,0.032069970845481,0.00291545189504373,0.00291545189504373,0.00583090379008746,0.0087463556851312,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0,0
260,10045,0.0139275766016713,0.0194986072423398,0.00557103064066852,0.00278551532033426,0.0306406685236769,0,0.0362116991643454,0,0,0.0222841225626741,0.00557103064066852,0.00278551532033426,0.286908077994429,0,0.011142061281337,0,0.00835654596100279,0.00278551532033426,0,0.0389972144846797,0,0,0,0.00557103064066852,0.398328690807799,0.00278551532033426,0,0.0306406685236769,0.0557103064066852,0.00557103064066852,0.00278551532033426,0.00557103064066852,0,0,0,0,0,0.00278551532033426,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,10383,0.0076530612244898,0.0076530612244898,0.00255102040816327,0.00255102040816327,0.0127551020408163,0,0.0586734693877551,0,0,0.0178571428571429,0.00510204081632653,0,0.25,0,0.00510204081632653,0,0.0076530612244898,0.00510204081632653,0.00255102040816327,0.0433673469387755,0,0,0.00255102040816327,0.0127551020408163,0.464285714285714,0,0,0.0280612244897959,0.0433673469387755,0.00255102040816327,0,0.00510204081632653,0.0102040816326531,0,0,0,0,0,0.00255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,10720,0.0186046511627907,0.0209302325581395,0.00232558139534884,0.00232558139534884,0.0302325581395349,0,0.0558139534883721,0,0,0.0232558139534884,0.00465116279069767,0.00465116279069767,0.262790697674419,0,0.0116279069767442,0,0.00465116279069767,0.00465116279069767,0,0.027906976744186,0,0,0,0.013953488372093,0.446511627906977,0,0,0.0232558139534884,0.027906976744186,0.013953488372093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,11058,0.0048780487804878,0.0146341463414634,0.00731707317073171,0.00731707317073171,0.0268292682926829,0.0048780487804878,0.0317073170731707,0,0,0.0195121951219512,0.0219512195121951,0,0.246341463414634,0,0.0024390243902439,0,0,0.0024390243902439,0.0024390243902439,0.0170731707317073,0,0,0,0.0048780487804878,0.514634146341463,0.0024390243902439,0,0.0121951219512195,0.0414634146341463,0.0048780487804878,0.0024390243902439,0,0,0.0048780487804878,0,0,0,0,0,0,0,0,0.0024390243902439,0,0,0,0,0,0,0,0,0,0,0,0
300,11396,0.0235602094240838,0.0157068062827225,0.00523560209424084,0.0130890052356021,0.0235602094240838,0.00261780104712042,0.0235602094240838,0,0,0.0130890052356021,0.0130890052356021,0.00261780104712042,0.264397905759162,0,0.00523560209424084,0,0.00261780104712042,0.00261780104712042,0.00261780104712042,0.0366492146596859,0,0,0.00261780104712042,0.00785340314136126,0.458115183246073,0.00261780104712042,0,0.0209424083769634,0.0340314136125654,0.00785340314136126,0.00523560209424084,0.00261780104712042,0,0.00523560209424084,0,0,0,0,0,0,0,0.00261780104712042,0,0,0,0,0,0,0,0,0,0,0,0,0
310,11857,0.0226130653266332,0.00251256281407035,0,0.00753768844221105,0.092964824120603,0,0.0954773869346734,0,0,0.00753768844221105,0.0804020100502513,0,0.123115577889447,0,0.0050251256281407,0,0,0.0100502512562814,0.00753768844221105,0.0552763819095477,0,0,0.00753768844221105,0.00251256281407035,0.35678391959799,0,0,0.0050251256281407,0.0778894472361809,0.0050251256281407,0.0251256281407035,0.00753768844221105,0,0.00251256281407035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,12317,0.0164383561643836,0.00547945205479452,0,0.00821917808219178,0.0438356164383562,0,0.0191780821917808,0.00273972602739726,0,0.010958904109589,0.2,0,0.0794520547945206,0,0.00273972602739726,0,0,0.010958904109589,0.00547945205479452,0.0328767123287671,0,0,0.00547945205479452,0.00821917808219178,0.435616438356164,0.00821917808219178,0,0.00547945205479452,0.0136986301369863,0.00273972602739726,0.0438356164383562,0.00273972602739726,0.00547945205479452,0.0301369863013699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,12778,0.0218579234972678,0.00273224043715847,0,0,0.0846994535519126,0,0.0273224043715847,0,0,0.00819672131147541,0.224043715846995,0,0.0437158469945355,0,0.0163934426229508,0.00273224043715847,0,0.00273224043715847,0.00273224043715847,0.0109289617486339,0,0,0.00273224043715847,0,0.478142076502732,0,0,0.00273224043715847,0.00273224043715847,0,0.0136612021857923,0.00819672131147541,0,0.0382513661202186,0,0,0,0,0,0,0.00273224043715847,0,0,0,0,0,0,0,0,0,0.00273224043715847,0,0,0,0
340,13481,0.0343915343915344,0,0,0.00264550264550265,0.145502645502645,0,0.0291005291005291,0.00264550264550265,0,0.00529100529100529,0.423280423280423,0,0.044973544973545,0,0.0132275132275132,0,0,0.00529100529100529,0,0.0132275132275132,0,0,0,0.00264550264550265,0.156084656084656,0.00529100529100529,0,0,0.00264550264550265,0,0,0.00529100529100529,0,0.103174603174603,0,0,0,0,0,0,0,0,0,0,0,0,0.00264550264550265,0,0,0,0,0.00264550264550265,0,0,0
350,14427,0.0106870229007634,0,0.00458015267175573,0.00458015267175573,0.401526717557252,0,0.0381679389312977,0,0,0.0229007633587786,0.305343511450382,0,0.0290076335877863,0,0.00916030534351145,0,0.00152671755725191,0,0.00458015267175573,0.0213740458015267,0,0,0.00763358778625954,0.0183206106870229,0.0213740458015267,0,0,0.00610687022900763,0.00458015267175573,0.00152671755725191,0.00305343511450382,0.0183206106870229,0.00152671755725191,0.0564885496183206,0.00152671755725191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152671755725191,0.00458015267175573,0
360,NA,0.0121359223300971,0.00242718446601942,0,0.00849514563106796,0.547330097087379,0,0.0412621359223301,0,0,0.0109223300970874,0.24878640776699,0,0.0521844660194175,0,0.00364077669902913,0.00121359223300971,0,0,0.00121359223300971,0.0109223300970874,0,0,0,0.00728155339805825,0.020631067961165,0.00849514563106796,0,0.00121359223300971,0.00364077669902913,0.00242718446601942,0,0.00849514563106796,0,0.00121359223300971,0,0,0,0,0,0.00121359223300971,0,0,0,0,0,0,0.00121359223300971,0,0,0,0,0,0,0.00364077669902913,0
380,NA,0.0067001675041876,0.0033500837520938,0.0033500837520938,0.0083752093802345,0.460636515912898,0,0.0234505862646566,0.0016750418760469,0,0.0184254606365159,0.323283082077052,0,0.0418760469011725,0,0.0067001675041876,0,0,0.0016750418760469,0.0016750418760469,0.0067001675041876,0,0,0.0050251256281407,0.0050251256281407,0.0485762144053601,0.0184254606365159,0,0,0.0033500837520938,0,0.0016750418760469,0.0050251256281407,0,0.0033500837520938,0,0,0,0,0,0,0,0,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0,0
392,NA,0.00289017341040462,0,0,0.00289017341040462,0.046242774566474,0,0.0202312138728324,0.00578034682080925,0,0.0260115606936416,0.65028901734104,0,0.046242774566474,0,0.00578034682080925,0,0,0,0.00289017341040462,0.00867052023121387,0,0,0.00578034682080925,0.00578034682080925,0.138728323699422,0,0,0.00289017341040462,0.00289017341040462,0,0.00289017341040462,0.00867052023121387,0,0.00867052023121387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578034682080925
