"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharinum.type","Acer.undiff.","Alnus.incana.type","Ambrosia.type","Betula","Carya","Corylus","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Ilex","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Rosaceae.undiff.","Populus","Amaranthaceae","Viburnum","Poaceae","Plantago","Artemisia","Juglans.cinerea","Nyssa","Platanus","Tilia","Abies","Castanea","Fraxinus..tricolpate.","Thalictrum","Rhus","Polygalaceae","Ceanothus","Alnus.viridis.type","Cupressaceae","Larix","Myrica","Iva.annua.type","Fraxinus.undiff.","Liliaceae","Liquidambar","Potentilla.type","Celtis","Vitis","Ericaceae","Taxus","Apiaceae","Sanguisorba","Polygonum","Caryophyllaceae"
960,11181,392,0,0,0,0,0,6,1,0,6,0,3,0,0,7,1,251,54,0,0,56,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,11402,369,0,4,0,4,0,6,1,1,0,0,0,0,0,12,1,242,53,0,1,39,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,11694,539,0,0,0,6,0,32,0,1,1,0,2,0,0,3,26,365,28,0,0,16,0,6,0,0,0,0,0,1,0,1,1,0,0,0,35,0,2,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,12086,398,0,0,0,31,0,38,0,0,10,2,0,0,0,1,90,157,7,0,0,5,0,3,0,0,18,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,13,1,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0
1040,12575,385,0,0,0,16,0,8,0,1,3,0,0,0,0,7,64,237,9,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,1,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,13138,409,0,0,0,0,0,2,0,1,8,4,0,0,0,18,40,297,16,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,9,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1080,13755,401,0,0,0,0,0,1,0,0,4,1,0,0,0,8,49,304,11,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,1,0,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,14405,385,0,0,0,1,0,7,0,0,18,0,0,0,0,20,122,154,23,0,0,1,1,1,0,0,0,0,0,10,0,0,1,0,0,0,15,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1120,NA,529,0,1,0,2,0,8,0,0,25,1,1,0,0,11,335,52,23,0,12,0,6,1,0,2,4,0,0,26,0,1,0,0,0,0,0,0,8,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1140,NA,317,0,0,0,6,0,13,0,1,71,0,0,0,0,7,85,89,7,0,4,0,2,1,0,1,0,0,0,14,0,5,0,0,0,0,5,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,NA,318,0,0,0,5,0,0,0,0,102,0,0,0,0,1,64,107,10,1,3,0,2,2,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,2,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
