"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Cephalanthus","Chamaedaphne.calyculata","Cornus","Corylus","Cupressaceae","Cyperaceae","Drosera","Empetrum","Equisetum","Ericaceae.undiff.","Fagus","Fraxinus","Gaultheria","Gaylussacia","Huperzia.lucidula","Ilex","Juglans","Larix","Ledum","Menyanthes.trifoliata","Myrica","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Pyrus.type","Quercus","Ranunculaceae.undiff.","Rhododendron","Rosaceae.undiff.","Salix","Sanguisorba","Scheuchzeria.palustris","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vaccinium"
497.5,11926,1,0,0,0,0,0,0,5,0,0,6,2,1,0,0,0,0,0,0,53,112,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,0,4,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0
499.5,12003,1,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,97,137,0,0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,14,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
501.5,12080,0,0,0,0,0,0,0,1,1,0,6,0,1,0,0,0,0,0,0,11,125,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,4,0
503.5,12158,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,18,82,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
505.5,12236,1,0,0,0,0,0,0,1,0,0,10,2,0,0,0,0,0,0,0,29,144,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,8,0
507.5,12314,0,0,0,0,2,0,0,2,3,0,10,2,1,0,0,0,0,0,0,23,165,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,0
509.5,12392,2,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,14,105,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,5,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,0
511.5,12471,3,0,0,0,0,0,2,6,0,0,13,1,1,0,0,0,0,0,0,15,227,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,59,0,5,0,2,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,10,0
515.5,NA,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0
517.5,NA,3,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,83,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,13,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
