"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Bidens.type","Cyperaceae","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Liliaceae","Juglans","Populus","Amaranthaceae","Poaceae","Stachys.type","Pinus.banksiana.type","Eupatorium.type","Iva.type","Polygonum.cf..P..scandens","Apiaceae","Chamaecrista.type","Juniperus.type","Brassica","Opuntia","Ranunculus","Lactuca.type","Celtis","Ephedra","Rosaceae","Cornus.cf..C..sericea","Eriogonum","Dalea","Vitis","Centaurea.type","Helianthus.type","Picea","Salix","Mentha.type","Acer.negundo.type","Solanaceae.type","Xanthium.type","Polygonum.cf..P..lapathifolium","Alnus","Betula","Carya","Corylus","Carpinus.type","Rumex","Shepherdia","Plantago","Fraxinus.cf..F..nigra","Elaeagnus","Onagraceae","Rhamnus","Sambucus.type","Morus.type","Amorpha","Limonium.cf..L..limbatum","cf..Nemopanthus","Calystegia","Thalictrum","Caryophyllaceae","Urtica","Larix","Abies"
746,30639,358,41,89,0,18,4,7,9,0,0,0,4,84,41,4,10,4,3,9,0,2,2,0,0,3,0,0,0,0,0,0,1,0,2,5,4,2,0,2,2,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,30688,368,48,79,0,15,13,4,10,0,0,0,5,84,44,1,23,3,3,4,0,3,3,0,0,2,0,0,0,0,0,0,0,0,2,4,4,1,0,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,30728,398,43,98,0,19,9,7,5,1,0,0,3,98,49,2,26,1,1,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,1,8,1,1,3,0,0,0,1,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
803,30827,347,19,105,0,7,6,6,6,0,0,0,1,99,45,4,12,3,1,8,0,2,2,0,0,1,0,0,1,0,0,1,0,0,2,1,3,2,1,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
823,30893,387,44,99,0,15,10,4,6,0,0,0,2,105,54,2,15,4,1,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
852,30988,348,36,87,0,13,6,4,8,0,0,0,5,96,48,2,16,0,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,2,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,31064,368,26,125,0,14,5,3,5,0,0,0,5,110,36,2,8,3,2,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,31137,377,31,77,1,30,12,11,9,0,0,0,9,76,54,3,22,3,2,5,2,1,5,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,0,4,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919,31209,424,42,87,3,20,11,14,16,1,0,0,9,81,65,4,23,7,3,3,1,0,4,2,0,0,1,0,1,0,0,1,1,0,7,3,6,1,1,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,31275,406,46,86,0,21,8,4,8,0,0,0,7,117,50,1,23,5,4,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,1,3,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
962,31351,461,35,123,1,24,10,7,10,0,1,0,8,96,81,4,16,3,4,8,0,2,3,0,0,0,0,0,0,0,0,1,0,0,2,2,5,0,2,1,0,0,0,0,7,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
982,31417,455,41,97,0,29,11,5,7,0,1,1,10,98,91,1,19,1,2,8,1,1,3,2,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,1,0,2,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1002,31483,402,44,123,0,15,9,5,9,0,0,0,5,83,55,1,13,5,2,10,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,3,2,1,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1017,31533,413,45,102,0,38,13,8,10,0,0,0,12,29,93,1,15,3,3,3,2,0,4,0,0,1,0,0,0,0,0,1,0,0,4,3,4,1,0,2,0,3,0,2,8,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1032,31582,319,27,88,0,26,18,6,8,0,0,0,8,30,54,1,17,4,3,1,2,0,8,0,0,0,0,1,0,1,1,0,0,0,0,1,2,3,0,1,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,31612,358,34,79,1,35,19,14,10,0,2,0,13,33,62,2,14,4,5,0,2,0,5,0,0,0,1,2,0,2,2,0,0,0,2,2,2,3,1,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1056,31661,351,29,108,0,23,13,12,10,0,0,0,8,21,68,2,8,3,2,2,2,1,4,2,0,0,0,1,0,1,1,0,1,0,3,3,3,2,1,2,0,2,1,1,7,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
