"sample.depths","sample.ages","Abies","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Rubus.type","Salix","Taxodium","Tilia","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Malvaceae","Onagraceae","Poaceae","Polygonum","Vigna"
248,5910,0,0,0,0,0,0.00675675675675676,0,0,0,0,0,0.00337837837837838,0,0,0,0,0,0,0,0,0.00337837837837838,0.00337837837837838,0,0,0.070945945945946,0,0,0.0101351351351351,0,0,0.00337837837837838,0,0,0.0101351351351351,0,0.0439189189189189,0.0101351351351351,0.64527027027027,0,0.00337837837837838,0,0,0,0.185810810810811,0,0
257,6017,0,0,0.00315457413249211,0,0,0.0252365930599369,0,0,0,0,0,0.00315457413249211,0,0,0,0.00315457413249211,0,0,0,0.00630914826498423,0.00630914826498423,0.0189274447949527,0.00315457413249211,0,0.0220820189274448,0,0.00630914826498423,0.00630914826498423,0,0,0,0,0.00946372239747634,0,0,0.056782334384858,0.0378548895899054,0.62776025236593,0,0.00946372239747634,0,0,0,0.154574132492114,0,0
263,6088,0,0,0.00357142857142857,0,0,0.0107142857142857,0.00357142857142857,0,0,0,0,0.00357142857142857,0,0,0,0.00714285714285714,0,0,0,0.00714285714285714,0.00714285714285714,0,0,0,0.114285714285714,0,0.00357142857142857,0.0107142857142857,0,0.0107142857142857,0,0,0,0.0107142857142857,0,0.0535714285714286,0.0321428571428571,0.582142857142857,0,0.00357142857142857,0,0,0,0.135714285714286,0,0
268,6147,0,0,0,0,0,0.00694444444444444,0,0,0,0,0,0.00347222222222222,0,0,0,0.00347222222222222,0,0,0,0,0,0.00347222222222222,0,0,0.0243055555555556,0,0,0.0138888888888889,0,0,0,0,0.0104166666666667,0,0,0.0347222222222222,0.0277777777777778,0.711805555555556,0,0.0104166666666667,0,0,0,0.149305555555556,0,0
277,6254,0,0,0.00303951367781155,0,0,0.0060790273556231,0,0,0,0,0,0.00911854103343465,0,0,0,0,0,0.00303951367781155,0,0,0.00303951367781155,0,0,0,0.0364741641337386,0,0.00303951367781155,0.00303951367781155,0,0,0,0,0.00303951367781155,0.0060790273556231,0,0,0.0182370820668693,0.772036474164134,0,0,0,0,0,0.133738601823708,0,0
286,6361,0,0,0,0,0.00363636363636364,0.0109090909090909,0,0,0,0,0,0.00363636363636364,0,0,0,0,0,0.00363636363636364,0,0,0,0.0109090909090909,0,0,0.0290909090909091,0,0,0.0436363636363636,0,0,0,0,0,0,0,0.0181818181818182,0.0327272727272727,0.181818181818182,0,0.0109090909090909,0,0,0,0.650909090909091,0,0
295,6468,0,0,0,0,0,0.00673400673400673,0,0,0,0,0,0,0,0,0,0,0,0,0.00336700336700337,0,0.00673400673400673,0,0,0,0.0505050505050505,0,0.00336700336700337,0.0101010101010101,0,0.00673400673400673,0,0,0,0,0.00336700336700337,0.037037037037037,0.0505050505050505,0.175084175084175,0,0.090909090909091,0,0,0,0.555555555555556,0,0
297,6492,0,0,0.00359712230215827,0,0,0.00719424460431655,0,0,0,0,0,0.00719424460431655,0,0,0,0.00359712230215827,0,0.00719424460431655,0,0,0.00719424460431655,0.0143884892086331,0.00359712230215827,0.00359712230215827,0.0683453237410072,0,0,0.0359712230215827,0,0.00359712230215827,0,0,0.0107913669064748,0,0,0.0251798561151079,0.0251798561151079,0.446043165467626,0,0.0431654676258993,0,0,0,0.284172661870504,0,0
303,6564,0,0,0.00363636363636364,0,0,0.0109090909090909,0,0,0,0,0,0,0,0,0,0.00363636363636364,0,0,0,0,0.00727272727272727,0.00727272727272727,0,0,0.0509090909090909,0,0,0.0145454545454545,0,0,0,0,0,0.00363636363636364,0,0.0218181818181818,0.0690909090909091,0.134545454545455,0,0.0181818181818182,0,0,0,0.654545454545455,0,0
315,NA,0,0,0.0155642023346304,0,0,0.0194552529182879,0,0,0,0,0,0.00778210116731518,0,0,0,0.00778210116731518,0,0.0155642023346304,0,0.00389105058365759,0.00778210116731518,0.00778210116731518,0,0,0.120622568093385,0,0,0.0544747081712062,0,0.00389105058365759,0,0,0.0116731517509728,0.00778210116731518,0.00389105058365759,0.108949416342412,0.116731517509728,0.132295719844358,0,0.0583657587548638,0,0,0,0.295719844357977,0,0
