"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Cannabaceae","Caprifoliaceae","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Larix","Liquidambar","Morus","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Quercus","Rhamnaceae.Vitaceae","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown..monolete.","Unknown..trilete.","Urticaceae"
560,12001,16,2,12,3,5,0,0,28,6,86,1,0,0,0,0,1,5,1,31,0,0,0,0,20,2,0,2,0,0,1,10,0,0,0,0,24,191,3,0,6,0,1,11,36,2,23,0,0,2,0,0,8,1,0,5,0,0,0,12,6,8,0
564,12109,26,3,15,8,4,0,1,22,5,69,0,0,0,0,0,0,6,4,33,0,0,0,0,26,2,0,5,0,2,0,6,0,0,0,0,20,169,3,1,6,0,0,30,131,1,26,0,0,0,0,0,8,1,0,4,0,0,1,15,7,7,0
568,12217,13,0,8,5,12,0,0,26,6,52,2,0,0,0,0,0,4,6,31,2,0,0,0,29,0,0,5,0,0,0,1,0,0,0,0,16,155,4,2,6,0,1,54,46,3,29,0,0,1,0,0,9,0,0,4,0,0,0,26,12,12,0
570,12271,23,2,10,2,7,0,1,19,3,78,0,0,0,0,0,0,8,4,37,1,0,0,0,18,0,0,3,0,0,1,2,0,0,0,0,17,188,1,0,6,0,1,22,83,0,26,0,0,0,1,0,15,0,0,2,0,1,0,12,7,7,3
574,12379,26,5,11,3,7,0,1,33,8,49,1,0,0,0,0,0,6,2,26,0,0,0,0,24,1,0,2,0,0,0,1,0,0,0,0,12,200,1,1,6,0,0,25,64,3,32,0,0,0,0,0,17,1,0,1,0,0,1,12,7,6,1
578,12487,30,0,10,3,5,0,1,27,1,35,1,0,0,0,0,0,9,8,19,0,0,0,0,21,0,0,5,0,0,0,4,0,0,0,0,21,247,2,0,3,0,0,13,55,4,31,0,0,0,0,0,10,0,0,3,0,0,0,11,5,8,1
580,12541,22,3,14,7,18,0,1,39,10,32,4,2,1,0,1,0,14,7,42,0,0,1,0,43,1,0,8,0,0,0,3,0,0,2,0,18,139,2,0,2,0,1,19,72,5,37,0,0,0,0,0,17,1,2,6,2,0,0,13,7,2,1
584,12653,16,2,4,3,12,0,0,18,5,17,3,0,4,0,1,0,29,1,24,0,0,0,0,101,2,0,2,0,0,0,4,0,0,0,0,41,127,1,0,1,0,0,11,219,6,35,0,0,2,0,0,12,2,0,1,0,0,1,29,10,4,1
588,12823,18,4,6,3,10,0,0,27,11,16,1,0,1,0,2,0,23,6,20,0,0,0,0,111,0,0,4,0,1,1,3,0,0,0,0,41,113,0,0,2,0,0,17,162,4,30,0,0,1,0,1,13,1,0,5,0,0,0,21,11,9,3
590,12908,14,2,3,7,38,0,0,47,9,6,13,0,5,0,3,0,10,11,60,1,0,0,0,170,5,0,9,1,0,1,6,0,0,0,0,43,496,3,0,2,0,1,30,215,7,60,0,0,0,0,0,11,1,0,11,0,0,0,19,11,12,2
596,13163,2,0,2,2,14,0,0,17,4,3,2,0,2,0,4,0,2,11,49,0,0,0,0,117,2,0,6,0,1,1,4,0,0,0,0,20,162,0,0,0,0,0,28,86,12,40,0,0,0,0,0,10,0,0,4,0,0,0,16,21,7,1
598,13248,5,2,1,1,13,0,0,26,1,6,5,1,3,0,1,2,5,11,24,0,1,0,0,88,0,0,5,0,0,1,3,0,0,0,0,22,196,2,0,2,0,1,17,87,3,40,0,0,0,0,0,12,0,0,4,0,0,0,5,12,1,2
600,13333,1,2,1,1,20,0,0,15,4,6,6,0,0,0,1,0,3,3,20,0,0,0,0,92,3,0,2,0,1,0,4,0,0,0,0,18,218,0,0,3,0,0,22,76,1,34,0,0,0,0,0,10,0,0,3,0,0,1,9,7,1,0
602,13418,5,3,5,4,30,0,0,42,19,4,1,0,4,0,2,0,1,11,20,0,0,0,0,146,1,0,3,0,0,0,3,0,0,0,0,29,528,1,1,3,0,2,60,157,2,60,0,0,0,0,0,11,1,2,7,0,0,1,11,17,10,4
603,13460,2,0,2,1,20,0,0,15,11,1,2,0,0,0,0,0,1,7,24,0,0,0,0,94,2,0,3,0,0,0,4,0,0,0,0,14,233,2,1,4,0,1,16,89,7,26,0,0,0,0,0,7,0,0,5,0,0,0,9,14,6,3
608,13673,1,4,4,0,10,0,1,13,4,1,2,0,0,0,1,0,0,9,27,0,0,0,0,100,0,0,8,0,1,0,4,0,0,0,0,15,264,0,0,2,3,1,19,96,3,30,1,0,1,0,0,7,0,0,1,0,0,0,2,6,2,2
613,13885,0,1,3,2,17,0,0,24,3,2,4,0,0,0,0,0,0,17,34,0,0,0,0,71,0,0,6,0,0,0,3,0,0,0,0,18,204,1,0,4,0,2,49,54,0,19,1,0,2,0,0,17,0,0,2,0,0,0,3,6,4,0
618,14098,1,6,2,2,15,0,0,21,6,7,0,0,0,0,0,0,0,19,85,0,0,0,0,93,1,0,11,0,2,0,4,0,0,0,0,6,181,0,0,4,0,0,27,16,1,17,0,0,0,0,0,7,0,0,0,0,0,2,4,10,5,3
623,14310,3,13,9,0,21,0,1,15,9,3,1,0,0,0,0,0,3,35,36,0,0,0,0,62,0,0,12,0,0,1,6,0,0,0,0,13,200,0,0,3,0,0,21,80,1,27,0,0,4,1,0,12,0,1,0,0,0,0,1,12,7,2
628,14522,3,15,6,2,8,0,0,14,3,3,2,0,0,0,0,0,0,39,42,0,0,0,0,68,0,0,17,0,0,0,9,0,0,0,0,9,225,1,1,3,0,0,20,13,1,21,0,0,2,0,0,2,0,0,1,0,0,1,6,7,7,1
633,14735,0,2,3,3,1,0,1,5,1,1,0,0,0,0,0,0,0,10,37,0,0,0,0,8,3,0,23,0,0,0,5,0,0,0,0,5,172,1,0,8,0,0,6,20,6,10,0,0,1,1,0,4,0,0,1,0,0,0,5,1,16,1
