"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Galium","Asteraceae.subf..Cichorioideae","Picea","Ranunculaceae.undiff.","Rumex","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Myrica","Pinus","Populus","Poaceae","Solanaceae","Ericales","Juniperus","cf..Myrica","Caryophyllaceae","Ulmus","Brassicaceae","Rosaceae","Nemopanthus","Taxus","Quercus","Salix","Viburnum","Carya","Castanea","Cornus","Corylus","Artemisia","Fagus","Ostrya","Ambrosia","Acer","Tofieldia"
170,3261,0.10625,0.475,0.003125,0,0,0.2875,0.003125,0,0,0,0.015625,0.034375,0.04375,0,0.003125,0,0.009375,0,0.0125,0,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0
175,3440,0.106382978723404,0.43161094224924,0.00303951367781155,0,0,0.285714285714286,0,0,0.00303951367781155,0.00303951367781155,0.0486322188449848,0.027355623100304,0.0486322188449848,0,0,0,0.0060790273556231,0,0.0151975683890578,0,0,0,0.00911854103343465,0,0.0060790273556231,0.00303951367781155,0,0,0,0,0,0,0.00303951367781155,0,0,0,0,0
180,3619,0.0659090909090909,0.345454545454545,0.0136363636363636,0,0,0.302272727272727,0.00227272727272727,0,0.00227272727272727,0.00454545454545455,0.113636363636364,0.0477272727272727,0.05,0,0.00227272727272727,0,0.0113636363636364,0,0.0181818181818182,0,0,0,0.00681818181818182,0,0.00454545454545455,0,0,0.00454545454545455,0,0,0.00454545454545455,0,0,0,0,0,0,0
185,3798,0.0370994940978078,0.381112984822934,0.00843170320404722,0,0,0.263069139966273,0,0,0,0.00168634064080944,0.160202360876897,0.0421585160202361,0.03035413153457,0.0118043844856661,0.00337268128161889,0,0.00505902192242833,0.00168634064080944,0.0219224283305228,0,0,0,0.00505902192242833,0,0.00505902192242833,0.00168634064080944,0,0,0,0.00337268128161889,0,0.0118043844856661,0.00337268128161889,0,0,0.00168634064080944,0,0
190,3977,0.0476190476190476,0.366071428571429,0.00297619047619048,0,0,0.369047619047619,0,0,0,0,0.125,0.0357142857142857,0.0238095238095238,0,0,0,0.0148809523809524,0,0.0119047619047619,0,0,0,0,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,4175,0.0773993808049536,0.278637770897833,0,0,0,0.321981424148607,0.00309597523219814,0,0,0,0.139318885448916,0.0743034055727554,0.0154798761609907,0.00309597523219814,0,0,0.0185758513931889,0,0.0371517027863777,0,0,0,0.00928792569659443,0.00619195046439629,0.00309597523219814,0,0.00928792569659443,0,0,0,0,0,0,0,0,0,0.00309597523219814,0
200,4543,0.123595505617978,0.27247191011236,0.00280898876404494,0,0,0.421348314606742,0.00280898876404494,0,0.00561797752808989,0.00280898876404494,0.0365168539325843,0.0196629213483146,0.0674157303370786,0,0,0,0.0112359550561798,0,0.00561797752808989,0,0.00280898876404494,0.00561797752808989,0.00842696629213483,0.00561797752808989,0,0,0,0,0,0,0,0,0.00280898876404494,0,0,0,0,0.00280898876404494
205,4911,0.079113924050633,0.420886075949367,0.00316455696202532,0,0,0.322784810126582,0.00316455696202532,0,0,0,0.0411392405063291,0.0348101265822785,0.0253164556962025,0,0.00316455696202532,0,0.00316455696202532,0,0.0221518987341772,0,0.00316455696202532,0,0.0189873417721519,0,0.0158227848101266,0,0,0,0,0,0,0,0,0,0,0,0.00316455696202532,0
210,5279,0.0292207792207792,0.555194805194805,0,0.00324675324675325,0,0.285714285714286,0,0.00324675324675325,0,0.0064935064935065,0.0162337662337662,0.038961038961039,0.012987012987013,0,0.00324675324675325,0,0.00974025974025974,0,0.025974025974026,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0.00324675324675325,0,0,0.00324675324675325,0,0,0,0
220,6015,0.0320855614973262,0.636363636363636,0.0053475935828877,0,0,0.211229946524064,0,0,0,0,0.0213903743315508,0.0481283422459893,0.00267379679144385,0,0.00267379679144385,0,0.0053475935828877,0.0160427807486631,0,0,0,0,0.00802139037433155,0,0.00802139037433155,0.00267379679144385,0,0,0,0,0,0,0,0,0,0,0,0
