"sample.depths","sample.ages","Ambrosia.type","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ilex","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Liliaceae","Fabaceae","Myrica","Pinus","Poaceae","Urtica","Boehmeria","Celtis","Salix","Fraxinus","Asteraceae.subf..Cichorioideae","Apiaceae","Brassicaceae","Polygonum","Phacelia","Plantago","Malvaceae","Artemisia","Liquidambar","Mimosaceae","Juglans","Xyris","Cephalanthus","Primula","Betula","Ericaceae","Corylus","Rhus","Amaranthaceae","Viburnum","Nyssa","Ostrya.Carpinus","Tilia","Campanulaceae","Cornus","Acer","Impatiens","Lamiaceae","Convolvulaceae","Castanea","Galium","Planera.aquatica","Rhamnus","Ranunculaceae","Picea","Onagraceae"
250,15058,0.050328227571116,0.0109409190371991,0.00437636761487965,0,0.140043763676149,0,0.133479212253829,0.0415754923413567,0,0.520787746170678,0,0.00218818380743982,0,0.00218818380743982,0.0437636761487965,0,0.00218818380743982,0.00656455142231947,0,0,0,0,0,0,0,0,0,0.00656455142231947,0,0,0,0,0.0109409190371991,0,0.0087527352297593,0,0.00656455142231947,0.00656455142231947,0,0,0,0.00218818380743982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,15619,0.088235294117647,0.00326797385620915,0.00326797385620915,0,0.101307189542484,0,0.042483660130719,0.117647058823529,0.00326797385620915,0.415032679738562,0,0,0,0.0228758169934641,0.0849673202614379,0,0,0.00326797385620915,0.00326797385620915,0,0,0.00326797385620915,0.00326797385620915,0,0,0,0,0,0,0,0,0,0.00326797385620915,0,0.0196078431372549,0,0.0294117647058824,0.0522875816993464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,16180,0.107142857142857,0.00297619047619048,0.00892857142857143,0,0.0654761904761905,0,0.0476190476190476,0.0595238095238095,0,0.464285714285714,0,0.00297619047619048,0,0.0148809523809524,0.136904761904762,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0.00892857142857143,0,0.00595238095238095,0.0416666666666667,0,0,0,0,0.00297619047619048,0,0,0,0.00297619047619048,0,0,0,0,0,0,0,0,0
280,16556,0.0869565217391304,0.0031055900621118,0.0062111801242236,0,0.419254658385093,0,0.0714285714285714,0.0496894409937888,0,0.251552795031056,0,0,0,0.0124223602484472,0.0496894409937888,0,0.0062111801242236,0,0,0,0,0,0,0.0031055900621118,0,0,0,0.0062111801242236,0,0,0,0,0.0062111801242236,0,0.0062111801242236,0,0.0124223602484472,0.0093167701863354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,16780,0.0521172638436482,0.00977198697068404,0,0,0.384364820846906,0,0.110749185667752,0.0358306188925081,0.00325732899022801,0.309446254071661,0,0,0,0.00977198697068404,0.0358306188925081,0,0.0162866449511401,0,0,0,0,0.00325732899022801,0,0,0,0,0,0,0,0,0.00977198697068404,0,0,0,0.00651465798045603,0,0.00977198697068404,0,0,0,0,0,0,0,0,0,0,0.00325732899022801,0,0,0,0,0,0,0,0
300,17004,0.0184049079754601,0,0,0,0.0398773006134969,0,0.0184049079754601,0.0245398773006135,0,0.576687116564417,0,0,0,0,0.00920245398773006,0,0.217791411042945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153374233128834,0,0.00613496932515337,0.0613496932515337,0,0,0,0,0,0,0,0,0,0,0,0.00613496932515337,0.00613496932515337,0,0,0,0,0
310,17228,0.0553935860058309,0,0.00291545189504373,0,0.198250728862974,0,0.0583090379008746,0.0408163265306122,0,0.26530612244898,0,0,0,0.00291545189504373,0.0379008746355685,0,0.279883381924198,0.00583090379008746,0,0.00291545189504373,0,0.00291545189504373,0,0.0087463556851312,0,0,0,0.00583090379008746,0,0,0,0,0,0,0.00583090379008746,0,0.0087463556851312,0.00291545189504373,0,0.00291545189504373,0,0,0,0,0.00291545189504373,0,0.00291545189504373,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0,0
320,17453,0.0721311475409836,0,0,0,0.154098360655738,0,0.0655737704918033,0.0754098360655738,0,0.416393442622951,0,0,0,0.00655737704918033,0.0459016393442623,0,0.121311475409836,0.00655737704918033,0,0.00327868852459016,0,0.00655737704918033,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,17677,0.045,0.005,0.0025,0,0.1425,0,0.0425,0.015,0,0.5975,0.0025,0.0025,0,0.005,0.04,0,0.0375,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0.0025,0.0125,0.0075,0,0.0075,0,0,0,0,0,0,0.0025,0,0,0.0025,0,0,0,0,0,0
340,17901,0.0423940149625935,0.00748129675810474,0,0,0.13216957605985,0,0.057356608478803,0.0249376558603491,0,0.521197007481297,0,0,0,0.00249376558603491,0.0822942643391521,0,0.0748129675810474,0,0,0,0,0.00748129675810474,0,0,0,0,0,0,0,0,0,0,0,0,0.00748129675810474,0.00249376558603491,0.0124688279301746,0.00748129675810474,0.00498753117206983,0.00249376558603491,0,0,0.00249376558603491,0,0,0,0,0,0,0.00748129675810474,0,0,0,0,0,0
