"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Celtis","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Liquidambar","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Vitaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex","Urticaceae"
205,4209,0,0.0256410256410256,0.027972027972028,0.0792540792540792,0,0.006993006993007,0,0.00233100233100233,0.0606060606060606,0,0.006993006993007,0.0442890442890443,0,0.00932400932400932,0.00233100233100233,0,0,0.06993006993007,0,0.00466200466200466,0.111888111888112,0.179487179487179,0.00233100233100233,0,0.282051282051282,0,0,0,0.00233100233100233,0.0116550116550117,0.041958041958042,0,0.006993006993007,0,0.006993006993007,0,0,0.00932400932400932,0,0.00466200466200466,0,0,0,0
210,4331,0,0.0198237885462555,0.0242290748898678,0.0726872246696035,0,0.00881057268722467,0,0.00440528634361234,0.0418502202643172,0,0.00440528634361234,0.0484581497797357,0,0.013215859030837,0.00440528634361234,0,0,0.0330396475770925,0,0.0066079295154185,0.10352422907489,0.224669603524229,0.0110132158590308,0.0352422907488987,0.253303964757709,0,0.00220264317180617,0,0.00220264317180617,0.0110132158590308,0.0374449339207048,0,0.00881057268722467,0,0,0.00440528634361234,0.00220264317180617,0.0198237885462555,0,0.00220264317180617,0,0,0,0
215,4454,0,0.0244399185336049,0.0183299389002037,0.044806517311609,0,0.00407331975560081,0,0,0.0529531568228106,0,0.00407331975560081,0.0285132382892057,0,0.00407331975560081,0.00610997963340122,0,0,0.0305498981670061,0,0.010183299389002,0.0916496945010183,0.266802443991853,0.00407331975560081,0.0366598778004073,0.281059063136456,0,0.00203665987780041,0,0.00407331975560081,0.00203665987780041,0.0407331975560081,0.00203665987780041,0.00610997963340122,0,0.00610997963340122,0.00407331975560081,0.00203665987780041,0.0162932790224033,0,0.00610997963340122,0,0,0,0
220,4576,0,0.0278745644599303,0.0261324041811847,0.0418118466898955,0,0.00871080139372822,0,0.00174216027874564,0.0452961672473868,0,0.00174216027874564,0.024390243902439,0,0.00348432055749129,0.0104529616724739,0,0,0.0418118466898955,0,0.0191637630662021,0.0679442508710801,0.294425087108014,0.00174216027874564,0.0435540069686411,0.228222996515679,0,0.00348432055749129,0,0.0104529616724739,0.00348432055749129,0.0400696864111498,0,0.00871080139372822,0,0.00348432055749129,0.00348432055749129,0.00348432055749129,0.0226480836236934,0,0.0121951219512195,0,0,0,0
225,4699,0,0.0164319248826291,0.00469483568075117,0.0375586854460094,0,0.00234741784037559,0.00234741784037559,0.00234741784037559,0.0704225352112676,0,0,0.0328638497652582,0,0.00938967136150235,0.00234741784037559,0,0,0.0446009389671361,0.00234741784037559,0.0164319248826291,0.10093896713615,0.208920187793427,0,0.0492957746478873,0.276995305164319,0,0.00469483568075117,0,0.00234741784037559,0,0.0563380281690141,0,0.00469483568075117,0,0.00469483568075117,0.00234741784037559,0.00704225352112676,0.0211267605633803,0,0.0164319248826291,0,0,0,0
230,4821,0.0021978021978022,0.0263736263736264,0.0131868131868132,0.0549450549450549,0,0.00659340659340659,0,0.00659340659340659,0.0659340659340659,0,0.0021978021978022,0.0285714285714286,0,0.010989010989011,0.00879120879120879,0,0,0.0571428571428571,0.0043956043956044,0.0197802197802198,0.0901098901098901,0.153846153846154,0.010989010989011,0.0637362637362637,0.252747252747253,0,0,0,0.00879120879120879,0.0043956043956044,0.0505494505494506,0,0.0175824175824176,0,0.00879120879120879,0.0043956043956044,0.0043956043956044,0.0153846153846154,0,0.00659340659340659,0,0,0,0
235,4944,0,0.0235756385068762,0.0275049115913556,0.0766208251473477,0,0.00785854616895874,0,0.00196463654223969,0.0589390962671906,0,0.00392927308447937,0.0176817288801572,0,0.0176817288801572,0.00392927308447937,0,0,0.0609037328094303,0,0.0157170923379175,0.0825147347740668,0.104125736738703,0,0.0667976424361493,0.298624754420432,0,0.00196463654223969,0,0.0216110019646365,0.00196463654223969,0.0491159135559921,0,0.00785854616895874,0,0.00392927308447937,0,0.00589390962671906,0.0294695481335953,0,0.00982318271119843,0,0,0,0
240,5066,0.00188323917137476,0.0263653483992467,0.0414312617702448,0.0508474576271186,0,0.0131826741996234,0,0.00753295668549906,0.0527306967984934,0,0.00188323917137476,0.0225988700564972,0,0.00376647834274953,0.00564971751412429,0,0.00188323917137476,0.0903954802259887,0,0.0263653483992467,0.0677966101694915,0.160075329566855,0,0.0922787193973635,0.227871939736347,0,0,0,0.00564971751412429,0,0.0734463276836158,0,0.00376647834274953,0,0,0.00564971751412429,0,0.00941619585687382,0.00188323917137476,0.00564971751412429,0,0,0,0
245,5189,0,0.105809128630705,0.0228215767634855,0.029045643153527,0,0.0020746887966805,0,0.0020746887966805,0.045643153526971,0,0.0020746887966805,0.033195020746888,0,0.0103734439834025,0.004149377593361,0,0,0.114107883817427,0,0.033195020746888,0.070539419087137,0.0477178423236514,0.0020746887966805,0.116182572614108,0.221991701244813,0,0.0020746887966805,0,0.0228215767634855,0,0.0726141078838174,0,0.004149377593361,0,0.00622406639004149,0.004149377593361,0.0020746887966805,0.00622406639004149,0,0.0145228215767635,0.0020746887966805,0,0,0
252,5360,0,0.0380434782608696,0.0181159420289855,0.0543478260869565,0,0.0126811594202899,0,0.00181159420289855,0.072463768115942,0,0,0.0344202898550725,0,0.0072463768115942,0.0036231884057971,0,0,0.068840579710145,0.00181159420289855,0.0199275362318841,0.0706521739130435,0.11231884057971,0.00181159420289855,0.072463768115942,0.278985507246377,0,0,0,0.00181159420289855,0,0.0851449275362319,0,0.00543478260869565,0,0.0072463768115942,0.0036231884057971,0.0036231884057971,0.0108695652173913,0,0.0108695652173913,0.00181159420289855,0,0,0
260,5556,0,0.0263157894736842,0.034412955465587,0.034412955465587,0,0.0182186234817814,0,0.00404858299595142,0.0445344129554656,0,0.00202429149797571,0.034412955465587,0,0.0161943319838057,0.00404858299595142,0,0,0.101214574898785,0.00202429149797571,0.0222672064777328,0.0789473684210526,0.105263157894737,0,0.109311740890688,0.257085020242915,0,0,0.00202429149797571,0.0121457489878543,0.00202429149797571,0.0465587044534413,0,0.00607287449392713,0,0.0121457489878543,0.00202429149797571,0,0.0182186234817814,0,0.00404858299595142,0,0,0,0
270,5801,0.00236406619385343,0.0614657210401891,0.0401891252955083,0.0449172576832151,0,0.00236406619385343,0,0,0.033096926713948,0,0.00472813238770686,0.0283687943262411,0,0.00472813238770686,0.00709219858156028,0,0,0.0780141843971631,0.00236406619385343,0.0212765957446809,0.0969267139479905,0.0945626477541371,0,0,0.283687943262411,0,0.00472813238770686,0,0.0118203309692671,0.016548463356974,0.0921985815602837,0,0.0118203309692671,0,0.0141843971631206,0.00236406619385343,0.016548463356974,0.00945626477541371,0,0.0141843971631206,0,0,0,0
280,6046,0,0.0573613766730402,0.0248565965583174,0.0401529636711281,0,0.011472275334608,0,0,0.0344168260038241,0,0.00573613766730402,0.0478011472275335,0,0.0095602294455067,0.0133843212237094,0,0,0.0516252390057361,0,0.0133843212237094,0.0822179732313576,0.196940726577438,0.00191204588910134,0,0.261950286806883,0,0.00382409177820268,0.00191204588910134,0.00764818355640535,0.0152963671128107,0.0707456978967495,0,0.00764818355640535,0,0.0133843212237094,0.00191204588910134,0.00382409177820268,0.0095602294455067,0,0.011472275334608,0,0,0,0
290,6291,0,0.0547667342799189,0.0162271805273834,0.0304259634888438,0,0.00405679513184584,0.00202839756592292,0,0.0223123732251521,0,0,0.0324543610547667,0,0.0101419878296146,0.00608519269776876,0,0,0.0811359026369168,0.00202839756592292,0.0202839756592292,0.0811359026369168,0.0872210953346856,0.00202839756592292,0.0892494929006085,0.298174442190669,0.00202839756592292,0,0.00202839756592292,0.0182555780933063,0.00811359026369168,0.0851926977687627,0,0.0121703853955375,0,0.0101419878296146,0.00608519269776876,0.00405679513184584,0.00202839756592292,0,0.0101419878296146,0,0,0,0
300,6536,0,0.0286885245901639,0.0204918032786885,0.0163934426229508,0,0.00204918032786885,0,0.00204918032786885,0.0266393442622951,0,0,0.0245901639344262,0,0.00204918032786885,0.00204918032786885,0,0,0.0860655737704918,0,0.0102459016393443,0.0922131147540984,0.159836065573771,0.00204918032786885,0.0881147540983607,0.19672131147541,0,0.00204918032786885,0,0.00819672131147541,0.00614754098360656,0.0614754098360656,0.0614754098360656,0.014344262295082,0,0.00409836065573771,0.00614754098360656,0.00614754098360656,0.00204918032786885,0,0.00614754098360656,0,0,0,0.0614754098360656
