"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea.dentata","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus.grandifolia","Fraxinus","Huperzia.lucidula","Huperzia.selago","Ilex","Juglans.cinerea","Larix.laricina","Liquidambar.styraciflua","Myricaceae","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Quercus","Rumex","Salix","Sanguisorba","Sphagnum","Thalictrum","Tilia.americana","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown..trilete.","Utricularia"
680,9371,0,0,3,24,0,0,0,0,5,0,38,1,0,0,1,0,2,1,1,7,0,0,0,0,0,0,2,0,0,15,0,0,34,0,0,0,1,0,0,210,0,0,0,0,0,0,8,0,8,1,0
685,9455,0,0,1,21,0,0,0,0,6,0,35,0,1,0,0,0,2,1,3,10,0,0,1,0,0,0,6,0,0,14,0,2,32,1,1,0,1,0,0,165,0,1,0,0,0,0,6,0,7,3,0
690,9538,0,0,2,23,0,0,0,0,4,0,51,0,0,1,0,0,2,0,0,13,0,0,1,0,0,0,0,0,0,12,0,2,41,0,1,0,1,0,0,165,0,1,0,0,0,0,7,0,6,4,0
695,9622,0,0,1,15,0,0,0,0,8,0,49,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,3,0,0,11,1,0,25,1,2,0,1,1,0,152,0,0,0,0,0,0,3,0,7,3,0
705,9790,0,0,1,8,0,0,0,1,3,0,23,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,1,0,0,12,0,2,52,0,5,0,3,0,0,167,0,0,0,0,0,0,6,0,6,2,0
710,9874,0,0,3,13,1,0,0,0,3,0,43,0,0,1,1,0,4,2,3,13,0,0,0,0,0,0,6,0,0,8,0,14,45,1,3,0,1,0,0,153,0,1,0,0,0,0,4,0,2,3,0
715,9958,1,3,0,20,0,1,0,0,5,0,30,0,0,0,2,0,2,1,1,10,0,0,2,1,0,0,0,0,0,8,1,4,39,0,2,0,4,0,0,181,0,1,0,0,0,0,10,0,10,2,0
720,10042,1,1,1,27,0,0,0,1,2,0,38,0,0,1,0,0,7,1,0,11,0,0,1,0,0,0,1,0,0,7,3,14,45,0,3,0,2,0,0,147,0,1,0,1,0,0,4,0,4,5,0
725,10126,1,0,1,15,0,0,0,0,3,0,51,0,0,0,1,0,4,0,0,12,0,0,0,0,0,0,1,1,0,6,2,5,38,0,1,0,2,0,0,146,0,0,0,0,0,0,13,0,5,2,0
730,10210,0,0,5,9,0,0,0,1,2,0,18,0,0,0,1,0,4,0,1,4,0,0,1,0,0,0,0,0,0,9,1,5,39,0,1,0,2,0,0,161,0,1,0,0,0,0,2,0,7,5,0
735,10294,0,1,3,10,0,0,0,0,4,0,23,0,0,0,0,0,1,0,0,8,1,0,1,0,0,0,0,0,0,7,0,17,62,0,4,0,1,0,0,186,0,0,0,0,0,0,4,0,6,3,0
740,10378,0,0,4,14,0,0,0,0,1,0,23,1,0,0,0,0,2,0,2,5,0,0,1,0,0,0,0,0,0,3,0,8,90,0,1,0,1,0,0,160,0,2,0,0,0,0,5,0,3,1,0
745,10461,0,1,1,7,0,0,0,1,2,0,25,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,12,81,0,1,0,0,0,0,170,0,0,0,0,0,0,12,0,3,4,0
750,10545,0,2,2,11,0,0,0,0,5,0,30,0,0,0,1,0,1,0,1,3,0,0,1,0,0,0,1,0,0,9,0,4,59,0,5,0,1,0,0,199,0,1,0,0,0,0,14,0,10,1,0
755,10629,0,2,0,22,1,0,0,1,4,0,33,0,0,0,0,0,0,0,3,8,0,0,1,1,0,0,0,0,0,8,0,15,56,0,2,0,2,0,0,174,0,0,0,0,0,0,6,0,10,5,0
760,10713,3,0,0,11,0,0,0,0,2,0,30,0,0,0,0,0,0,0,1,11,0,0,2,1,0,0,3,0,0,11,1,7,40,0,2,0,1,0,0,191,0,0,0,0,0,0,13,0,5,3,0
765,10797,0,0,1,24,0,0,0,0,4,0,17,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,13,1,12,63,0,1,0,0,0,0,190,0,0,0,0,0,0,25,0,7,3,0
770,10881,0,0,3,7,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,6,0,8,70,0,0,0,2,0,0,177,0,0,0,0,0,1,22,0,5,3,0
775,10965,0,0,2,6,0,0,0,1,2,0,34,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,10,0,19,53,0,1,0,0,0,0,166,0,0,0,0,0,0,15,0,10,6,0
780,11049,1,0,5,6,0,0,0,0,2,0,37,1,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,6,0,23,88,0,0,0,0,0,0,149,0,0,0,0,0,0,15,0,3,0,0
785,11133,1,0,4,11,0,0,0,0,1,0,24,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,12,0,18,108,0,0,0,2,0,0,129,0,1,0,0,0,0,18,0,3,5,0
790,11225,0,0,1,3,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,17,0,12,120,0,0,0,2,0,0,117,0,0,0,0,0,0,4,0,5,4,0
795,11317,2,0,6,6,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,19,0,27,98,0,0,0,2,0,0,138,0,0,0,0,0,0,4,0,1,0,0
800,11633,3,0,4,25,0,0,0,0,4,0,45,1,0,0,0,0,9,0,1,12,0,0,0,0,0,0,0,0,0,14,7,33,109,0,2,0,3,0,1,106,0,1,0,0,0,0,1,0,7,2,0
805,11949,7,0,4,28,0,0,0,0,1,0,53,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,14,11,24,101,0,4,0,0,0,0,65,0,3,0,0,1,0,7,0,4,2,0
810,12088,2,0,0,113,0,0,0,4,4,0,122,0,0,0,0,0,9,0,0,30,0,0,0,0,0,0,3,0,0,27,5,0,26,0,2,0,1,0,0,37,0,1,0,0,2,0,2,0,1,2,0
815,12226,2,0,1,148,0,0,0,2,3,0,74,0,0,0,0,0,15,2,0,6,0,0,0,0,0,0,17,0,0,12,6,0,51,0,1,0,6,0,0,24,0,3,0,0,1,0,0,0,4,2,0
820,12365,12,0,0,80,1,0,0,1,3,0,76,0,0,0,0,0,18,0,0,9,0,0,0,1,1,0,11,0,0,10,31,0,75,0,0,0,3,0,0,16,0,0,0,0,0,0,1,0,3,1,4
825,12503,5,0,0,92,0,0,0,4,3,0,77,1,0,0,0,0,22,1,0,8,0,0,0,0,0,0,4,0,0,11,22,0,69,0,1,0,1,0,0,10,0,1,0,0,1,0,1,0,2,0,1
830,12642,3,0,0,110,0,0,0,2,1,0,58,1,1,0,1,0,27,1,0,16,0,0,0,2,0,0,5,0,0,22,15,0,95,0,5,0,1,0,0,18,0,1,0,0,0,0,0,0,2,1,0
835,13109,5,0,0,68,0,0,0,2,3,0,31,0,0,0,0,0,25,0,0,15,0,0,0,0,0,0,2,0,0,9,10,0,106,0,4,0,1,0,0,33,0,2,0,0,4,0,0,0,3,0,0
840,13576,3,0,1,41,0,0,0,0,11,0,21,2,0,0,2,0,47,2,2,31,0,0,0,0,2,0,3,0,0,24,14,0,128,0,3,0,1,0,0,41,0,0,0,0,0,0,0,0,1,1,0
845,14043,2,0,1,42,1,0,0,1,7,0,25,1,0,0,0,0,17,2,2,29,0,0,0,0,0,0,6,0,0,22,21,0,81,0,3,0,1,0,0,42,0,6,0,0,0,0,0,0,0,1,0
850,14510,0,0,0,9,0,0,0,4,7,0,45,1,0,0,0,0,17,1,0,24,0,0,0,0,1,0,4,0,0,40,26,0,91,0,10,0,10,2,0,36,0,5,0,0,0,0,0,0,0,1,0
855,NA,2,0,0,10,0,0,0,2,15,0,52,0,0,0,0,0,58,5,1,17,0,0,0,0,0,0,1,0,0,21,32,0,60,0,24,0,17,0,0,34,0,11,0,0,1,0,0,0,1,0,0
860,NA,2,0,0,39,0,0,0,6,14,0,43,1,0,0,0,0,81,5,0,5,0,0,0,0,0,0,4,0,0,10,17,0,73,0,13,0,6,0,0,19,0,29,0,0,7,0,0,0,0,1,0
865,NA,0,0,0,55,1,0,1,7,7,0,36,0,0,0,0,0,91,6,0,3,0,0,0,0,2,0,2,0,0,4,11,0,75,0,12,0,1,1,0,14,0,25,0,0,6,0,0,0,0,1,0
870,NA,0,0,0,67,1,0,2,6,4,0,59,0,0,0,0,0,133,5,0,4,0,0,0,0,0,0,2,0,0,6,5,0,57,0,31,0,3,0,0,17,0,31,0,0,12,0,0,0,0,3,0
875,NA,1,0,0,72,0,0,0,10,11,0,18,1,1,0,1,2,131,4,0,1,0,0,0,0,0,0,6,0,0,6,8,0,35,0,34,0,2,0,0,9,0,75,0,6,7,0,0,0,0,1,0
880,NA,0,0,0,58,0,0,0,13,11,0,23,0,0,0,0,0,158,3,0,0,0,0,0,0,0,0,10,0,0,3,16,0,65,0,28,0,3,0,0,10,0,55,0,3,14,0,0,0,1,0,0
885,NA,0,0,0,72,0,0,2,12,10,0,24,0,1,0,0,0,163,3,0,0,0,0,0,0,0,0,8,0,0,1,6,0,60,0,28,0,0,0,0,7,0,52,0,3,20,0,0,0,0,1,0
890,NA,1,0,0,58,0,0,0,14,33,0,12,0,1,0,0,0,154,1,0,0,0,0,0,0,0,0,5,0,0,3,9,0,85,0,35,0,1,0,0,6,0,42,0,2,14,0,0,0,1,0,0
895,NA,1,0,0,76,0,0,0,19,20,0,7,0,2,0,0,0,201,3,0,1,0,0,0,0,0,0,1,0,0,2,10,1,66,0,30,0,0,0,0,11,0,30,0,6,22,0,0,0,0,1,0
900,NA,0,0,0,65,0,0,4,12,31,0,15,0,3,0,0,0,161,2,0,0,0,0,0,0,0,0,5,0,0,2,10,0,70,0,36,0,1,0,0,6,0,20,0,5,23,0,0,0,0,0,0
910,NA,0,0,0,55,0,0,0,25,23,0,15,0,2,0,1,0,198,4,0,0,0,0,0,0,0,0,7,0,0,5,7,0,72,0,43,0,4,0,0,7,0,19,1,6,21,0,0,0,1,2,0
920,NA,0,0,0,43,0,0,1,8,24,0,7,0,9,0,0,4,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0,15,0,0,0,0,3,0,3,0,1,0,0,0,0,2,0,0
930,NA,0,0,0,8,0,0,0,4,14,0,4,0,3,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
940,NA,0,0,0,24,0,0,0,10,27,0,8,0,4,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,117,0,21,0,2,0,0,5,0,0,0,5,0,0,0,0,0,0,0
950,NA,0,0,0,35,0,0,2,6,67,0,7,0,3,0,0,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,59,0,15,0,2,0,0,4,0,10,0,0,0,0,0,0,0,0,0
960,NA,0,0,0,13,0,0,0,10,39,0,4,0,2,0,0,5,79,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,143,0,12,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
970,NA,0,0,0,9,0,0,0,5,40,0,3,0,2,0,0,0,87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,147,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
980,NA,0,0,0,23,0,0,0,11,48,0,6,0,0,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,135,0,13,0,1,0,0,1,0,8,0,3,0,0,0,0,0,0,0
990,NA,0,0,0,19,0,0,0,6,66,0,15,0,3,0,0,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,39,0,23,0,0,0,0,3,0,15,0,1,0,0,0,0,0,0,0
1000,NA,0,0,0,19,0,0,0,7,69,0,2,0,3,0,0,2,110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68,0,23,0,0,0,0,4,0,8,0,1,0,0,0,0,0,0,0
1010,NA,0,0,0,40,0,0,0,13,52,0,7,0,6,0,0,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,0,18,0,2,0,0,5,0,24,0,4,0,0,0,0,0,0,0
