"sample.depths","sample.ages","Abies","Acer.negundo","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus.incana","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Carya","Caryophyllaceae","Celtis","Cephalanthus","Cornus.canadensis","Cornus.undiff.","Corylus","Cyperaceae","Dalea","Dicentra","Dryopteris","Ephedra","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Huperzia.lucidula","Indeterminable","Indeterminable.undiff.","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Lamiaceae.undiff.","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Mentha.type","Myriophyllum","Nuphar","Osmunda","Ostrya.Carpinus","Parnassia","Picea","Pinus.banksiana","Pinus.resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.undiff.","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Primulaceae","Pteridium","Quercus","Ranunculus","Rhamnus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae.undiff.","Shepherdia.canadensis","Solanaceae","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Urtica","Viburnum","Vitis","Woodsia"
1130,5080,1,0,0,0,0,3,0,0,14,4,11,22,0,0,0,84,34,0,0,18,1,0,0,0,0,0,4,24,0,0,0,0,1,0,1,5,2,0,0,2,2,0,3,0,1,0,0,0,0,0,1,1,0,15,0,2,1,0,16,19,54,0,111,0,0,3,2,1,0,1,128,0,0,0,0,0,1,3,1,0,0,0,0,0,6,1,0,0,18,0,2,0,0,0
1160,5381,0,0,1,0,1,0,0,0,9,0,6,26,0,0,0,62,14,0,0,24,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9,0,2,0,0,10,6,53,1,76,0,0,3,1,0,0,1,110,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,5,1,0,0,0,0
1170,5481,0,0,0,0,0,1,0,0,9,1,15,51,0,1,0,115,35,0,0,17,2,0,0,0,0,0,3,27,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,21,52,1,106,0,0,1,2,1,0,1,124,0,0,1,0,0,0,6,2,0,0,0,0,0,2,0,1,1,14,2,0,0,1,0
1180,5581,0,0,0,0,0,2,0,0,13,1,7,41,0,0,0,78,9,0,0,14,3,0,0,0,0,0,1,33,1,0,0,0,0,0,0,5,0,0,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,16,10,37,1,98,0,0,1,1,0,0,0,84,0,2,0,0,0,1,0,0,0,0,0,0,2,4,0,1,1,9,2,0,0,0,0
1190,5681,0,0,0,0,0,0,0,0,5,0,5,33,1,0,0,58,13,0,0,5,1,0,0,0,0,0,2,24,0,0,0,0,0,0,0,6,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,9,0,1,0,0,5,6,47,0,80,0,0,1,0,0,0,0,54,0,0,1,0,0,1,7,0,0,0,0,0,0,2,0,0,1,8,1,0,0,0,0
1200,5782,0,0,0,0,0,2,0,0,9,0,6,10,0,0,0,50,24,0,0,10,0,0,0,0,0,0,3,24,0,1,0,0,0,0,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,2,1,18,16,40,0,71,0,0,0,1,0,0,1,80,0,0,0,1,0,2,2,0,0,0,0,0,0,7,0,0,0,7,1,0,0,0,0
1210,5882,0,0,0,0,1,0,0,0,5,0,6,20,0,0,0,38,11,0,0,3,0,0,0,0,0,0,2,15,1,0,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,1,7,0,4,0,1,5,3,51,1,55,0,0,0,1,1,0,0,71,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,1,0,7,1,0,0,0,0
1230,6082,3,0,0,0,0,0,0,0,11,0,17,30,0,0,0,63,25,0,0,10,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,3,4,5,0,1,0,0,0,1,0,0,0,0,0,0,4,0,4,0,0,2,2,81,0,84,0,1,0,0,1,0,0,71,1,0,0,0,0,0,6,0,0,0,0,0,1,3,1,2,0,5,0,0,0,0,0
1240,6183,0,0,0,0,0,3,0,0,6,1,9,29,0,0,0,64,14,0,0,6,4,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,7,37,0,107,0,0,1,2,0,0,0,65,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,9,3,1,0,0,0
1250,6283,0,0,0,0,0,2,1,0,8,1,12,29,0,0,0,73,11,0,0,14,2,0,2,0,0,0,1,21,0,0,0,0,0,0,0,7,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,2,0,0,9,5,49,0,131,0,0,1,1,0,0,0,70,0,3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,13,3,0,0,0,0
1260,6383,1,0,0,0,0,2,0,0,5,4,17,31,0,0,0,85,13,0,0,19,1,0,0,0,0,0,3,30,0,0,0,0,0,0,0,5,3,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,7,13,50,0,116,0,0,1,2,1,1,0,50,0,0,0,1,0,0,4,0,0,0,0,0,1,2,0,1,0,17,4,0,0,0,0
