"sample.depths","sample.ages","Abies","Acer.negundo.type","Alnus","Amaranthaceae","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Brassica","Calystegia","Carpinus.type","Carya","Caryophyllaceae","Celtis","Centaurea.type","cf..Nemopanthus","Chamaecrista.type","Cornus.cf..C..sericea","Corylus","Cyperaceae","Cystopteris.type","Dalea","Dryopteris.type","Elaeagnus","Ephedra","Equisetum","Eriogonum","Eupatorium.type","Fraxinus.cf..F..nigra","Helianthus.type","Indeterminable","Iva.type","Juglans","Juniperus.type","Lactuca.type","Larix","Liliaceae","Limonium.cf..L..limbatum","Lycopodiaceae","Mentha.type","Morus.type","Myriophyllum","Nymphaea","Onagraceae","Opuntia","Osmunda.type","Picea","Pinus.banksiana.type","Pinus.undiff.","Plantago","Poaceae","Polygonum.cf..P..lapathifolium","Polygonum.cf..P..scandens","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculus","Rhamnus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus.type","Shepherdia","Solanaceae.type","Stachys.type","Thalictrum","Typha.latifolia.type","Typha.undiff.","Ulmus","Unknown","Unknown..fenestrate.","Urtica","Vitis","Xanthium.type"
1540,33436,0,3,0,29,87,0,3,128,14,3,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,21,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,24,22,1,125,0,1,8,1,0,16,0,0,0,0,0,2,0,0,0,1,0,0,10,1,2,2,0,0,0
1560,33512,0,1,0,13,50,0,1,103,10,5,0,0,0,0,0,1,0,0,0,0,0,1,15,0,0,0,0,0,0,1,4,1,2,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0,73,0,2,6,3,0,7,1,0,0,0,1,2,0,0,0,2,0,2,2,0,0,0,0,0,0
1580,33589,0,4,1,13,35,0,0,113,13,5,1,0,0,1,0,0,0,0,0,0,0,0,16,0,1,0,0,1,1,0,3,2,2,15,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,24,16,0,92,0,2,9,0,0,12,0,0,0,0,0,6,0,0,1,3,2,0,5,0,1,1,0,0,0
1600,33665,0,3,0,23,59,1,2,114,8,4,1,1,0,2,0,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,4,2,5,20,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,17,27,0,109,0,2,9,1,0,16,0,0,0,0,0,2,0,0,0,1,3,9,13,0,1,2,0,0,0
1618,33734,0,3,8,23,33,0,0,112,3,2,1,1,0,1,1,1,1,0,0,0,1,1,22,0,0,0,0,0,0,0,3,0,2,15,4,0,4,1,0,0,0,1,0,1,0,0,1,0,0,4,33,25,0,71,1,1,10,0,0,17,0,1,1,0,0,2,1,0,1,0,0,0,4,0,1,1,0,0,0
1620,33741,1,4,0,15,34,1,2,142,16,5,2,1,0,2,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,4,1,2,22,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,19,16,0,73,0,2,11,0,0,10,0,0,0,0,0,6,0,0,0,1,2,0,10,0,2,1,0,0,2
1640,33817,1,5,2,15,35,1,0,176,13,7,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,5,0,3,17,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,4,42,20,0,80,0,0,10,0,0,14,0,0,0,0,0,6,0,0,0,3,1,0,7,0,1,2,0,0,1
1661,33898,1,4,0,26,41,0,2,112,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,3,2,1,26,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,5,18,18,0,44,0,5,7,1,0,9,0,0,0,1,0,1,0,0,0,2,0,2,4,1,2,0,0,0,0
1681,33974,0,3,0,24,46,0,3,104,5,4,0,0,0,2,0,0,1,0,0,0,1,0,24,0,0,0,0,0,2,0,4,0,1,18,3,0,8,0,0,0,0,2,0,0,0,0,0,0,0,3,25,24,0,61,0,4,7,2,3,28,0,0,1,1,1,0,0,0,0,3,0,3,4,0,2,0,0,0,0
1701,34050,0,5,0,15,72,0,1,80,4,4,3,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,2,0,28,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,25,11,0,49,0,3,11,0,0,15,0,0,0,0,0,2,0,0,0,1,0,0,4,0,2,0,0,0,0
1721,34126,0,8,3,50,50,0,1,79,9,3,0,0,0,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,36,2,0,2,2,0,0,0,0,4,0,0,0,0,0,1,2,48,34,0,49,0,4,9,0,1,18,0,0,0,0,0,1,0,0,0,2,0,0,5,0,8,0,0,0,0
1741,34203,0,2,2,12,43,0,1,110,5,2,3,0,0,0,0,0,0,2,0,0,0,1,22,0,1,0,0,0,1,0,3,0,2,18,6,0,4,0,0,0,0,0,0,0,1,0,2,0,0,8,53,26,1,58,0,2,6,2,0,19,1,0,0,1,0,1,0,0,1,1,2,1,0,0,3,0,0,0,0
1761,NA,0,0,2,28,48,0,1,101,9,4,1,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,1,0,0,0,13,0,0,26,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,9,24,10,0,26,1,5,4,0,0,9,0,0,0,0,0,1,0,1,0,3,0,0,6,0,3,0,0,0,0
1779,NA,0,2,2,33,32,0,0,140,9,1,0,0,0,0,0,0,0,2,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,19,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,22,14,0,70,0,5,7,0,0,10,0,0,0,0,0,2,0,0,0,4,1,0,7,0,3,0,0,0,0
1797,NA,0,0,0,41,20,0,1,119,5,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,2,29,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,37,20,0,39,1,3,5,0,0,8,0,0,0,1,0,0,0,0,0,3,0,0,7,0,1,0,0,0,0
1817,NA,0,1,3,24,34,0,1,153,3,4,1,0,0,0,0,0,0,2,0,2,0,0,10,0,0,0,0,0,0,0,1,0,1,22,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3,26,8,0,38,0,2,4,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,4,0,5,0,0,0,0
1836,NA,0,1,0,58,53,0,1,203,12,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,1,1,27,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,24,7,0,47,0,8,5,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,5,0,6,2,0,0,0
1856,NA,0,0,1,53,36,0,0,159,3,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,41,4,0,6,1,0,1,0,0,0,0,0,0,0,0,0,1,28,10,1,26,0,7,3,0,0,1,0,0,0,0,0,2,0,1,0,3,0,0,4,0,6,0,0,0,0
1876,NA,0,0,0,37,58,1,1,115,5,4,0,0,0,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,2,2,0,1,31,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2,42,22,3,37,0,6,5,0,0,5,0,1,1,0,0,1,1,0,0,0,0,0,4,0,4,0,0,0,0
1886,NA,0,0,0,13,9,0,0,50,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,13,4,0,35,2,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0
1892,NA,0,0,0,10,10,0,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,23,18,0,35,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0
1907,NA,0,0,0,5,11,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,13,7,0,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0
1919,NA,0,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
