"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus.canadensis","Cornus.racemosa","Corylus","Cyperaceae","Dryopteris.carthusiana","Ephedra","Epilobium","Equisetum","Fabaceae","Fagus","Filicopsida.undiff.","Filipendula","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Huperzia.lucidula","Juglans","Juniperus.Thuja","Lamiaceae","Larix","Lycopodiaceae.undiff.","Menyanthes.trifoliata","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ophioglossum","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea.glauca","Picea.mariana","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum.undiff.","Polygonum.viviparum","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rubus","Rumex","Salix","Saxifraga.oppositifolia","Shepherdia","Shepherdia.argentea","Sphagnum","Thalictrum","Thelypteris","Tilia","Tsuga","Typha","Ulmus","Urticaceae","Viburnum","Vitis","Woodsia"
1136,8263,8,2,9,10,4,2,3,0,0,1,0,0,0,74,0,1,3,0,0,0,0,0,0,6,3,0,0,0,0,0,6,3,0,11,2,0,0,2,0,1,8,0,0,0,4,0,1,0,0,0,0,24,0,3,2,234,498,2,1,0,0,0,0,0,44,1,1,0,5,0,0,0,0,0,0,0,0,6,0,25,0,0,0,0
1137,8304,3,1,2,6,6,2,0,0,0,4,3,0,0,104,0,0,4,0,0,0,0,0,0,16,4,0,0,0,0,0,6,2,0,12,0,0,0,0,3,0,2,2,0,0,0,0,3,0,0,0,1,18,1,5,0,100,609,3,6,0,0,0,2,0,49,0,0,0,1,3,0,0,0,0,0,0,1,10,1,15,0,0,0,0
1138,8345,6,1,0,6,2,1,3,1,1,3,3,0,0,103,0,0,1,1,0,2,0,0,0,5,1,0,0,0,0,0,7,5,0,5,0,0,0,2,2,0,3,1,0,0,1,1,0,0,0,0,0,8,0,4,0,186,606,4,0,0,0,0,6,0,16,0,0,0,4,2,0,0,0,0,0,0,0,5,0,19,0,1,0,0
1139,8386,5,4,1,6,0,1,0,0,0,2,2,0,0,76,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,7,2,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,9,0,146,656,2,1,0,0,0,0,1,41,1,0,0,4,3,0,0,0,0,0,0,0,5,1,19,0,0,0,0
1140,8427,11,3,2,7,3,4,0,0,0,1,4,0,0,121,0,0,2,0,1,0,0,0,0,10,4,0,0,0,0,0,3,4,0,10,4,0,0,0,3,0,6,1,0,0,2,0,2,0,2,0,0,4,0,6,1,166,570,4,1,0,0,1,2,1,34,0,0,0,5,2,0,0,0,0,0,0,0,7,0,27,0,0,0,0
1142,8508,0,5,0,11,1,1,0,0,0,0,1,0,0,117,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,12,1,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,6,0,4,0,199,539,10,0,0,0,0,0,0,34,0,0,0,3,1,0,0,0,0,0,0,0,11,0,23,0,0,0,0
1144,8590,4,5,0,7,3,1,0,0,0,1,0,0,0,148,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,6,1,0,16,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,3,0,10,1,140,580,2,2,0,0,0,0,0,44,0,0,0,5,1,0,0,0,0,0,0,0,8,1,25,0,0,0,0
1146,8672,2,10,0,12,4,0,0,0,1,7,8,0,0,125,0,0,2,0,0,0,0,0,0,11,5,0,0,0,0,1,9,8,1,13,0,0,0,1,8,0,1,1,0,0,3,0,5,0,0,0,0,11,1,6,0,144,497,4,7,1,0,2,0,4,52,0,0,0,4,0,0,0,0,0,0,0,0,5,0,29,0,0,0,0
1148,8754,5,5,1,2,4,0,0,0,0,3,5,0,0,123,0,0,3,0,0,0,0,0,0,12,2,0,0,0,0,0,7,3,0,9,1,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,9,0,8,0,86,619,3,1,0,0,0,2,1,69,0,0,0,2,0,0,0,0,0,0,0,1,4,0,21,0,0,0,0
1150,8835,5,4,0,6,4,2,0,0,0,2,2,0,0,151,0,0,1,0,0,0,0,0,0,17,4,0,0,0,0,0,8,0,0,17,1,0,0,0,13,0,4,0,0,0,1,0,1,0,0,0,0,7,0,13,0,125,498,4,3,0,0,1,0,1,62,1,0,0,5,2,0,0,0,0,0,0,0,15,0,23,0,0,0,0
