"sample.depths","sample.ages","Acer.rubrum","Artemisia","Betula","Carya","Caryophyllaceae","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Ilex","Asteraceae.subf..Cichorioideae","Nyssa","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rubus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Ambrosia","Alnus.viridis","Rosaceae.undiff.","Myrica.Comptonia.peregrina","Amaranthaceae","Caprifoliaceae","Brassicaceae","Plantago","cf..Hypericum","Abies","Acer.undiff.","Ostrya.Carpinus","Rhus","Scrophulariaceae","Juglans.cinerea","Zea.mays","Fabaceae","Iva","Fraxinus.pennsylvanica","Cupressaceae.Taxaceae","Solanum","Castanea","Fraxinus.nigra","Platanus","Tilia","Alnus.incana","Helianthemum","Hudsonia","Betulaceae.Myricaceae.undiff.","Liquidambar","Polygonaceae.undiff.","Onagraceae","Lamiaceae","Rhamnus","Juglans.nigra","Ranunculaceae.undiff."
255,3406,0.00252206809583859,0.00504413619167718,0.0529634300126103,0.00756620428751576,0,0.0126103404791929,0.00252206809583859,0.00504413619167718,0.0933165195460277,0.00756620428751576,0.0126103404791929,0,0.0176544766708701,0.00252206809583859,0.00504413619167718,0.0100882723833544,0.051702395964691,0.436317780580076,0,0,0,0.00252206809583859,0.0176544766708701,0,0.00252206809583859,0,0,0.0100882723833544,0.0302648171500631,0.168978562421185,0,0,0,0,0,0,0.0126103404791929,0.0151324085750315,0,0,0.00252206809583859,0,0,0,0.00504413619167718,0,0,0,0.00252206809583859,0.00504413619167718,0,0,0,0,0,0,0,0,0,0,0,0
275,3823,0,0.00789473684210526,0.0605263157894737,0.0105263157894737,0,0.0105263157894737,0.0105263157894737,0.0263157894736842,0.107894736842105,0.0315789473684211,0.0131578947368421,0.00526315789473684,0.00263157894736842,0.00131578947368421,0.00263157894736842,0.0157894736842105,0.0460526315789474,0.397368421052632,0,0.00263157894736842,0,0,0.00789473684210526,0.00263157894736842,0.00789473684210526,0.00263157894736842,0.0131578947368421,0.0105263157894737,0.0552631578947368,0.0894736842105263,0,0,0.00263157894736842,0,0.00263157894736842,0,0.0131578947368421,0.0184210526315789,0.00263157894736842,0,0.00263157894736842,0,0,0,0.00263157894736842,0,0,0,0.00526315789473684,0,0,0,0,0,0,0.00263157894736842,0,0,0,0,0,0.00526315789473684
285,4031,0,0.0103225806451613,0.0490322580645161,0.00258064516129032,0,0.0154838709677419,0.0103225806451613,0.0309677419354839,0.0980645161290323,0.0180645161290323,0.00774193548387097,0,0.00516129032258065,0,0,0.0103225806451613,0.0374193548387097,0.384516129032258,0,0.00774193548387097,0,0,0,0.00774193548387097,0.0129032258064516,0,0.00774193548387097,0.0258064516129032,0.0748387096774194,0.08,0,0,0,0,0.0129032258064516,0,0.0593548387096774,0,0,0,0.00258064516129032,0,0,0.0103225806451613,0.0129032258064516,0,0,0,0,0.00516129032258065,0,0,0,0,0,0,0,0,0,0,0,0
305,4448,0.00183150183150183,0.00915750915750916,0.0824175824175824,0.00183150183150183,0,0.0183150183150183,0.00366300366300366,0.0311355311355311,0.186813186813187,0.00915750915750916,0.0164835164835165,0,0.0128205128205128,0.00274725274725275,0.00183150183150183,0.0128205128205128,0.0613553113553114,0.228937728937729,0,0.00183150183150183,0,0.00183150183150183,0.00549450549450549,0.00183150183150183,0.00732600732600733,0.00183150183150183,0.00366300366300366,0.00915750915750916,0.126373626373626,0.126373626373626,0,0,0,0,0,0,0.0146520146520147,0.00549450549450549,0,0,0.00183150183150183,0,0,0,0.00183150183150183,0,0.00183150183150183,0,0.00183150183150183,0,0,0,0,0,0,0,0,0,0,0,0,0.00549450549450549
315,4656,0,0.00508905852417303,0.0763358778625954,0.00254452926208651,0,0.0152671755725191,0.0101781170483461,0.0101781170483461,0.302798982188295,0.00508905852417303,0.00763358778625954,0,0.00763358778625954,0.00254452926208651,0.00508905852417303,0.00254452926208651,0.0407124681933842,0.318066157760814,0,0,0,0,0.00254452926208651,0.00254452926208651,0.00508905852417303,0,0.00254452926208651,0.00763358778625954,0.0687022900763359,0.0559796437659033,0.00763358778625954,0,0,0,0.00254452926208651,0,0.0152671755725191,0,0,0,0,0,0,0.00254452926208651,0,0,0,0,0.00763358778625954,0.00254452926208651,0,0,0.00508905852417303,0,0,0,0,0,0,0,0,0
325,4864,0.0077319587628866,0.00515463917525773,0.0721649484536082,0.00515463917525773,0,0.0206185567010309,0.00257731958762887,0.0077319587628866,0.231958762886598,0.0128865979381443,0.0154639175257732,0,0.00257731958762887,0,0,0.00515463917525773,0.038659793814433,0.337628865979381,0,0,0.00257731958762887,0,0.00257731958762887,0.00257731958762887,0.0231958762886598,0,0.00515463917525773,0.0128865979381443,0.056701030927835,0.0850515463917526,0,0,0,0,0,0,0.0206185567010309,0.0077319587628866,0,0,0.00257731958762887,0,0,0,0.00515463917525773,0.00515463917525773,0,0,0,0,0,0,0,0,0.00257731958762887,0,0,0,0,0,0,0
335,5073,0,0,0.0389972144846797,0.00557103064066852,0,0.0167130919220056,0.00278551532033426,0.0167130919220056,0.108635097493036,0.00557103064066852,0.00557103064066852,0,0.0278551532033426,0,0.00278551532033426,0.00557103064066852,0.0389972144846797,0.49025069637883,0,0,0,0,0.0194986072423398,0.00278551532033426,0.00557103064066852,0,0,0.011142061281337,0.0724233983286908,0.064066852367688,0.00835654596100279,0,0,0,0.00278551532033426,0,0.0362116991643454,0,0,0,0,0,0,0.00278551532033426,0,0.00278551532033426,0,0,0.00278551532033426,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0
345,5281,0,0.00244200244200244,0.0781440781440781,0,0.00488400488400488,0.0170940170940171,0.00732600732600733,0,0.134310134310134,0.00732600732600733,0.00732600732600733,0,0.00976800976800977,0.00488400488400488,0.00488400488400488,0.00244200244200244,0.0671550671550672,0.490842490842491,0,0,0,0,0.0195360195360195,0,0.00732600732600733,0,0.00488400488400488,0.00732600732600733,0.0415140415140415,0.0512820512820513,0,0,0,0,0,0,0.00976800976800977,0.00732600732600733,0,0,0,0,0,0.00488400488400488,0.00244200244200244,0,0,0,0,0,0,0.00244200244200244,0,0,0,0,0,0,0,0,0,0.00244200244200244
355,5489,0,0,0.054719562243502,0,0.0027359781121751,0.0109439124487004,0.0054719562243502,0.0082079343365253,0.0656634746922025,0.0109439124487004,0.0109439124487004,0,0.0109439124487004,0,0.0027359781121751,0,0.0560875512995896,0.503419972640219,0,0,0.0027359781121751,0,0.0191518467852257,0.0027359781121751,0.0109439124487004,0,0.0082079343365253,0.0082079343365253,0.0930232558139535,0.0711354309165527,0,0,0,0,0,0,0.0082079343365253,0.0054719562243502,0,0,0,0,0,0,0.0054719562243502,0.0027359781121751,0,0,0.0027359781121751,0.0054719562243502,0,0,0,0,0.0109439124487004,0,0,0,0,0,0,0
365,5735,0,0.00248447204968944,0.0298136645962733,0,0,0.0248447204968944,0.00745341614906832,0.0173913043478261,0.0372670807453416,0.0173913043478261,0.00993788819875776,0,0.0149068322981366,0,0.00993788819875776,0.00745341614906832,0.0832298136645963,0.494409937888199,0,0,0,0,0.0124223602484472,0,0.0124223602484472,0,0,0.00496894409937888,0.0869565217391304,0.0571428571428571,0,0,0,0,0,0,0.0173913043478261,0.0124223602484472,0,0,0,0,0,0.00496894409937888,0,0,0,0,0.0149068322981366,0.00993788819875776,0.00248447204968944,0,0,0,0.00496894409937888,0,0,0,0,0,0.00248447204968944,0
375,6018,0,0.00282087447108604,0.0451339915373766,0.00846262341325811,0,0.0112834978843441,0.00282087447108604,0.0197461212976023,0.0479548660084626,0.0366713681241185,0.0197461212976023,0,0.00846262341325811,0,0.00846262341325811,0,0.0832157968970381,0.44851904090268,0,0,0,0,0.00846262341325811,0.00282087447108604,0.0197461212976023,0,0.00564174894217207,0.00282087447108604,0.0648801128349788,0.0874471086036671,0,0,0,0,0,0,0.0310296191819464,0.00282087447108604,0,0,0,0,0,0,0.0112834978843441,0,0,0,0,0.00846262341325811,0.00846262341325811,0,0,0,0.00282087447108604,0,0,0,0,0,0,0
385,6302,0,0,0.0504385964912281,0.00657894736842105,0,0.0131578947368421,0.0153508771929825,0,0.0153508771929825,0.0614035087719298,0.0043859649122807,0,0.0219298245614035,0,0.0153508771929825,0,0.230263157894737,0.385964912280702,0,0,0,0,0.0219298245614035,0.0043859649122807,0.0153508771929825,0.0087719298245614,0.00657894736842105,0.0087719298245614,0.00219298245614035,0.0679824561403509,0.00219298245614035,0,0,0,0,0,0.0197368421052632,0.00657894736842105,0.00219298245614035,0,0.00219298245614035,0,0,0,0,0,0,0,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0.0087719298245614
405,7083,0.00383509108341323,0.00383509108341323,0.0306807286673058,0.00191754554170662,0,0.0306807286673058,0.024928092042186,0.00383509108341323,0.00767018216682646,0.0651965484180249,0,0,0.00767018216682646,0.00191754554170662,0.00575263662511985,0.00767018216682646,0.269415148609779,0.37392138063279,0,0,0.00191754554170662,0,0.00575263662511985,0.0153403643336529,0.00767018216682646,0,0,0.0230105465004794,0.00191754554170662,0.0556088207094919,0.00575263662511985,0,0,0,0,0,0.0134228187919463,0.0172579098753595,0,0,0,0,0,0,0.00383509108341323,0.00191754554170662,0,0,0.00191754554170662,0,0.00191754554170662,0,0,0,0,0.00191754554170662,0,0,0,0,0,0.00191754554170662
425,7870,0,0,0.0485549132947977,0,0,0.0277456647398844,0.023121387283237,0.0369942196531792,0,0.120231213872832,0.0023121387283237,0,0,0.00115606936416185,0.0115606936416185,0.0046242774566474,0.395375722543353,0.194219653179191,0,0,0,0,0.0046242774566474,0.0323699421965318,0.0046242774566474,0,0.0115606936416185,0.023121387283237,0,0.046242774566474,0,0,0,0,0,0,0.0023121387283237,0.0023121387283237,0,0,0,0,0,0.0023121387283237,0.0023121387283237,0,0,0,0.0023121387283237,0,0,0,0,0,0,0,0,0,0,0,0,0
