"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Betula","Carya","Castanea","Ceanothus","Celtis","Corylus","Cupressaceae","Ephedra.viridis.type","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar.styraciflua","Morus","Myrica","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Prunus.type","Quercus","Rhus","Ribes","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Vitis","Ambrosia.type","Amelanchier.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","cf..Hypericum","Amaranthaceae","Cyperaceae","Fabaceae.undiff.","Galium","Humulus.lupulus","Iva.annua.type","Iva.xanthifolia.type","Melilotus.type","Phlox","Poaceae","Polygonum.lapathifolium.type","Rosaceae.undiff.","Thalictrum","Urtica.type"
1997,12694,307,20,0,0,0,0,1,0,2,4,0,0,0,2,2,0,0,90,0,1,1,1,0,0,0,43,54,0,0,0,1,2,0,0,37,0,0,3,0,0,1,0,0,14,0,4,0,0,0,2,2,0,0,0,3,7,0,0,1,0,0,0,0,8,0,0,1,0
2001,12764,311,20,0,0,1,1,1,0,4,1,0,0,3,1,3,0,0,70,2,3,0,1,0,0,0,23,70,0,0,10,2,4,0,0,37,0,0,7,0,1,0,0,0,6,0,4,0,0,0,6,2,0,0,0,1,8,0,0,1,0,0,0,0,13,0,1,4,0
2005,12837,298,24,0,0,0,1,5,0,1,3,0,0,1,3,0,0,0,80,0,1,1,2,0,0,0,22,75,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,18,1,10,0,0,0,9,1,0,0,0,1,9,0,0,2,1,0,0,0,4,0,0,1,0
2009,12912,312,24,0,0,0,2,0,0,1,2,0,0,0,1,3,0,0,58,0,0,0,5,0,0,0,34,80,0,0,1,1,3,0,0,43,1,0,3,0,0,0,0,0,7,0,6,0,0,0,10,3,0,0,0,2,6,0,1,4,0,0,0,0,10,0,0,1,0
2013,12990,300,22,0,0,0,2,3,0,2,4,0,0,1,4,1,0,0,70,2,1,1,2,0,0,0,19,74,0,1,2,0,3,0,0,31,0,0,6,0,0,0,0,0,7,0,10,0,0,2,6,1,0,0,0,1,8,0,0,2,3,1,0,0,8,0,0,0,0
2017,13067,319,10,0,0,3,1,2,0,2,1,0,0,1,2,2,0,0,76,0,2,0,1,0,0,0,53,43,1,0,6,3,4,0,0,49,2,0,3,0,0,0,0,0,21,0,7,0,0,0,8,0,0,0,0,1,6,0,0,2,0,0,0,0,6,0,0,1,0
2021,13144,321,8,0,0,0,2,2,0,0,6,1,0,1,0,2,0,0,101,6,0,1,0,0,0,0,17,68,0,0,0,0,1,0,0,43,0,0,6,0,0,0,0,0,19,0,6,0,0,0,7,1,0,0,0,1,9,0,0,4,0,1,0,0,8,0,0,0,0
2025,13220,320,14,1,0,2,0,1,0,1,0,0,0,1,3,0,0,0,73,0,3,0,3,0,0,0,22,108,0,0,0,1,4,0,0,38,0,0,3,0,0,0,0,0,12,0,10,0,0,0,2,2,0,0,0,1,5,0,0,4,0,0,0,0,2,0,0,4,0
2029,13293,295,8,0,0,0,1,2,0,0,0,0,0,3,1,1,0,0,74,4,3,0,0,1,0,0,17,97,0,0,0,0,1,1,0,33,0,0,4,1,0,0,0,0,10,0,8,0,0,0,7,5,0,0,0,1,8,0,0,0,0,0,0,0,3,0,0,1,0
2033,13366,303,19,0,0,1,0,2,0,2,4,0,0,3,4,1,0,0,82,0,1,0,0,0,0,0,13,64,2,0,6,1,5,0,0,41,0,0,3,0,0,0,0,0,16,0,2,0,0,0,11,1,0,0,0,2,7,0,0,3,0,0,0,0,5,0,0,2,0
2037,13437,320,20,0,0,0,0,0,0,0,3,0,0,1,1,3,1,0,63,1,0,0,0,0,0,0,23,138,0,0,3,0,5,0,0,29,0,0,2,0,0,0,0,0,5,1,8,0,0,0,4,1,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0
2041,13507,313,16,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,58,0,0,0,2,0,0,0,30,124,0,0,2,0,7,0,0,26,0,0,1,0,0,0,0,0,10,0,8,0,0,0,2,3,0,0,0,2,4,0,0,1,0,0,0,0,9,0,0,2,0
2045,13577,304,11,0,0,1,1,2,0,2,1,0,0,1,0,2,0,0,59,1,0,0,2,0,0,0,15,100,0,1,3,2,9,0,0,40,0,0,4,0,0,0,0,0,7,0,7,0,0,0,5,0,0,0,0,0,15,0,0,1,0,0,0,0,9,0,0,3,0
2049,13645,304,8,0,0,0,2,1,0,2,0,0,0,3,3,3,0,0,84,3,0,0,3,0,0,0,31,76,2,0,6,1,3,0,0,20,0,0,0,0,0,0,0,0,12,0,4,0,0,0,7,2,0,0,0,2,12,0,0,4,0,0,0,0,10,0,0,0,0
2053,13711,319,6,0,0,2,2,2,0,0,1,1,0,6,2,2,0,0,96,3,0,0,2,0,0,0,11,88,0,0,2,1,7,0,0,23,0,0,6,0,0,0,0,0,7,0,12,0,0,0,8,3,0,0,0,1,7,0,0,3,1,0,0,0,11,0,2,1,0
2057,13775,313,2,0,0,0,2,2,0,0,0,0,0,5,1,2,1,0,83,0,0,1,0,0,0,0,19,119,0,0,1,1,2,0,0,35,0,0,3,0,0,0,0,0,11,0,3,0,0,0,2,1,0,0,0,0,11,0,0,0,0,0,0,0,3,0,1,2,0
2061,13837,321,6,0,0,1,1,3,0,3,1,0,0,4,0,1,0,0,96,0,1,0,4,0,0,0,23,109,0,2,2,3,0,0,0,15,0,0,4,0,0,0,0,0,7,1,4,0,0,0,7,1,0,0,0,1,11,0,0,0,0,0,0,0,7,0,2,1,0
2065,13894,296,16,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,50,1,0,0,3,0,0,0,17,81,2,1,26,0,4,0,0,39,0,0,0,0,0,0,0,0,11,0,6,0,0,0,6,1,0,0,0,1,5,0,0,1,0,0,0,0,18,0,0,1,0
2069,13948,316,8,0,0,1,2,1,0,3,4,0,0,1,0,2,0,0,55,3,0,0,2,0,0,0,20,112,1,3,14,4,2,0,0,42,0,0,3,0,0,0,0,0,11,0,5,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,1,0
2073,13997,303,9,1,0,3,1,1,0,0,1,0,0,0,1,1,1,0,48,0,0,0,2,0,0,0,19,137,0,0,3,0,3,0,0,25,0,0,5,0,0,0,0,0,7,0,6,0,0,0,8,4,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,1,0
2077,14042,308,7,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,49,0,0,0,2,0,0,0,20,142,0,3,18,1,7,0,0,27,0,0,1,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,2,0,1,0,0
2081,14082,305,6,0,0,3,1,4,0,1,0,0,0,0,1,1,0,0,79,2,0,0,1,0,0,0,18,108,2,1,8,1,3,0,0,20,0,0,8,0,0,0,0,0,6,0,5,0,0,0,9,1,0,0,0,3,4,0,0,1,0,0,0,0,5,0,0,3,0
2085,14118,308,16,0,0,3,3,2,0,2,1,0,0,2,0,1,0,0,56,2,0,0,4,0,0,0,20,118,1,1,4,0,8,0,0,27,0,0,4,0,0,0,0,0,4,0,5,0,0,0,1,2,0,0,0,0,13,0,0,2,0,0,0,0,5,0,0,1,0
2089,14153,304,7,0,0,2,2,2,0,3,0,0,0,0,0,2,0,0,51,2,0,0,3,0,0,1,22,134,0,0,1,0,7,0,0,27,0,0,3,0,0,0,0,0,4,2,8,0,0,0,2,5,0,0,0,0,4,0,0,6,0,0,0,0,4,0,0,0,0
2093,14189,304,2,0,0,0,3,2,0,1,0,0,0,0,1,2,0,0,25,1,0,0,7,0,0,0,11,161,1,3,16,0,0,0,0,24,0,0,3,0,0,0,0,0,7,0,3,0,0,0,5,2,0,0,0,0,11,0,0,4,0,0,0,0,7,0,0,2,0
2097,14226,379,3,0,0,1,1,2,0,8,1,0,0,0,0,6,0,0,29,1,0,0,2,0,0,0,17,220,0,0,2,0,6,0,0,30,1,0,3,0,0,0,0,0,2,0,9,0,0,0,9,6,0,0,0,1,7,0,0,1,0,0,0,0,10,0,1,0,0
2101,14266,314,2,0,0,0,0,4,0,2,1,2,0,1,0,3,0,0,19,0,1,1,3,0,0,0,13,178,0,1,12,0,1,0,0,23,0,0,3,0,0,0,0,0,1,0,8,0,0,0,9,3,0,0,0,0,9,0,0,3,0,0,0,0,9,0,0,2,0
2105,14313,305,1,0,0,2,1,5,0,1,0,0,0,0,0,3,0,0,25,0,0,0,0,0,0,0,11,194,0,0,2,0,0,0,0,22,0,0,2,0,0,0,0,0,5,0,1,0,0,0,9,2,0,0,0,1,2,0,0,7,0,0,0,0,6,0,0,3,0
2109,14366,364,1,0,0,0,2,3,0,3,0,0,0,1,0,1,0,0,18,0,0,0,4,0,0,0,9,215,0,0,41,0,0,0,0,28,0,0,0,0,1,0,0,0,1,0,2,0,0,0,7,0,0,0,0,1,18,0,0,0,0,0,0,0,6,0,1,1,0
2113,14429,328,2,0,0,0,0,6,0,1,1,0,0,0,0,2,0,0,14,0,0,0,7,0,0,0,10,246,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,3,0,1,0,0,0,11,0,0,0,0,2,9,0,0,0,0,0,0,0,2,0,0,0,0
2117,14503,306,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,10,188,0,0,43,1,0,0,0,13,0,0,1,0,0,0,0,0,3,0,2,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0
2121,14587,319,2,1,0,0,0,2,0,0,1,0,0,0,1,2,0,0,7,0,0,0,6,0,0,0,6,238,0,0,1,0,0,0,0,11,0,0,2,0,0,0,0,0,2,0,7,0,0,0,13,0,0,0,0,0,7,0,0,1,0,0,1,0,8,0,0,0,0
2125,14683,302,4,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,11,192,0,0,16,0,1,0,0,13,0,0,2,0,0,0,0,0,1,0,5,0,0,0,16,1,0,0,0,0,12,0,0,0,0,0,0,0,5,0,1,1,0
2129,14789,295,0,0,0,1,0,4,0,6,1,0,0,0,2,2,0,0,17,1,0,0,6,0,0,0,4,180,0,1,2,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,5,0,0,0,15,1,1,0,0,1,15,0,0,0,0,0,0,0,15,0,0,2,0
2133,14907,314,14,0,0,0,0,1,0,3,1,0,0,1,0,1,0,0,14,0,0,0,3,0,0,0,7,210,0,0,6,0,3,0,0,18,0,0,1,0,0,0,0,0,2,0,2,0,0,0,6,1,0,0,0,0,12,0,0,0,0,0,0,0,6,0,1,1,0
2137,15036,314,1,0,0,1,1,8,0,3,0,0,0,0,0,1,0,0,17,2,0,0,5,0,0,0,10,216,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,0,1,0,0,0,12,0,0,0,1,0,5,0,0,1,0,0,0,0,4,0,0,2,0
2141,15175,321,6,0,0,2,0,4,0,2,1,0,0,0,0,1,0,0,21,1,0,0,6,0,0,0,7,196,0,0,11,0,2,0,0,12,0,0,2,0,0,0,0,0,1,0,6,0,0,0,15,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0
2145,15326,304,2,0,0,0,1,15,0,2,0,0,0,0,0,1,0,0,21,0,0,0,11,0,0,0,4,185,0,1,10,0,1,0,0,18,0,0,0,0,0,0,0,0,3,0,4,0,0,0,11,1,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,2,0
2149,15487,342,4,0,0,1,1,5,0,4,0,0,0,0,0,4,0,0,26,0,0,0,13,0,0,0,6,196,1,1,8,0,2,0,0,16,0,0,1,0,0,0,0,0,2,0,8,0,0,0,19,0,0,0,0,1,15,0,0,1,0,0,0,0,7,0,0,0,0
2153,15656,391,0,0,0,1,0,14,0,4,1,0,0,0,0,2,0,0,45,0,0,0,6,0,0,0,8,250,0,0,5,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,22,1,0,0,0,1,7,0,1,0,0,0,0,0,4,0,0,0,0
2157,15833,401,6,1,0,1,0,7,0,3,0,0,0,0,0,1,0,0,36,1,0,0,19,0,0,0,7,228,0,0,10,0,3,0,0,20,0,0,1,0,0,0,0,0,1,0,5,0,0,0,19,1,0,0,0,1,21,0,0,0,0,0,0,0,6,0,1,2,0
2161,16016,308,4,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,20,0,0,0,20,0,0,0,2,196,1,0,8,0,2,0,0,10,1,1,2,0,0,0,0,0,1,0,2,0,0,0,7,3,0,0,0,1,12,0,0,0,0,0,0,0,7,1,0,1,0
2165,16203,305,1,0,0,0,1,5,0,3,2,0,0,0,0,0,0,0,19,0,0,0,18,0,0,0,2,178,0,0,16,0,2,0,0,10,0,0,1,0,0,0,0,0,2,0,5,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,11,0,0,1,0
2169,16393,304,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,4,237,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
2177,NA,312,7,2,0,0,1,2,0,1,0,0,0,0,2,0,0,0,16,0,1,0,4,0,0,0,5,212,1,0,9,0,0,0,0,11,2,0,1,0,0,0,0,0,3,0,5,0,1,0,6,3,0,0,0,1,7,0,0,0,0,0,0,0,7,0,0,2,0
