"sample.depths","sample.ages","Indeterminable","Unknown","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana","Alnus.viridis","Amelanchier.type","Betula","Carya","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ephedra.trifurca.type","Ephedra.viridis.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides.type","Populus.undiff.","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Tilia","Ulmus","Vitis","Allium.type","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Dalea.candida","Dalea.purpurea.type","Dalea.undiff.","Euphorbia","Galium","Humulus","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Liliaceae","Myrica","Phlox","Plantago","Poaceae.undiff.","Polygonum.amphibium","Polygonum.lapathifolium.type","Ranunculaceae..tricolpate.","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba.canadensis","Thalictrum","Urtica","Xanthium","Adiantum","Cyperaceae","Dryopteris.type","Equisetum","Lemna","Myriophyllum","Nuphar","Nymphaea","Pediastrum","Stuckenia","Potamogeton","Pteridium","Sagittaria","Sparganium.type","Sphagnum","Spore..monolete.","Spore..trilete.","Typha.latifolia","Zea.mays","Sample.volume..ml.","Spike.tablets..added..number.","Spike.tablets..concentration..grains.tablet.","Lycopodium.spike..number.counted."
1545,7506,5,2,1,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,8,0,0,2,0,21,10,0,0,0,3,0,0,127,0,1,85,9,0,0,34,0,0,0,0,1,0,3,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,10679,83
1552.5,7598,5,1,0,0,0,0,0,5,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,10,2,13,0,0,0,0,18,8,1,0,0,6,0,0,26,14,0,110,2,0,0,28,0,0,1,0,0,0,1,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,10679,75
1560,7693,7,3,0,0,0,0,1,10,2,0,8,2,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,6,0,7,2,33,0,0,0,1,28,8,2,2,0,7,0,0,38,4,0,65,12,0,0,30,0,0,0,1,0,1,2,2,3,0,0,0,0,58,0,0,0,0,1,2,0,2,0,0,1,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,2,10679,127
1567,7783,6,0,0,0,0,0,0,4,3,0,10,0,0,0,0,3,0,0,0,2,2,3,0,0,0,0,0,7,2,23,3,13,0,0,1,0,34,13,0,0,0,12,0,0,26,8,1,110,4,0,0,23,0,0,0,0,0,0,2,2,0,0,0,0,0,74,0,0,0,0,0,0,0,1,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,10679,46
1575,7888,8,0,4,0,0,0,0,4,4,0,17,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,3,4,11,8,15,0,1,3,0,18,7,2,0,0,13,0,0,49,0,0,63,6,0,0,41,0,0,0,0,0,0,3,0,0,0,0,0,0,55,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,10679,107
1582,7982,4,1,0,0,0,0,0,3,4,0,13,0,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,2,0,15,0,10,0,0,0,0,36,10,0,0,0,7,1,0,36,5,0,77,4,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,10679,102
1590,8091,15,2,0,0,0,0,2,6,5,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,5,0,15,1,17,0,0,0,1,43,16,0,1,0,9,0,0,38,0,0,40,6,0,0,24,0,0,0,0,0,1,1,5,0,0,0,0,0,98,0,0,0,0,3,0,0,4,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,10679,104
1595,8160,2,2,0,0,0,0,0,6,1,0,9,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,21,0,5,0,0,0,0,45,13,0,0,0,8,0,0,34,10,0,76,3,1,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,73,0,0,0,0,0,0,0,3,0,1,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,2,10679,45
1600,8229,3,2,0,0,0,0,0,10,12,0,17,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,2,0,16,1,16,0,0,0,0,33,9,4,0,1,10,0,0,47,2,0,88,1,0,0,30,0,0,0,0,0,2,1,1,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,10679,89
1605,8299,7,1,0,0,0,0,0,10,1,0,14,1,0,0,0,1,0,0,0,2,0,7,1,0,0,0,0,2,3,24,3,14,0,0,0,0,30,10,3,0,0,10,0,0,37,3,1,65,1,0,0,39,0,0,0,0,0,0,2,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10679,95
1610,8370,3,0,0,0,0,0,0,4,3,0,11,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,21,0,0,0,0,29,11,4,0,0,11,0,0,70,3,0,77,4,0,0,29,0,0,0,0,0,0,4,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10679,94
1615,8441,3,0,0,0,0,0,0,4,4,0,9,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,6,0,16,0,10,0,0,0,1,29,16,1,0,0,10,0,0,38,4,0,81,3,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,2,10679,127
1620,8512,22,2,0,0,0,0,0,2,6,0,8,0,1,0,0,4,0,0,0,3,1,0,1,0,0,0,0,3,0,10,0,36,0,0,0,17,15,18,3,1,0,18,0,0,54,0,0,100,15,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,113,0,0,0,1,0,0,0,7,1,0,0,25,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,2,10679,136
1625,8583,9,4,0,0,0,0,1,4,1,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,5,28,34,0,0,0,0,1,26,6,5,0,0,18,0,0,38,7,1,57,3,1,0,22,0,0,0,0,0,0,2,1,0,0,0,0,0,53,0,0,2,1,0,1,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,10679,260
1630,8655,5,0,0,0,0,0,0,7,2,0,11,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,1,10,0,10,0,0,1,0,18,12,1,0,0,7,0,0,50,2,1,77,5,0,0,27,0,0,1,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,2,10679,114
1635,8728,4,4,0,0,0,0,1,5,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,1,9,0,0,0,1,23,11,2,0,0,5,0,0,48,5,1,98,1,0,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,10679,121
1640,8800,8,0,0,0,0,0,0,3,3,0,9,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,2,1,24,1,17,0,0,3,0,28,13,1,0,0,7,0,0,71,0,0,84,5,0,0,29,0,0,0,0,0,0,1,2,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,10679,93
1645.5,8880,8,2,0,0,0,0,1,4,6,0,8,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5,2,22,2,17,0,0,6,1,54,7,1,1,0,16,1,0,27,4,0,53,2,0,0,30,0,0,0,0,0,0,1,1,0,0,0,0,0,32,0,0,0,0,0,2,0,1,0,4,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,10679,15
1650,8945,7,4,0,0,0,0,0,3,7,0,4,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,24,0,0,0,0,17,3,0,1,0,24,0,0,116,0,1,91,8,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,3,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,10679,74
