"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Celtis","Corylus","Cupressaceae","Ephedra.nevadensis.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.argentea","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Iva.annua.type","Onagraceae","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum"
770,NA,228,2,0,2,0,0,31,2,0,0,4,0,0,0,7,1,0,6,0,0,15,22,67,1,9,26,3,0,0,0,0,3,2,0,1,0,4,0,0,0,15,0,0,0,2,1,0,0,0,2
780,NA,222,6,0,1,1,0,12,0,0,0,2,0,1,1,3,1,0,10,0,0,7,35,89,0,7,19,0,0,0,0,0,2,5,0,0,0,6,0,0,0,9,0,0,0,5,0,0,0,0,0
790,NA,219,1,0,0,1,0,24,3,1,0,3,0,0,0,7,1,0,4,0,0,12,25,65,0,3,39,0,0,0,0,0,3,8,0,0,0,3,0,0,1,10,0,0,0,5,0,0,0,0,0
800,NA,245,4,0,3,3,0,32,0,0,0,13,0,0,1,5,1,0,2,0,0,11,35,58,0,8,26,7,0,1,0,0,0,1,0,3,0,10,2,0,1,12,0,0,0,3,1,0,0,0,2
810,NA,234,1,0,5,2,0,12,0,0,1,7,0,0,0,2,2,0,12,0,0,9,47,77,0,3,20,3,0,1,0,0,2,1,1,0,0,4,4,0,0,15,0,0,0,2,0,0,0,0,1
820,NA,222,1,0,0,2,0,12,2,0,1,3,0,0,0,3,0,0,10,0,1,14,46,68,0,1,33,2,0,2,0,1,0,6,0,0,0,4,1,0,0,6,0,0,0,3,0,0,0,0,0
830,NA,218,0,0,0,0,0,19,3,0,0,2,0,0,0,3,0,0,8,0,0,6,42,81,0,3,23,2,0,0,0,0,4,6,0,1,0,3,2,0,0,8,0,0,0,1,0,0,0,0,1
840,NA,225,0,0,0,1,0,10,0,0,0,8,0,0,0,2,1,0,11,1,0,10,41,80,0,13,17,5,0,0,0,0,3,3,0,2,0,5,2,0,1,7,0,0,0,1,1,0,0,0,0
850,NA,223,0,0,0,4,0,12,1,0,0,4,0,0,0,1,0,0,9,0,0,4,71,65,0,2,23,1,0,0,0,2,2,4,0,1,0,3,0,0,0,12,0,0,0,2,0,0,0,0,0
860,NA,216,1,0,2,1,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0,0,84,70,0,0,12,1,0,1,0,0,4,1,0,2,0,3,2,0,0,5,0,0,0,0,0,0,0,0,1
870,NA,211,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,6,0,0,2,100,51,0,1,13,0,0,0,1,0,5,3,0,0,0,1,1,0,1,6,0,0,0,1,0,0,0,0,0
880,NA,239,2,0,1,4,0,26,0,0,0,2,0,2,0,0,0,0,0,0,0,0,63,91,1,1,6,2,0,0,0,0,3,4,0,0,0,2,1,0,0,25,0,0,0,1,0,0,0,0,2
890,NA,270,0,0,0,8,0,21,1,0,0,0,0,0,0,3,0,0,1,0,0,3,62,90,0,2,11,4,0,2,0,0,3,3,0,1,0,3,1,0,1,44,0,0,0,1,0,0,0,0,5
898,NA,285,2,0,1,4,0,13,0,0,0,1,0,0,0,2,0,0,0,0,0,1,72,90,1,2,8,4,0,2,0,0,3,0,0,1,0,6,3,0,1,58,0,0,0,7,0,0,0,0,3
910,NA,313,1,0,2,2,0,18,0,0,0,2,0,0,0,0,0,0,1,0,0,6,59,98,0,0,9,6,0,3,0,0,3,1,0,4,0,5,1,0,2,85,0,0,0,4,0,0,0,0,1
920,NA,322,0,0,0,3,0,15,2,1,0,21,0,0,0,6,0,0,0,0,0,16,61,39,0,8,23,20,0,3,0,0,0,8,0,1,1,16,1,0,1,67,0,0,0,8,1,0,0,0,0
930,NA,313,1,0,0,5,0,6,0,0,0,4,0,2,1,8,0,0,0,0,0,15,67,60,0,1,29,2,0,2,0,1,0,7,0,2,0,18,6,0,2,67,0,0,0,7,0,0,0,0,0
943,NA,308,1,0,0,0,0,4,2,0,2,4,0,1,0,5,0,0,0,0,0,12,52,75,0,2,37,8,0,0,0,0,0,6,0,8,0,18,0,0,0,66,0,0,0,5,0,0,0,0,0
950,NA,382,2,0,2,1,0,10,1,0,0,2,1,0,0,7,0,0,0,0,0,15,57,73,1,1,19,27,0,5,0,0,0,10,0,9,0,22,8,0,1,102,0,0,1,5,0,0,0,0,0
960,NA,316,1,0,0,2,0,14,2,0,0,3,0,0,0,3,0,0,0,0,0,12,89,61,1,0,13,17,0,1,0,0,0,1,0,2,0,17,2,0,0,73,0,0,0,2,0,0,0,0,0
970,NA,261,0,0,0,6,0,6,0,0,0,19,0,0,0,7,0,0,0,0,0,2,114,41,0,2,6,6,0,0,0,0,0,3,0,3,0,5,4,0,0,23,0,0,0,9,0,0,0,0,5
980,NA,272,0,0,1,2,0,11,1,0,0,8,0,0,0,5,0,0,0,0,0,10,73,68,0,1,22,8,0,0,0,0,0,0,0,9,0,12,10,1,1,23,0,0,0,5,0,0,0,0,1
990,NA,264,0,0,0,16,0,20,2,0,0,7,0,0,0,5,0,1,0,0,0,9,75,49,0,3,29,4,0,0,0,0,0,0,0,5,0,8,3,2,0,18,0,0,0,6,0,0,0,0,2
1000,NA,267,2,0,4,5,0,10,4,1,0,28,0,0,0,5,0,1,0,1,0,11,45,46,0,7,33,6,0,0,0,0,0,2,0,0,0,8,10,0,0,17,0,0,0,15,0,1,2,1,2
1010,NA,234,2,0,0,5,1,11,0,0,0,5,0,0,0,77,0,0,3,0,1,9,45,37,0,6,3,2,0,0,0,0,2,4,0,0,0,4,0,0,0,11,0,0,0,6,0,0,0,0,0
1020,NA,241,3,0,0,4,0,26,0,0,0,9,0,0,1,13,0,0,0,0,0,4,50,68,0,7,7,1,0,0,0,0,1,7,0,2,0,4,3,0,1,19,0,0,0,9,2,0,0,0,0
1030,NA,251,0,0,0,8,0,26,1,0,0,5,0,0,0,6,1,0,0,0,0,4,39,84,0,2,13,4,0,0,0,0,0,3,0,8,0,11,4,0,1,20,0,0,0,11,0,0,0,0,0
1040,NA,202,0,0,0,3,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,3,31,110,0,1,16,1,0,0,0,0,0,2,0,6,1,10,2,0,0,5,0,0,0,1,0,0,0,0,0
