"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Ostrya","Picea","Pinus.subg..Strobus","Pinus.undiff.","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae","Polygonum","Rosaceae","Sphagnum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Typha","Spore..monolete.","Spore..trilete.","Indeterminable"
730,8364,13,0,1,23,188,0,0,7,0,0,0,0,0,0,0,0,11,101,46,0,13,0,0,0,0,3,10,8,0,1,5,0,0,0,0,0,0,0,0,0,0,6,0,12
740,8569,25,0,2,6,199,0,0,8,0,1,0,3,0,0,0,0,5,16,183,0,11,1,0,0,1,5,2,1,2,8,0,0,0,0,0,4,0,0,0,0,0,0,0,16
750,8761,44,0,4,14,263,0,0,6,0,0,0,4,0,1,0,0,26,24,315,0,8,1,2,0,1,4,14,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,18
760,8826,53,0,1,18,318,3,0,2,0,0,0,5,0,0,0,0,21,14,257,0,5,1,0,0,0,10,20,9,1,9,7,0,0,0,2,0,0,0,0,0,0,0,0,16
770,8891,71,0,1,18,413,0,0,7,0,0,1,9,0,1,0,0,59,28,415,0,7,1,0,0,0,16,17,14,0,6,1,0,4,0,0,0,0,0,0,0,0,0,3,37
780,8957,71,0,1,26,321,1,1,12,2,0,0,1,0,0,3,0,36,14,237,0,14,0,0,1,0,4,10,16,3,1,2,0,4,0,1,3,0,0,0,0,0,2,1,18
790,9022,30,1,3,52,318,1,3,0,0,0,1,4,2,0,0,5,55,5,258,0,12,0,0,0,0,5,9,12,6,4,0,0,1,0,0,3,0,0,0,0,0,0,4,33
810,9152,37,0,1,25,329,0,0,14,0,0,1,1,0,0,0,0,70,7,231,0,7,4,0,0,0,9,11,18,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,13
820,9218,61,0,4,23,398,0,0,0,0,0,4,0,2,2,0,0,78,22,249,0,10,6,0,0,0,20,27,22,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,26
830,9283,89,0,4,12,301,0,0,10,0,0,2,2,1,0,4,0,117,0,289,0,7,3,0,0,0,13,19,11,0,16,1,0,0,0,0,0,0,0,0,0,0,0,1,32
840,9348,53,0,1,12,315,0,0,9,0,1,0,3,2,0,0,0,108,8,253,0,11,1,0,0,0,12,17,18,1,7,0,0,1,0,0,2,0,0,0,0,0,4,0,36
850,9413,30,0,1,11,299,0,0,1,0,2,0,14,3,0,0,0,110,4,365,0,32,11,0,0,0,13,33,34,0,7,0,0,3,0,0,3,0,0,0,0,0,8,3,30
860,9479,51,0,5,3,150,3,0,4,0,3,0,4,1,0,0,3,128,2,343,0,35,5,0,0,0,12,27,39,2,13,5,0,2,0,0,4,0,0,0,0,0,4,3,28
870,9923,22,1,0,6,35,0,0,2,0,1,0,6,1,0,0,0,128,2,209,0,19,4,0,1,0,23,20,19,1,6,0,0,1,0,0,3,0,0,0,0,0,1,7,14
880,10367,22,0,5,6,49,1,2,12,0,0,2,17,0,0,0,2,149,3,316,0,49,8,0,1,0,12,20,32,3,8,1,0,1,0,4,10,0,1,1,0,1,2,11,23
887,10679,1,0,4,4,31,5,4,7,0,0,0,14,2,0,0,2,76,0,162,0,29,6,0,0,0,11,19,37,1,14,5,0,1,0,3,7,0,1,3,0,0,0,9,17
