"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.undiff.","Adiantum","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium.lanceolatum","Botrychium.simplex","Botrychium.virginianum","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cheilanthes","Cornus","Corylus","Cyperaceae","Diphasiastrum.complanatum","Dryopteris.type","Ephedra","Equisetum","Ericales","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.undiff.","Huperzia.lucidula","Ilex","Ilex.Nemopanthus.undiff.","Impatiens","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Lamiaceae","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Magnolia","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda.cinnamomea","Osmunda.regalis","Osmunda.undiff.","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Viburnum"
1284,9558,0,15,0,0,0,0,0,2,5,2,1,0,0,32,0,0,0,0,0,13,1,0,0,0,0,1,6,5,0,0,0,0,0,5,2,19,6,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,84,371,0,13,0,3,0,6,322,0,0,0,0,5,0,0,0,0,1,0,5,15,1,58,0,0,0
1291,9697,2,20,0,0,2,0,0,2,4,0,3,4,0,58,0,0,0,0,0,6,0,0,0,0,0,0,6,10,0,0,0,0,0,1,3,34,5,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,96,1,71,341,0,6,3,2,0,5,265,0,0,0,0,3,0,2,0,0,0,0,2,3,0,47,0,0,0
1300,9796,5,10,0,0,1,0,0,1,5,0,3,3,0,53,0,0,0,1,0,1,0,0,0,0,0,0,5,7,0,0,0,0,0,4,5,33,6,0,0,0,0,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2,95,523,0,5,0,2,0,2,217,0,0,0,0,0,0,1,0,0,1,0,2,14,2,48,1,0,0
1308,9884,4,6,4,0,1,0,0,0,3,0,2,0,0,60,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,34,4,0,0,0,0,7,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,75,466,0,10,5,5,0,6,195,1,0,0,0,1,1,0,0,0,2,0,1,5,1,52,1,0,0
1316,9972,4,9,0,0,1,0,0,1,0,0,0,0,0,48,0,0,0,0,0,4,0,0,0,0,0,0,6,5,0,0,0,0,0,5,3,27,14,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,46,520,0,14,2,2,0,3,145,0,0,0,1,4,0,0,0,0,0,0,0,7,0,42,0,0,0
1324,10060,6,20,0,0,2,0,0,1,4,0,3,2,0,51,0,0,0,2,0,4,0,0,0,0,0,0,4,10,1,0,0,0,0,2,4,18,12,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,3,84,494,0,7,5,10,0,13,159,0,0,0,0,6,0,0,0,0,1,0,0,8,1,69,0,0,0
1332,10147,5,6,0,0,4,0,0,1,7,0,3,0,0,54,0,0,0,0,1,4,0,0,0,0,0,0,10,2,0,0,0,0,0,2,5,23,2,0,0,0,0,0,0,5,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5,69,546,0,10,2,4,0,5,126,0,0,0,0,2,0,1,0,0,1,0,0,6,0,41,0,0,0
1340,10235,12,7,0,0,2,0,0,0,1,0,5,3,0,95,0,0,0,0,0,9,0,0,0,0,0,0,1,5,0,0,0,2,0,1,4,41,1,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,80,585,0,0,1,3,0,8,151,1,0,0,0,4,0,0,0,0,1,0,1,13,0,64,0,0,0
1348,10323,7,4,0,0,0,0,0,0,2,0,1,1,0,71,0,0,0,0,0,4,0,0,0,0,0,0,4,5,1,0,0,1,0,1,3,28,4,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,189,476,0,2,4,8,0,8,121,0,0,0,0,4,0,0,0,0,2,0,0,6,0,75,1,0,0
1352,10458,17,5,0,0,2,0,0,1,5,0,1,0,0,90,0,0,0,0,0,4,0,0,1,0,0,0,5,3,0,0,0,0,0,1,4,24,1,0,0,0,1,0,0,1,0,1,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,8,148,535,0,4,3,24,0,11,105,0,0,0,0,6,0,0,0,0,0,0,0,6,0,72,0,0,0
1356,10594,10,6,1,0,0,0,0,0,2,0,4,1,0,231,0,0,0,0,0,4,0,0,2,0,0,0,11,6,0,0,0,1,0,1,3,30,3,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,1,149,354,0,2,3,11,0,11,114,0,0,0,0,4,0,0,0,1,1,0,0,4,0,72,0,0,0
1360,10729,10,7,1,0,1,0,0,3,5,0,5,1,0,117,0,0,0,0,0,10,0,0,0,0,0,0,5,6,0,0,0,0,0,1,3,32,6,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,16,75,340,0,4,2,29,0,13,118,0,0,0,0,3,0,2,0,0,0,0,0,4,1,94,0,0,0
1364,10864,26,13,0,0,0,0,0,1,1,0,5,1,0,95,0,0,0,0,0,11,0,0,1,0,0,0,10,5,1,0,0,0,0,1,3,32,8,0,0,0,0,1,0,3,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,29,37,417,0,3,8,18,0,13,144,1,0,0,0,6,0,1,1,0,0,0,0,3,0,101,0,0,0
1372,11134,33,7,2,0,2,0,0,3,6,0,1,3,0,78,0,0,0,0,0,5,0,0,0,0,0,0,2,11,0,0,0,1,0,3,4,37,4,0,0,0,0,3,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,86,26,44,321,0,0,9,28,0,15,168,0,0,3,0,11,0,0,0,0,2,0,0,2,1,61,5,0,0
1380,11405,30,6,0,0,3,0,0,0,4,0,6,3,1,32,0,0,0,0,0,4,0,0,0,0,0,0,18,18,1,0,0,2,0,4,5,51,6,0,0,0,0,0,0,4,0,8,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90,42,7,399,0,7,3,25,0,10,133,1,0,0,0,3,0,0,0,1,1,0,0,3,0,35,0,0,0
1388,11675,3,2,0,0,4,0,0,0,2,0,6,3,0,15,0,0,0,0,0,3,0,0,0,0,0,0,7,8,0,0,0,0,0,1,7,27,2,0,0,0,0,0,0,3,0,11,0,26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,30,107,15,502,0,3,6,22,0,5,88,0,0,0,0,8,0,0,2,0,0,0,0,6,0,33,1,0,0
1396,11945,6,4,0,0,8,0,0,0,3,0,13,4,0,38,0,0,0,0,1,2,0,0,0,0,0,1,3,16,1,0,0,3,0,0,8,32,6,0,0,0,0,0,0,1,0,19,0,44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,34,202,13,309,0,2,9,50,0,10,105,2,0,0,0,13,0,0,1,1,0,0,0,4,1,34,2,0,0
1406,NA,5,3,0,0,8,0,1,1,8,1,14,6,0,61,0,1,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,9,0,2,2,27,0,0,0,0,0,4,0,5,0,26,1,31,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,28,232,22,195,0,0,34,129,0,6,106,0,0,0,0,23,0,1,0,0,0,0,0,10,0,51,4,0,0
1414,NA,2,1,0,0,5,0,0,0,1,0,12,5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,218,5,136,0,0,9,31,1,0,35,0,3,0,0,4,0,0,0,4,0,0,1,8,0,4,2,0,0
1446,NA,1,0,0,1,4,0,0,0,9,0,24,5,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,35,0,0,0,5,0,0,1,11,1,0,0,0,0,2,0,1,0,25,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,360,1,20,0,0,15,7,4,0,30,2,0,0,0,6,0,0,0,0,0,1,0,0,0,6,2,0,0
