"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myricaceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnaceae","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Commelinaceae","Cyperaceae","Fabaceae","Galium","Hepatica","Liliaceae","Plantago","Poaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Saxifragaceae","Thalictrum","Urticaceae","Zea.mays"
416,4957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,5017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,5137,439,0,14,27,25,0,33,2,1,0,2,0,0,12,29,0,1,1,1,0,0,1,0,4,0,17,11,1,0,237,0,0,0,0,1,3,7,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,5197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,5257,451,0,14,35,20,0,31,4,0,2,2,0,0,24,15,0,5,0,0,0,0,0,1,0,0,10,12,1,0,239,0,0,0,0,3,10,7,2,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0
451,5377,486,0,8,38,29,1,34,8,0,4,1,1,0,30,18,2,4,0,0,0,0,0,1,9,0,13,10,5,2,248,0,0,1,0,0,10,3,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,5449,500,0,9,47,28,0,38,3,1,6,0,1,3,25,15,1,5,0,0,0,0,0,2,7,0,10,9,12,0,252,0,0,0,0,3,8,9,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
462,5509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,5569,470,0,10,46,23,0,25,3,0,0,0,0,0,21,11,2,4,0,1,1,0,0,2,9,0,4,10,4,0,274,0,0,0,0,1,3,10,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,5652,423,0,18,36,23,0,33,7,0,3,1,0,0,18,13,3,4,0,0,0,0,0,0,10,0,15,11,2,0,184,0,0,0,0,2,21,8,1,1,0,1,0,1,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0
