"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Ostrya.Carpinus","Other.trees.and.shrubs","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.Iva","Apiaceae","Artemisia","Asteraceae.undiff.","Brassicaceae","Cannabis.sativa","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Fabaceae","Humulus","Liliaceae","Other.herbs","Plantago","Poaceae","Polemoniaceae","Polygonaceae.undiff.","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Pediastrum","Brasenia.schreberi","cf..Utricularia","Isoëtes","Myriophyllum","Nuphar","Other.aquatics","Potamogeton","Sagittaria","Sparganium","Typha.latifolia","Spore..monolete.","Spore..trilete.","Unknown","pre.Quaternary..spore."
1050,9063,1,2,7,11,3,0,0,0,0,2,4,0,0,19,0,5,1,1,46,2,0,103,0,3,0,2,0,26,0,30,0,4,3,0,0,0,4,3,0,0,0,0,0,22,0,0,0,0,1,1,0,233,0,0,0,0,0,0,1,0,0,0,3,0,0,0
1060,9090,0,3,1,8,9,3,0,0,0,8,4,0,0,20,0,6,1,1,44,1,0,118,0,2,0,2,0,30,0,18,0,5,4,0,0,0,5,5,0,0,0,0,0,15,0,0,0,0,0,1,0,356,0,0,0,0,1,0,0,0,0,4,7,0,0,0
1070,9116,1,1,1,12,8,3,0,0,0,7,3,0,0,11,0,24,0,0,44,1,0,98,0,3,0,2,0,35,0,18,0,5,1,2,0,0,1,4,0,0,0,1,0,24,0,0,0,0,0,0,0,98,0,0,0,0,1,0,1,0,0,2,4,0,3,0
1080,9143,0,6,2,9,1,3,0,0,0,4,1,0,0,13,1,10,0,0,47,0,0,116,0,2,0,5,0,29,0,25,0,8,2,0,0,0,11,3,0,0,0,0,0,13,0,0,1,1,0,1,0,140,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1100,9196,1,1,0,9,5,2,0,0,0,13,2,0,0,19,0,3,3,0,51,1,0,106,0,1,0,2,0,39,0,16,0,5,5,0,0,0,6,1,0,0,0,1,0,25,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,3,3,0,0,0
1110,9223,1,1,2,11,6,2,0,0,0,9,1,2,0,6,1,13,0,0,44,3,0,123,0,5,0,3,0,21,0,20,1,3,3,3,0,0,6,5,0,0,0,0,0,32,0,0,0,1,0,0,0,128,0,0,0,0,0,0,0,0,0,9,6,0,0,0
1120,9249,0,2,2,6,5,1,0,0,0,5,0,0,0,20,0,4,0,3,49,0,0,121,0,2,0,4,0,33,0,29,0,6,2,0,0,0,9,0,0,1,0,0,0,16,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,2,4,0,0,0
1130,9276,0,2,0,9,3,0,0,0,0,2,3,0,0,6,0,2,0,0,35,0,0,149,0,2,0,1,0,24,0,30,0,4,5,1,0,0,11,4,0,0,0,1,0,17,0,0,0,0,0,1,0,99,0,0,0,0,0,0,0,0,0,1,2,1,0,0
1140,9302,0,4,1,4,6,1,0,0,0,5,5,0,0,10,0,2,0,0,48,1,0,179,0,0,0,2,0,31,0,20,0,2,1,0,0,0,3,3,0,1,0,0,0,18,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,2,0,2,0
1150,9329,1,2,3,10,5,5,0,0,0,3,2,0,0,15,0,1,1,0,33,0,0,152,0,6,0,2,0,38,0,15,0,1,2,0,0,0,5,4,0,1,0,0,0,8,0,0,1,0,0,1,0,45,0,0,0,0,0,0,0,0,0,1,2,0,0,0
1160,9355,1,2,2,7,7,0,0,0,0,2,2,0,0,13,0,3,0,0,54,0,0,140,0,0,0,4,0,26,0,28,0,4,0,0,0,0,6,4,0,0,0,0,0,15,0,0,0,0,0,1,0,83,0,0,0,0,0,0,0,0,0,2,2,0,2,0
1170,9382,1,1,3,6,9,6,0,0,0,4,3,0,0,11,0,2,4,2,46,0,0,128,0,1,0,2,0,31,0,17,0,7,1,0,0,0,9,7,0,0,0,0,0,9,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,2,1,0
1180,9730,0,1,2,11,2,4,0,0,0,4,0,0,0,16,0,2,0,1,37,0,0,128,0,1,0,5,0,44,0,15,0,2,3,0,0,0,6,5,0,1,0,0,0,12,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,2,7,0,1,0
1190,10062,5,3,4,16,13,5,0,0,0,4,1,1,0,16,1,7,3,2,62,0,0,80,0,0,0,1,0,51,0,8,1,1,1,0,0,0,5,6,0,0,0,1,0,18,0,0,3,0,0,0,0,29,0,0,0,0,0,0,1,0,0,2,8,5,2,0
1220,10618,0,4,0,8,5,2,0,0,0,11,3,0,0,21,1,2,6,4,51,1,0,109,0,3,0,4,0,54,0,7,0,1,3,1,0,0,0,10,0,0,0,2,0,9,0,1,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,3,2,0
1230,10803,1,6,0,4,7,4,0,0,0,15,5,1,0,40,0,2,9,1,45,0,0,107,0,0,0,1,0,51,0,7,0,2,0,0,0,0,0,5,0,0,0,1,0,10,0,0,2,1,0,0,2,21,0,0,0,0,0,0,0,0,1,0,4,1,2,0
1240,10988,0,4,0,13,5,5,0,0,0,25,8,5,0,14,0,3,6,0,62,1,0,79,0,5,0,1,0,58,0,2,0,1,1,0,0,0,3,5,0,0,0,1,0,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,2,0,0
1250,NA,14,3,1,66,4,11,0,0,0,45,0,7,0,10,0,29,33,6,99,0,0,37,0,2,0,0,0,68,0,1,0,1,0,1,0,0,1,4,0,0,0,11,0,7,0,0,0,0,0,0,0,14,0,0,0,1,1,0,0,0,2,1,2,5,3,0
1260,NA,15,4,7,32,1,2,1,0,0,28,0,7,0,21,0,81,8,1,46,1,0,25,0,7,0,0,0,22,0,4,0,6,3,1,0,0,3,20,0,0,0,0,0,11,0,0,0,0,0,0,0,66,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1270,NA,8,1,11,35,0,3,0,0,0,28,0,4,0,16,1,88,3,0,11,0,0,26,0,4,0,0,0,20,0,5,0,16,0,3,0,0,3,25,0,0,0,0,0,9,0,0,1,0,0,3,0,128,0,0,0,0,0,0,2,0,0,2,2,5,1,0
1280,NA,4,0,10,25,1,10,0,0,0,11,1,4,0,19,0,95,2,0,20,0,1,34,0,5,0,0,0,7,0,8,0,18,3,1,0,0,4,11,0,0,0,2,0,10,0,0,1,0,0,1,0,274,0,0,0,0,0,0,3,0,0,0,0,2,1,0
1290,NA,6,1,6,11,2,4,1,0,0,22,1,4,0,9,1,151,1,0,6,0,1,15,0,3,0,0,0,6,0,4,0,11,2,0,0,0,2,14,0,2,0,1,0,16,0,0,0,0,0,1,2,143,0,0,0,0,0,0,2,0,0,3,4,7,2,0
1300,NA,8,2,3,3,1,21,0,0,0,38,0,2,0,27,0,89,0,0,11,0,0,20,0,7,0,0,0,12,0,16,0,26,7,0,0,0,5,14,0,1,0,10,1,14,0,0,0,1,0,2,1,205,0,0,0,0,0,0,0,0,0,3,0,1,0,0
1310,NA,0,1,1,3,2,6,0,0,0,63,1,0,0,12,1,115,0,0,1,0,3,30,0,2,0,0,0,7,0,9,1,15,1,0,0,0,1,12,0,2,0,0,0,11,0,0,0,1,0,2,0,68,0,0,0,0,0,0,4,0,0,0,0,2,0,0
1320,NA,1,1,2,1,0,0,0,0,0,50,0,3,0,11,1,194,0,0,3,0,2,16,0,0,0,0,0,5,0,8,0,9,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1330,NA,0,1,2,0,1,2,0,0,0,42,0,2,0,10,0,187,0,0,1,0,1,19,1,1,0,0,0,4,0,3,0,10,3,0,0,0,0,10,0,1,0,1,0,22,0,0,0,1,0,2,0,64,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1340,NA,0,0,4,6,0,0,0,1,0,20,0,5,0,4,0,193,0,1,3,0,2,6,0,3,0,0,0,3,0,6,0,9,5,0,0,0,0,10,1,5,0,7,0,13,1,0,0,0,0,2,0,113,0,0,0,2,0,0,0,0,0,1,3,0,2,0
1350,NA,2,1,4,3,0,2,0,0,0,4,0,5,0,3,0,200,0,0,9,0,0,8,0,5,0,0,0,2,1,8,0,18,5,0,0,0,1,14,0,1,0,2,0,3,0,0,0,1,0,4,0,122,0,0,0,0,0,0,2,0,0,0,1,1,2,0
1360,NA,0,0,4,2,0,0,1,0,0,8,0,1,0,3,0,208,0,0,3,0,0,10,0,0,0,0,0,1,0,1,0,16,2,0,0,0,1,26,0,0,0,0,0,11,0,2,0,2,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1370,NA,1,1,5,29,0,2,0,0,0,3,0,2,0,2,0,169,1,0,4,0,10,6,0,3,0,0,0,0,0,2,0,31,4,0,0,1,2,16,0,0,0,0,0,9,0,0,1,0,0,3,0,18,0,0,0,3,0,0,2,0,0,0,0,6,0,1
1380,NA,0,3,5,23,2,0,0,0,0,1,1,3,0,5,0,150,1,0,4,0,4,12,0,6,0,0,0,0,0,3,0,43,8,0,0,2,2,28,0,0,0,6,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
1400,NA,0,2,4,11,0,2,1,0,0,4,0,2,1,3,1,190,2,0,10,0,3,4,0,2,0,1,0,3,0,4,0,25,7,0,0,0,4,20,0,0,0,2,0,17,0,0,3,2,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,7,1,0
