"sample.depths","sample.ages","Acer.rubrum","Alnus","Carya","Casuarina","Cephalanthus.occidentalis","Citrus","Clematis.type","Conocarpus","Cornus","Diospyros","Ficus.aurea","Fraxinus.caroliniana","Ilex","Juglandaceae.undiff.","Magnolia.virginiana","Myrica.cerifera","Ostrya","Arecaceae","Picea","Pinus.elliottii","Psychotria","Quercus","Myrsine.cubana","Rhamnaceae","Rhizophora.mangle","Salix.caroliniana.type","Sideroxylon","Taxodium","Trema.micrantha","Ulmus","Vitis","Zanthoxylum.fagara","Amaranthaceae","Salicornia.type","Chenopodium.album.type","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Iva.frutescens","Anacardiaceae","Apiaceae","Brassicaceae","Euphorbiaceae","Fabaceae.undiff.","Crotalaria.type","Hippocratea.type","Hypericum","Lamiaceae","Ludwigia","Polygalaceae","Polygonum","Rumex","Sabatia.type","Solanaceae","Urticaceae","Verbenaceae","Waltheria.indica","Cerealia","Cladium.jamaicense","Cyperaceae.undiff.","Vaccinium.type","Unknown","Poaceae.undiff.","Dryopteris.type","Polypodium","Spore..monolete.","Drosera","Osmunda","Acrostichum","Spore..trilete.","Lemna.type","Myriophyllum.aquaticum","Nymphaea","Sagittaria","Type.182..Van.Geel.1983.","Typha.domengensis.latifolia.type","Typha..tetrad..undiff.","Lycopodium.tablets..concentration..grains.tablet.","Lycopodium.tablets..added..number.","Sample.volume..ml.","Lycopodium.spike..number.counted.","Indeterminable"
44,488,1,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,262,1,0,0,0,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,4,0,1,0,4,0,5,0,0,0,10,0,0,10679,1,1,89,0
47.5,583,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,2,0,0,0,1,0,265,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,6,8,0,0,0,2,1,3,0,0,0,4,0,0,10679,1,1,86,0
51,669,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,20,0,3,0,0,0,2,0,232,0,0,0,0,10,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,18,0,0,0,0,7,0,5,0,0,0,2,0,0,10679,1,1,123,0
56,754,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,21,0,4,0,0,0,9,0,258,0,0,0,0,1,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,8,5,0,0,2,1,2,0,1,0,12,0,0,10679,1,1,74,0
60,779,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,3,0,0,0,32,0,5,2,0,0,2,0,167,0,0,0,0,15,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,40,0,4,0,0,6,0,5,1,0,1,8,0,0,10679,1,1,500,1
64,786,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,245,0,0,0,0,10,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,3,1,3,0,0,0,7,0,0,10679,1,1,47,0
71,845,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,3,0,0,0,16,0,6,1,0,0,5,0,265,0,0,0,0,8,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,4,2,0,2,1,3,0,0,1,3,0,0,10679,1,1,99,0
71.5,855,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,14,0,3,0,0,0,4,0,237,0,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,6,5,1,0,1,2,5,0,0,1,5,0,0,10679,1,1,51,0
77.5,1038,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,3,0,1,0,2,0,280,0,0,0,0,14,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,5,4,2,0,0,2,0,2,0,0,1,7,0,0,10679,1,1,74,0
79,1104,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,238,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,3,0,0,2,1,5,0,0,0,4,0,0,10679,1,1,48,0
83,1319,3,0,0,0,4,0,0,0,0,0,0,13,0,0,0,2,0,0,0,29,2,7,2,0,0,14,0,145,0,0,0,0,12,0,0,10,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,7,11,0,0,0,2,8,0,4,2,0,2,5,1,0,10679,1,1,338,2
87,1592,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,56,0,1,0,5,0,58,0,135,0,0,0,0,15,3,0,57,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,2,4,2,0,16,0,2,0,0,1,1,0,0,10679,1,1,66,0
91,1925,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,2,0,32,0,5,0,0,0,29,1,166,0,0,1,0,19,0,0,12,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,5,12,0,0,1,0,7,0,1,4,0,8,4,0,0,10679,1,1,255,3
95,2306,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,62,0,7,0,1,0,14,0,167,0,0,0,0,2,0,0,12,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,6,3,3,1,0,1,0,0,0,0,0,1,0,0,10679,1,1,95,0
99,2705,1,0,0,0,3,0,0,1,0,0,1,10,0,0,0,0,0,0,0,128,0,8,0,0,0,4,0,140,0,1,0,0,22,2,0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,4,1,10,1,0,0,11,1,2,2,1,3,3,0,0,10679,1,1,129,0
