"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Urtica.type","Corylus.cornuta","Fagus","Ranunculaceae.undiff.","Sambucus","Sedum","Thalictrum","Onagraceae","Carya.ovata","Tsuga.canadensis","Salix.undiff.","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Castanea.dentata","Abies","Taxus","Ostrya.Carpinus","Potentilla.palustris.type","Abies.balsamea","Acer.saccharum","Populus.balsamifera.type","Rubus.chamaemorus","cf..Diapensia.lapponica","Rubiaceae","Dalea","Juglans.cinerea","Shepherdia.canadensis","Caryophyllaceae","Viburnum","Salix.herbacea.type","Salix.vestita.type","Polygonum.viviparum","Saxifraga.stellaris.type","Rhamnus.alnifolia.R..frangula","Fabaceae.undiff.","Acer.saccharinum"
227,7236,0.00638977635782748,0.172523961661342,0.00319488817891374,0.0159744408945687,0.194888178913738,0.0638977635782748,0.00638977635782748,0,0,0.012779552715655,0.00319488817891374,0.178913738019169,0.012779552715655,0.0511182108626198,0.00319488817891374,0,0,0.0159744408945687,0.00638977635782748,0.00319488817891374,0.0766773162939297,0.0638977635782748,0.012779552715655,0,0.0575079872204473,0,0.00638977635782748,0,0.00638977635782748,0,0,0,0,0,0,0.00638977635782748,0,0.00638977635782748,0,0,0,0,0,0,0,0.00319488817891374,0,0,0,0,0,0.00958466453674121,0,0,0,0,0,0,0,0,0
232,NA,0.0076530612244898,0.23469387755102,0.00255102040816327,0.0280612244897959,0.0816326530612245,0.0892857142857143,0.00510204081632653,0,0,0.00255102040816327,0,0.158163265306122,0.0178571428571429,0.0918367346938776,0.0076530612244898,0,0,0.0127551020408163,0.0127551020408163,0.0204081632653061,0.0102040816326531,0.096938775510204,0.0280612244897959,0,0.0204081632653061,0,0,0,0.0127551020408163,0,0,0,0,0,0,0.0229591836734694,0,0.0127551020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0.00255102040816327,0,0,0,0,0,0,0,0
237,NA,0.00366300366300366,0.206959706959707,0.00915750915750916,0.021978021978022,0.113553113553114,0.0879120879120879,0.010989010989011,0,0,0.00183150183150183,0,0.163003663003663,0.0238095238095238,0.0183150183150183,0.00732600732600733,0.00366300366300366,0,0.00366300366300366,0.00549450549450549,0.00732600732600733,0.0146520146520147,0.108058608058608,0.0256410256410256,0,0.0164835164835165,0,0,0,0.0842490842490843,0,0,0,0,0,0,0.00732600732600733,0,0.0128205128205128,0,0,0,0.00366300366300366,0,0,0.00183150183150183,0.010989010989011,0,0,0,0,0,0.0128205128205128,0.00183150183150183,0.00183150183150183,0.00183150183150183,0.00732600732600733,0,0,0,0,0
242,NA,0.00148367952522255,0.182492581602374,0.0163204747774481,0.029673590504451,0.120178041543027,0.0741839762611276,0.0103857566765579,0.00445103857566766,0.00148367952522255,0,0.00148367952522255,0.152818991097923,0.00593471810089021,0.0489614243323442,0.00741839762611276,0.00148367952522255,0.00148367952522255,0.00148367952522255,0.0163204747774481,0.00890207715133531,0.00741839762611276,0.0845697329376855,0.00593471810089021,0.00148367952522255,0.0163204747774481,0,0,0.00148367952522255,0.127596439169139,0,0,0,0,0,0,0.0341246290801187,0,0.00890207715133531,0,0,0,0,0.00148367952522255,0,0.00148367952522255,0,0,0,0,0,0,0.0222551928783383,0,0,0,0,0,0,0,0,0
246,NA,0.0029585798816568,0.195266272189349,0,0.0325443786982249,0.127218934911243,0.115384615384615,0,0,0,0.00591715976331361,0,0.0798816568047337,0.0355029585798817,0.0118343195266272,0.014792899408284,0.0029585798816568,0,0.0118343195266272,0.0177514792899408,0.0355029585798817,0.00591715976331361,0.0798816568047337,0.029585798816568,0.0029585798816568,0.029585798816568,0,0,0,0.0177514792899408,0,0,0,0,0,0,0.091715976331361,0,0.0384615384615385,0,0,0.0029585798816568,0,0,0,0.0029585798816568,0,0,0,0,0,0,0.0029585798816568,0,0,0,0,0.0029585798816568,0.0029585798816568,0,0,0
250,NA,0,0.182795698924731,0.0197132616487455,0.039426523297491,0.103942652329749,0.0824372759856631,0.010752688172043,0.0017921146953405,0,0.0017921146953405,0.0017921146953405,0.0770609318996416,0.046594982078853,0.0161290322580645,0.007168458781362,0.0125448028673835,0.003584229390681,0.0089605734767025,0.0161290322580645,0.0681003584229391,0,0.130824372759857,0.0268817204301075,0.003584229390681,0.0232974910394265,0,0.003584229390681,0,0.0268817204301075,0,0,0,0,0,0,0.0555555555555556,0,0.0089605734767025,0,0,0,0,0,0,0,0.003584229390681,0,0,0,0,0,0,0,0,0.010752688172043,0,0.003584229390681,0,0.0017921146953405,0,0
255,NA,0,0.139325842696629,0.00674157303370787,0.0471910112359551,0.0741573033707865,0.0943820224719101,0.00224719101123596,0,0,0.00224719101123596,0,0.119101123595506,0.0831460674157303,0.00449438202247191,0.00224719101123596,0.00898876404494382,0,0,0.0179775280898876,0.0179775280898876,0.00449438202247191,0.21123595505618,0.0179775280898876,0,0.096629213483146,0,0,0.00224719101123596,0.00224719101123596,0,0,0,0,0,0,0.0134831460674157,0,0.0224719101123595,0,0,0,0,0,0,0,0.00224719101123596,0,0,0,0,0,0,0.00224719101123596,0,0,0.00449438202247191,0,0,0,0,0
262,NA,0,0.16,0.0211764705882353,0.0188235294117647,0.108235294117647,0.0352941176470588,0.00705882352941176,0.00235294117647059,0,0.00235294117647059,0.00235294117647059,0.0682352941176471,0.138823529411765,0.0305882352941176,0.00470588235294118,0.00235294117647059,0,0,0.0164705882352941,0.0141176470588235,0.00235294117647059,0.223529411764706,0.0305882352941176,0.00470588235294118,0.0776470588235294,0,0,0,0,0,0,0,0,0.00235294117647059,0,0.0141176470588235,0,0.00941176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235294117647059,0,0,0,0,0,0,0,0
275,NA,0.00458715596330275,0.139908256880734,0.036697247706422,0.084862385321101,0.139908256880734,0.0344036697247706,0,0,0,0,0.00229357798165138,0.0871559633027523,0.119266055045872,0.00229357798165138,0.0091743119266055,0.00688073394495413,0,0.00458715596330275,0.0275229357798165,0.0206422018348624,0.00229357798165138,0.142201834862385,0.018348623853211,0,0.0940366972477064,0,0,0,0,0,0,0,0,0,0,0.00458715596330275,0,0.0137614678899083,0,0,0,0,0,0,0,0.00229357798165138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229357798165138,0
287,NA,0.00317460317460317,0.13015873015873,0.0444444444444444,0.0571428571428571,0.152380952380952,0.0222222222222222,0,0.00634920634920635,0,0,0.00634920634920635,0.107936507936508,0.117460317460317,0.00952380952380952,0,0.00317460317460317,0,0.00634920634920635,0.0222222222222222,0.0317460317460317,0.00634920634920635,0.193650793650794,0.00952380952380952,0.00634920634920635,0.0507936507936508,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0.00634920634920635,0,0,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,NA,0.0150862068965517,0.112068965517241,0.0603448275862069,0.0387931034482759,0.183189655172414,0.0431034482758621,0.00431034482758621,0.00646551724137931,0.0021551724137931,0.00862068965517241,0,0.0711206896551724,0.0991379310344828,0,0,0.0107758620689655,0,0.00431034482758621,0.021551724137931,0.0237068965517241,0.0021551724137931,0.22198275862069,0.0107758620689655,0,0.0431034482758621,0,0,0,0.0021551724137931,0,0,0,0,0,0,0.00431034482758621,0,0.0021551724137931,0,0,0.0021551724137931,0.0021551724137931,0,0,0,0,0,0,0,0,0,0,0.0021551724137931,0,0,0,0,0,0,0,0.0021551724137931
